"","Depth","Shannon.Mean","Shanon.Sd"
"Mean1",1,0.960477137291734,0.485541542010745
"Mean2",2,0.763771887956005,0.411506392212875
"Mean3",3,0.568892759945427,0.364589694630299
"Mean4",4,0.404251720620589,0.378362072106903
"Mean5",5,0.272573983641335,0.528102913806349
"Mean6",6,0.212095903712769,0.237045124624322
"Mean7",7,0.196215252144133,0.360894543020384
"Mean8",8,0.191135564626384,0.257958850052915
"Mean9",9,0.190663965670939,0.414453123317596
"Mean10",10,0.190663965670939,0.370599976744043
"Mean11",11,0.190663965670939,0.547319978010898
"Mean12",12,0.190663965670939,0.586961146114461
