"","Depth","lml.Mean","lml.Sd"
"Mean1",1,-127100.486278592,NA
"Mean2",2,-6575.38098047772,3991.09480795916
"Mean3",3,-1882.19078110871,1608.91354159893
"Mean4",4,-758.564591177221,849.51572297463
"Mean5",5,-434.469889689416,705.453455609411
"Mean6",6,-392.458179705356,704.910988192068
"Mean7",7,-404.78405048671,730.989181697213
"Mean8",8,-423.448236383801,747.863669831119
"Mean9",9,-447.248251704291,764.447463583783
"Mean10",10,-452.413648236915,767.846726234186
"Mean11",11,-452.413648236915,767.846726234186
"Mean12",12,-452.413648236915,767.846726234186
