"","Depth","Simpson.Mean","Simpson.Sd"
"Mean1",1,0.468348459271691,0.0592551107774249
"Mean2",2,0.269004817744738,0.217412424798745
"Mean3",3,0.188389460509388,0.224079618366035
"Mean4",4,0.145550711267589,0.258944955084459
"Mean5",5,0.124037879745575,0.248375607992673
"Mean6",6,0.117624972464218,0.273665658890198
"Mean7",7,0.114968126780317,0.0936484065932085
"Mean8",8,0.114512889956958,0.212122251842485
"Mean9",9,0.114512889956958,0.262969460821588
"Mean10",10,0.114512889956958,0.232337470742094
"Mean11",11,0.114512889956958,0.166651279238661
"Mean12",12,0.114512889956958,0.211767144846323
