"","Depth","Shannon.Mean","Shanon.Sd"
"Mean1",1,0.992548710507502,0.172753883737225
"Mean2",2,0.533999952363644,0.39248536157834
"Mean3",3,0.334996128321874,0.476241306762942
"Mean4",4,0.246458865955112,0.45065986234672
"Mean5",5,0.205137798827487,0.495913486879502
"Mean6",6,0.190954832022592,0.484206342482989
"Mean7",7,0.184725444966303,0.171810981329826
"Mean8",8,0.1836199807534,0.446786564056573
"Mean9",9,0.1836199807534,0.503717554278116
"Mean10",10,0.1836199807534,0.457145872045468
"Mean11",11,0.1836199807534,0.300411425417353
"Mean12",12,0.1836199807534,0.358666686602119
