"","Depth","lml.Mean","lml.Sd"
"Mean1",1,-24832.3925494545,NA
"Mean2",2,-1765.48535470184,1095.28113824733
"Mean3",3,-448.562371836909,538.214490256236
"Mean4",4,-215.271482882901,386.042556956093
"Mean5",5,-152.559658862111,360.556651667464
"Mean6",6,-136.222902337635,365.932395316973
"Mean7",7,-144.949497953215,390.56489840367
"Mean8",8,-145.861034019155,398.440495910748
"Mean9",9,-150.196184780034,406.030321305275
"Mean10",10,-150.196184780034,406.030321305275
"Mean11",11,-150.196184780034,406.030321305275
"Mean12",12,-150.196184780034,406.030321305275
