"","Depth","Simpson.Mean","Simpson.Sd"
"Mean1",1,0.664781824543618,0.275761127228681
"Mean2",2,0.466490729779821,0.0887720557311166
"Mean3",3,0.283501907014243,0.305142918825705
"Mean4",4,0.196034156996703,0.333192602886441
"Mean5",5,0.143345898704137,0.299090459210296
"Mean6",6,0.124078668717789,0.150582103151942
"Mean7",7,0.116650665627233,0.16717108494348
"Mean8",8,0.11248423426997,0.192722980210519
"Mean9",9,0.11248423426997,0.077821298431836
"Mean10",10,0.11248423426997,0.155336192323354
"Mean11",11,0.11248423426997,0.253148529465507
"Mean12",12,0.11248423426997,0.119757152099882
