"","Depth","Shannon.Mean","Shanon.Sd"
"Mean1",1,1.46738701301037,0.590739921569038
"Mean2",2,0.905827128256061,0.267574840238978
"Mean3",3,0.512397828730464,0.855097325647456
"Mean4",4,0.333448098874019,0.834090781089431
"Mean5",5,0.237867351399816,0.666491894809595
"Mean6",6,0.204851990571487,0.235008123802721
"Mean7",7,0.190933949954761,0.386442965436798
"Mean8",8,0.184728317452682,0.559678430623619
"Mean9",9,0.184728317452682,0.211652751095353
"Mean10",10,0.184728317452682,0.285837096000391
"Mean11",11,0.184728317452682,0.434688966938073
"Mean12",12,0.184728317452682,0.396095281429588
