"","Depth","lml.Mean","lml.Sd"
"Mean1",1,-65524.8877053032,NA
"Mean2",2,-3784.94078065546,2266.64639150451
"Mean3",3,-993.766627552361,735.943969943123
"Mean4",4,-335.607020370281,408.074812275454
"Mean5",5,-233.919533035755,378.281785530582
"Mean6",6,-207.391636980335,385.570915909697
"Mean7",7,-228.950574710291,409.647271174787
"Mean8",8,-250.58641978691,427.009212288032
"Mean9",9,-254.494255311665,430.221071344591
"Mean10",10,-254.494255311665,430.221071344591
"Mean11",11,-254.494255311665,430.221071344591
"Mean12",12,-254.494255311665,430.221071344591
