
     d           S.E.
1     0.00987654  0.00209424
2     0.00606061  0.00199899
3     0.01571268  0.00259527
4     0.00202020  0.00124629
5     0.00382619  0.00069227
6     0.01481481  0.00320430
7    n/c         n/c         
8     0.00199027  0.00052901
9     0.00167663  0.00047560
10   n/c         n/c         
11    0.00852974  0.00197015
12    0.00430976  0.00108963
13    0.00121212  0.00061511
14    0.00448934  0.00145483
15    0.01683502  0.00332593
16   n/c         n/c         
17    0.00202020  0.00119299
18   n/c         n/c         
19   n/c         n/c         
20    0.00448934  0.00142581
21    0.01010101  0.00264006
22    0.00179574  0.00088822
23   n/c         n/c         
24   n/c         n/c         
25    0.00151844  0.00049243
26    0.00404040  0.00163497
27    0.00606061  0.00204513
28    0.00763187  0.00181377
29    0.00000000  0.00000000
30   n/c         n/c         
31    0.00121212  0.00062174
32   n/c         n/c         
33    0.00067385  0.00065916
34   n/c         n/c         
35    0.00269360  0.00129553
36   n/c         n/c         
37    0.00942761  0.00209162
38   n/c         n/c         
39   n/c         n/c         
40    0.00000000  0.00000000
41    0.00493827  0.00150301
42    0.00142761  0.00044325
43   n/c         n/c         
44    0.00856589  0.00102484
45    0.00137245  0.00045374
46    0.00179574  0.00088861
47    0.00085297  0.00052801
48    0.00000000  0.00000000
49    0.00119716  0.00053906
50    0.00026936  0.00025338
51    0.00606061  0.00196252
52    0.00044893  0.00045048
53    0.00538721  0.00183938
54    0.00044893  0.00046596
55    0.00110507  0.00038433
56    0.00000000  0.00000000
57    0.00044893  0.00024255
58    0.00404040  0.00164129
59   n/c         n/c         
60    0.00514350  0.00082174
61    0.00269360  0.00131407
62    0.00087853  0.00032208
63   n/c         n/c         
64   n/c         n/c         
65   n/c         n/c         
66    0.00155806  0.00044014
67    0.00115440  0.00051437
68   n/c         n/c         
69    0.00000000  0.00000000
70    0.00269360  0.00107292
71    0.00067340  0.00045206
72    0.00029353  0.00021563
73    0.00000000  0.00000000
74   n/c         n/c         
75   n/c         n/c         
76    0.00336700  0.00150428
77    0.00282187  0.00077822
78   n/c         n/c         
79    0.00673401  0.00209799
80   n/c         n/c         
81    0.00294256  0.00059041
82    0.00089787  0.00066983
83    0.00044893  0.00047308
84   n/c         n/c         
85   n/c         n/c         
86    0.00224467  0.00097280
87    0.00089787  0.00066771
88    0.00404040  0.00163336
89    0.00089832  0.00063210
90   n/c         n/c         
91   n/c         n/c         
92    0.00101010  0.00057358
93    0.00269360  0.00136595
94    0.00176309  0.00059740
95   n/c         n/c         
96    0.00067340  0.00046212
97    0.00000000  0.00000000
98   n/c         n/c         
99    0.00134680  0.00092664
100   0.00269360  0.00132120
