,d,S.E.
1,0.00987654,0.00211092
2,0.00606061,0.00201615
3,0.01571268,0.00254548
4,0.01380471,0.00229058
7,0.00382619,0.00072177
8,n/c,n/c
9,0.00199027,0.00056707
10,0.00167663,0.00051246
11,n/c,n/c
12,0.00852974,0.00194376
13,0.00430976,0.00114428
14,0.00121212,0.00061354
15,0.00448934,0.00138524
16,0.01683502,0.0032381
5,n/c,n/c
17,0.00592593,0.00124002
6,n/c,n/c
19,0.01010101,0.00249851
20,0.00179574,0.000911
21,n/c,n/c
22,n/c,n/c
23,0.00151844,0.00051326
24,0.0040404,0.00164522
25,0.00606061,0.00202964
26,0.00763187,0.00188846
27,0,0
28,n/c,n/c
29,0.00121212,0.00063325
30,n/c,n/c
31,0.00067385,0.00066364
18,n/c,n/c
32,0.0026936,0.00129394
33,n/c,n/c
34,0.00942761,0.00204805
35,n/c,n/c
36,n/c,n/c
37,0,0
38,0.00493827,0.00145819
39,0.00142761,0.00045558
40,n/c,n/c
41,0.00856589,0.00100743
42,0.00137245,0.00044102
43,0.00179574,0.0008912
44,0.00085297,0.00052184
45,0,0
46,0.00119716,0.00058481
47,0.00026936,0.00025658
48,0.00606061,0.00197042
49,0.00044893,0.00043357
50,0.00538721,0.00193262
51,0.00044893,0.0004385
52,0.00110507,0.00038658
53,0,0
54,0.00044893,0.00026247
55,0.0040404,0.00162719
56,n/c,n/c
57,0.0051435,0.00083989
58,0.0026936,0.00134781
59,0.00087853,0.00029953
60,n/c,n/c
61,n/c,n/c
62,n/c,n/c
63,0.00155806,0.00042795
64,0.0011544,0.00048737
65,n/c,n/c
66,0,0
67,0.0026936,0.00107811
68,0.0006734,0.00047507
70,0.00029353,0.00021107
71,0,0
72,n/c,n/c
73,n/c,n/c
74,0.003367,0.00146467
75,0.00282187,0.00080534
76,n/c,n/c
77,0.00673401,0.0020164
69,n/c,n/c
78,0.00294256,0.00058055
79,0.00089787,0.00062232
80,0.00044893,0.00045739
81,n/c,n/c
82,n/c,n/c
83,0.00224467,0.00103231
84,0.00089787,0.00060584
86,0.0040404,0.00165804
87,0.00089832,0.00063789
88,n/c,n/c
89,n/c,n/c
90,0.0010101,0.00056997
85,0.0026936,0.00134477
91,0.00176309,0.00054958
92,n/c,n/c
93,0.0006734,0.00048708
94,0,0
95,n/c,n/c
96,0.0013468,0.00095799
97,0.0026936,0.00136576
