
    d           S.E.
1    0.01114703  0.00124904
2    0.01065294  0.00116314
3    0.01233581  0.00150511
5    0.01013577  0.00095296
4    0.00835708  0.00128749
6    0.00695407  0.00123020
7    0.00455249  0.00057102
8    0.00466615  0.00064630
9    0.00955388  0.00100164
11   0.00594450  0.00112899
14   0.00513885  0.00078333
15   0.00904806  0.00137074
17   0.00534623  0.00073321
19   0.00713170  0.00091866
10   0.00599006  0.00060781
21   0.00565367  0.00087877
16   0.00527209  0.00100544
24   0.00452932  0.00073486
12   0.00643361  0.00102770
26   0.00585341  0.00075563
28   0.00546763  0.00065547
29   0.00332211  0.00100946
30   0.01391695  0.00242212
32   0.00841664  0.00102582
35   0.00456039  0.00074702
20   0.00298905  0.00063957
33   0.00739527  0.00091245
27   0.00333178  0.00068821
37   0.00348261  0.00078124
38   0.00240741  0.00060789
39   0.00493270  0.00082614
42   0.00861605  0.00106139
44   0.00714553  0.00121279
46   0.00517677  0.00080926
47   0.00308504  0.00060993
18   0.00360224  0.00069627
48   0.00349883  0.00056755
49   0.00034963  0.00020929
50   0.00378953  0.00063574
13   0.00229647  0.00078561
53   0.00537815  0.00083299
56   0.00245902  0.00054247
22   0.00905901  0.00132030
57   0.00119332  0.00038608
59   0.00633576  0.00087988
54   0.00586743  0.00074394
61   0.00460201  0.00084701
58   0.00757576  0.00131799
34   0.00568699  0.00101709
36   0.00404203  0.00108026
51   0.01124187  0.00154802
25   0.00561392  0.00077368
62   0.00615348  0.00127375
43   0.00503932  0.00070628
23   0.00734247  0.00104932
52   0.00488400  0.00096767
55   0.00144131  0.00036386
64   0.00342417  0.00051309
31   0.00989899  0.00178918
45   0.00134680  0.00079960
65   0.00193125  0.00049662
40   0.00357326  0.00051114
41   0.00380251  0.00081968
66   0.00109384  0.00039366
60   0.00180778  0.00039451
67   0.00388196  0.00068509
68   0.00937951  0.00155125
63   0.00194098  0.00067323
