
     d           S.E.
1    n/c         n/c         
2     0.00359147  0.00124465
4    n/c         n/c         
5     0.00336700  0.00146720
6     0.00000000  0.00000000
7     0.00202020  0.00118018
8     0.00000000  0.00000000
3    n/c         n/c         
9     0.00746004  0.00089240
10    0.00000000  0.00000000
11    0.00336700  0.00148926
12   n/c         n/c         
13    0.01071004  0.00118114
14    0.00404040  0.00166767
15    0.00593042  0.00077868
16   n/c         n/c         
17    0.00314254  0.00117021
18   n/c         n/c         
19    0.01661055  0.00277768
20    0.00044893  0.00045251
21    0.00179574  0.00088322
23    0.00067340  0.00068544
24   n/c         n/c         
25    0.00134680  0.00074543
26    0.01616162  0.00317591
27   n/c         n/c         
28    0.00336700  0.00151074
29    0.00538721  0.00187343
30    0.00471380  0.00172019
31   n/c         n/c         
32    0.00455249  0.00056523
33   n/c         n/c         
34    0.00466615  0.00065044
35    0.00955388  0.00101562
36    0.00067340  0.00068170
37    0.00404040  0.00163961
38    0.00628507  0.00168332
39    0.00202020  0.00120561
40    0.00606469  0.00205207
41    0.00033670  0.00033300
42    0.00513885  0.00076096
43    0.00269360  0.00106856
22   n/c         n/c         
44    0.00404040  0.00170578
45    0.00534623  0.00076157
46    0.00713170  0.00088775
47    0.00599006  0.00064083
48   n/c         n/c         
49    0.00538721  0.00152451
50    0.00424518  0.00066267
51    0.00000000  0.00000000
52   n/c         n/c         
53    0.00269360  0.00139330
54    0.00529515  0.00070756
55    0.00404040  0.00136392
57    0.00374635  0.00070431
58    0.00585341  0.00075381
59   n/c         n/c         
60    0.00546763  0.00067738
61    0.00538721  0.00148305
62   n/c         n/c         
56   n/c         n/c         
63    0.00314254  0.00118093
64    0.01391695  0.00252778
65    0.00332109  0.00078268
66    0.00092951  0.00034426
67   n/c         n/c         
68    0.00134680  0.00080708
69    0.00456039  0.00074600
70    0.00359147  0.00120965
71    0.00739527  0.00095184
72    0.00216875  0.00058803
73    0.00246272  0.00050732
74    0.00203263  0.00053744
75    0.00538721  0.00197999
77    0.00181300  0.00050146
78    0.00313296  0.00060591
79    0.00327843  0.00070546
80    0.00089787  0.00062182
81    0.00224467  0.00100262
82    0.00308504  0.00062066
83    0.00390227  0.00067202
84    0.00294130  0.00055302
85    0.00033670  0.00034282
86    0.00107744  0.00064182
87    0.00089787  0.00062974
88    0.00022447  0.00021117
89   n/c         n/c         
90    0.00349883  0.00055823
91    0.00034963  0.00021932
