,d,S.E.
1,n/c,n/c
2,n/c,n/c
3,0.01548822,0.00265185
4,n/c,n/c
5,0.003367,0.0015102
6,0.0013468,0.00074625
7,0.02424242,0.00390772
8,0.0026936,0.00138403
9,0.00763187,0.00184494
10,0.00089787,0.00061716
11,0.0117491,0.00106882
12,0.01346801,0.00244274
13,0.0013468,0.00078394
14,0,0
15,0.00628507,0.00164966
16,n/c,n/c
17,0.00359147,0.00126855
18,0.00484584,0.00077444
19,0.01013308,0.00118423
20,0,0
21,0.00294448,0.00071125
22,n/c,n/c
23,0.00583614,0.00159827
24,0.01122334,0.00216327
25,0.0085019,0.00094254
26,n/c,n/c
27,n/c,n/c
28,n/c,n/c
29,n/c,n/c
30,0.0047138,0.00169921
31,0.00044893,0.00046571
32,0.0026936,0.001097
33,n/c,n/c
34,n/c,n/c
35,0,0
36,0.0020202,0.00120436
37,0.0006734,0.00067163
38,0.0061844,0.00084112
39,0.00112233,0.00069255
40,n/c,n/c
41,0,0
42,0.0020202,0.00115102
43,0.0026936,0.00109751
44,0.00044893,0.00043346
45,n/c,n/c
46,0,0
47,0.00222577,0.00063026
48,n/c,n/c
49,0.0026936,0.00133719
50,n/c,n/c
51,n/c,n/c
52,0.0013468,0.00051176
53,0.0003367,0.00032004
54,n/c,n/c
55,0.00089787,0.0006175
56,n/c,n/c
57,0.0020202,0.00113311
58,0.00179574,0.00088055
59,0.00434455,0.00062488
60,n/c,n/c
61,0.0020202,0.00076027
62,0.00053872,0.00038112
63,n/c,n/c
64,0.01616162,0.00334566
65,0.01077441,0.00218819
66,0.0042247,0.00075659
67,0.0026936,0.00108244
68,0.00113035,0.00047441
69,n/c,n/c
70,0.00345463,0.00057867
71,0,0
72,0.003367,0.00146491
73,0.00179574,0.00090295
74,0.00314254,0.00117641
75,n/c,n/c
76,0.00513665,0.00069552
77,0.00359147,0.00126037
78,0.00136001,0.00041657
79,0,0
80,0.00150393,0.00043737
81,0.00224467,0.00105547
82,0.00493827,0.00142354
83,0,0
84,0.0006734,0.00068167
85,0.00026936,0.00027342
86,n/c,n/c
87,0,0
88,0,0
89,0.003367,0.00148163
90,0.00118948,0.0003357
91,0.00740741,0.00229664
92,0.0020202,0.00114127
93,0,0
94,0.0020202,0.00114409
95,0.00044893,0.00045402
96,0.0016576,0.00058005
97,0.00069745,0.00042378
98,0,0
99,0.0006734,0.00045813
100,0.00336927,0.00153363
101,n/c,n/c
102,0.00284351,0.00047892
103,0.00179574,0.00087245
104,0.0026936,0.00109015
105,0.00390591,0.00059031
106,0.0009697,0.00020619
107,n/c,n/c
108,0.00347378,0.00062733
109,0,0
110,0,0
111,n/c,n/c
112,0.0005877,0.00031785
113,0.00493827,0.00146374
114,0.00875421,0.00234524
115,0.00049008,0.00023927
116,0.00124553,0.00048018
117,0.0006734,0.00036491
118,0.00673401,0.0020312
119,0.00175084,0.00070622
120,0.00763187,0.00178993
121,0.00261878,0.00068171
122,0.00113356,0.00037898
123,0.00224467,0.00054182
124,0.00179574,0.0008887
125,n/c,n/c
126,0.0002072,0.0001439
127,n/c,n/c
128,0.0006734,0.00066765
129,0.0026936,0.00135957
130,0.00215488,0.00054802
131,0,0
132,0.00224467,0.00098
133,n/c,n/c
134,0.0003367,0.00034362
135,0.0003367,0.00033846
136,0.0014911,0.00060761
137,n/c,n/c
138,n/c,n/c
139,0.00044893,0.00045468
140,0.0006734,0.00066966
141,0.00089787,0.00063939
142,0.0006734,0.0006686
143,0,0
144,0.0017316,0.00072746
145,0.00016835,0.00016538
146,n/c,n/c
147,n/c,n/c
148,0,0
149,0.0026936,0.00108152
150,0.0026936,0.00133901
151,0.0017612,0.0005448
152,0.00026936,0.00026602
153,0,0
154,n/c,n/c
155,0.0013468,0.00093947
156,0.00089787,0.00035497
157,0.0020202,0.00119493
158,n/c,n/c
159,n/c,n/c
160,0.00053872,0.00037995
161,0.00044893,0.00045518
162,0.00119608,0.00025113
163,0.0023455,0.00054014
164,0.0013468,0.00094812
165,n/c,n/c
166,0.00089787,0.00063441
167,0.0013468,0.00088315
168,0.00044893,0.00043053
169,n/c,n/c
170,n/c,n/c
171,n/c,n/c
172,0.00179574,0.00090452
173,0.0026936,0.001374
174,0.0006734,0.00049447
175,0.0013468,0.00077535
176,n/c,n/c
177,n/c,n/c
178,0.00224467,0.00098037
179,n/c,n/c
180,n/c,n/c
181,0.0026936,0.00134934
182,0,0
183,0.0020202,0.0011621
184,n/c,n/c
185,0.0013468,0.00094887
186,n/c,n/c
187,0,0
188,n/c,n/c
189,n/c,n/c
190,n/c,n/c
191,0.0013468,0.0009326
192,n/c,n/c
193,n/c,n/c
194,n/c,n/c
195,0.0020202,0.00119051
196,0,0
197,0.0026936,0.0013692
198,0.00070547,0.00043451
199,n/c,n/c
200,0.00037414,0.00027872
201,n/c,n/c
202,0.00126129,0.00036786
203,n/c,n/c
204,0.00035921,0.00035615
