
    d           S.E.
1    0.01776495  0.00207914
2    0.01163380  0.00153542
5    0.02595479  0.00217620
7    0.02667148  0.00262675
8    0.01385281  0.00203931
6    0.01373573  0.00120005
9    0.01346801  0.00242931
11   0.00484584  0.00078182
14   0.01215294  0.00139934
16   0.01272555  0.00148837
17   0.00444372  0.00081093
15   0.00850190  0.00091107
18   0.00766060  0.00117210
21   0.00740189  0.00087806
3    0.00977043  0.00150270
23   0.00557156  0.00068122
19   0.00763864  0.00101665
27   0.00815759  0.00108050
24   0.00611302  0.00092909
25   0.00646849  0.00109955
12   0.00623575  0.00078210
26   0.00533671  0.00089086
20   0.01006867  0.00117098
28   0.00285996  0.00056348
29   0.00347378  0.00061535
4    0.00058770  0.00030408
22   0.00692269  0.00121209
30   0.00386711  0.00078169
10   0.00202020  0.00066519
13   0.00234550  0.00054042
