
     d           S.E.
1    n/c         n/c         
2    n/c         n/c         
3     0.01548822  0.00264087
4    n/c         n/c         
5     0.00336700  0.00151030
6     0.00134680  0.00078827
7     0.02424242  0.00399159
8     0.00269360  0.00134691
9     0.00763187  0.00180498
10    0.00089787  0.00062731
11    0.01174910  0.00108154
12    0.01346801  0.00241308
13    0.00134680  0.00077413
14    0.00000000  0.00000000
16    0.00628507  0.00163038
15   n/c         n/c         
17    0.00437710  0.00120953
19    0.00484584  0.00077770
20    0.01013308  0.00121126
21    0.00000000  0.00000000
23    0.00294448  0.00067897
24   n/c         n/c         
25    0.00583614  0.00160860
26    0.01122334  0.00225948
28    0.00850190  0.00094243
18   n/c         n/c         
29   n/c         n/c         
30   n/c         n/c         
31   n/c         n/c         
32    0.00471380  0.00175320
35    0.00044893  0.00043799
22    0.00269360  0.00112182
27   n/c         n/c         
36    0.00000000  0.00000000
33    0.00369350  0.00090393
37    0.00067340  0.00064555
41    0.00618440  0.00082291
42    0.00112233  0.00064922
43   n/c         n/c         
44    0.00000000  0.00000000
45    0.00202020  0.00118474
34    0.00101010  0.00059826
46    0.00222577  0.00063917
47   n/c         n/c         
49    0.00269360  0.00131491
50   n/c         n/c         
48    0.00134680  0.00050815
51    0.00033670  0.00034498
52   n/c         n/c         
53   n/c         n/c         
54    0.00202020  0.00119308
55    0.00179574  0.00091014
56    0.00434455  0.00063146
57    0.00246914  0.00085798
58    0.00320397  0.00072983
59    0.01616162  0.00334618
60    0.01077441  0.00217928
61    0.00422470  0.00075079
63    0.00341578  0.00092269
65    0.00345463  0.00057097
66    0.00000000  0.00000000
67    0.00336700  0.00148298
68    0.00179574  0.00090784
71    0.00314254  0.00120461
73    0.00513665  0.00068317
64    0.00471380  0.00131447
74    0.00136001  0.00039717
75    0.00134680  0.00078890
77    0.00150393  0.00045449
62    0.00224467  0.00101563
78    0.00484848  0.00123647
38    0.00067340  0.00069837
76   n/c         n/c         
80    0.00336700  0.00155064
81    0.00118948  0.00034806
79    0.00740741  0.00215856
83    0.00202020  0.00115613
85    0.00044893  0.00045495
87    0.00165760  0.00055585
69    0.00069745  0.00044505
88    0.00269360  0.00098560
91    0.00175084  0.00074648
94   n/c         n/c         
95    0.00284351  0.00050175
96    0.00179574  0.00089737
97    0.00336700  0.00105272
99    0.00390591  0.00061190
100   0.00096970  0.00019281
101  n/c         n/c         
102   0.00347378  0.00064427
82    0.00235690  0.00098497
86   n/c         n/c         
103   0.00058770  0.00030125
104   0.00493827  0.00142486
105   0.00875421  0.00233982
106   0.00049008  0.00024096
84    0.00124553  0.00046270
107   0.00067340  0.00038450
108   0.00673401  0.00209273
109   0.00175084  0.00071056
110   0.00763187  0.00182199
111   0.00261878  0.00069315
113   0.00113356  0.00038195
114   0.00224467  0.00053206
115   0.00235690  0.00090050
72   n/c         n/c         
118   0.00020720  0.00015164
119  n/c         n/c         
70    0.00067340  0.00071979
120   0.00215488  0.00056376
121   0.00230880  0.00079920
123   0.00246914  0.00091031
89    0.00033670  0.00033245
126   0.00033670  0.00032416
98    0.00149110  0.00060347
90   n/c         n/c         
127  n/c         n/c         
128   0.00044893  0.00045937
39    0.00067340  0.00066666
40    0.00282187  0.00085858
129   0.00173160  0.00070206
132   0.00016835  0.00017152
92    0.00404040  0.00101335
133   0.00250120  0.00087215
124   0.00350168  0.00113100
125   0.00269360  0.00136467
136   0.00176120  0.00052322
112   0.00158730  0.00056902
137  n/c         n/c         
138   0.00134680  0.00095585
139   0.00089787  0.00036858
140  n/c         n/c         
141   0.00053872  0.00038110
142   0.00044893  0.00043861
143   0.00119608  0.00027131
144   0.00234550  0.00052566
130   0.00134680  0.00093210
131  n/c         n/c         
145   0.00089787  0.00065802
146   0.00134680  0.00092931
149   0.00044893  0.00045100
134  n/c         n/c         
150  n/c         n/c         
151   0.00269360  0.00134804
152   0.00067340  0.00045306
154   0.00134680  0.00075072
122  n/c         n/c         
93   n/c         n/c         
155   0.00269360  0.00130282
153  n/c         n/c         
116   0.00134680  0.00094870
156  n/c         n/c         
157   0.00000000  0.00000000
158  n/c         n/c         
135  n/c         n/c         
159   0.00134680  0.00093921
160  n/c         n/c         
117  n/c         n/c         
161   0.00202020  0.00120728
147   0.00000000  0.00000000
148   0.00269360  0.00134403
162   0.00070547  0.00042373
163   0.00037414  0.00027715
164  n/c         n/c         
165   0.00126129  0.00035715
166  n/c         n/c         
167   0.00035921  0.00035570
