Species1,Species2,Distance
1A,1B,0.035545
1A,1C,0.03971351
1B,1C,0.02437472
1A,1D,0.04104404
1B,1D,0.02197183
1C,1D,0.03151161
1A,1E,0.0410075
1B,1E,0.02011522
1C,1E,0.02830741
1D,1E,0.0245047
1A,1F,0.03912564
1B,1F,0.01886015
1C,1F,0.02780931
1D,1F,0.02179858
1E,1F,0.01550497
1A,1G,0.04040187
1B,1G,0.01916987
1C,1G,0.02959994
1D,1G,0.02265168
1E,1G,0.02064625
1F,1G,0.02106854
1A,1H,0.03861008
1B,1H,0.01989758
1C,1H,0.02916488
1D,1H,0.02319952
1E,1H,0.02162369
1F,1H,0.02106999
1G,1H,0.02085175
1A,1I,0.03880043
1B,1I,0.01962329
1C,1I,0.03027435
1D,1I,0.02470396
1E,1I,0.0226205
1F,1I,0.02213989
1G,1I,0.01819553
1H,1I,0.02066649
1A,1J,0.03897841
1B,1J,0.01892169
1C,1J,0.02939215
1D,1J,0.02421164
1E,1J,0.02201251
1F,1J,0.02135161
1G,1J,0.01915091
1H,1J,0.02036089
1I,1J,0.01585199
1A,1K,0.04184884
1B,1K,0.02361678
1C,1K,0.03203259
1D,1K,0.02896107
1E,1K,0.02476384
1F,1K,0.02544494
1G,1K,0.02390345
1H,1K,0.02491462
1I,1K,0.02085821
1J,1K,0.0164141
1A,1L,0.04104018
1B,1L,0.02186996
1C,1L,0.03300173
1D,1L,0.02735697
1E,1L,0.0253804
1F,1L,0.02503902
1G,1L,0.02200707
1H,1L,0.02359739
1I,1L,0.01834924
1J,1L,0.01309773
1K,1L,0.01997461
1A,1M,0.04416957
1B,1M,0.02380407
1C,1M,0.03464553
1D,1M,0.02882257
1E,1M,0.02696494
1F,1M,0.02610961
1G,1M,0.02374522
1H,1M,0.02423601
1I,1M,0.01952541
1J,1M,0.01458698
1K,1M,0.02097366
1L,1M,0.01742666
