Species1,Species2,Distance
4A1,4E1,0.03681257
4A10,4E1,0.04301131
4A11,4E1,0.04451927
4A12,4E1,0.04676394
4A13,4E1,0.04407033
4A14,4E1,0.04788464
4A2,4E1,0.03673775
4A3,4E1,0.04152637
4A4,4E1,0.03815937
4A5,4E1,0.04085297
4A6,4E1,0.04459409
4A7,4E1,0.04609053
4A8,4E1,0.04556678
4A9,4E1,0.04287318
4B1,4E1,0.0456416
4B2,4E1,0.05075652
4B3,4E1,0.05029348
4C1,4E1,0.04924554
4C2,4E1,0.04760975
4C3,4E1,0.04868794
4D1,4E1,0.02656192
4D2,4E1,0.02270857
4D3,4E1,0.02786843
4E1,4E2,0.01548822
4A1,4E2,0.04107744
4A10,4E2,0.04734525
4A11,4E2,0.04915825
4A12,4E2,0.05117845
4A13,4E2,0.04713805
4A14,4E2,0.05286195
4A2,4E2,0.04107744
4A3,4E2,0.04646465
4A4,4E2,0.04242424
4A5,4E2,0.04511785
4A6,4E2,0.04983165
4A7,4E2,0.05050505
4A8,4E2,0.04983165
4A9,4E2,0.04713805
4B1,4E2,0.05095398
4B2,4E2,0.05573309
4B3,4E2,0.05570649
4C1,4E2,0.05383464
4C2,4E2,0.0524667
4C3,4E2,0.05314093
4D1,4E2,0.02828283
4D2,4E2,0.02659933
4D3,4E2,0.02890443
4E1,4E3,0.02020202
4E2,4E3,0.01010101
4A1,4E3,0.04579125
4A10,4E3,0.05185185
4A11,4E3,0.05252525
4A12,4E3,0.05454545
4A13,4E3,0.05185185
4A14,4E3,0.05737081
4A2,4E3,0.04579125
4A3,4E3,0.05117845
4A4,4E3,0.04713805
4A5,4E3,0.04983165
4A6,4E3,0.05521886
4A7,4E3,0.05521886
4A8,4E3,0.05319865
4A9,4E3,0.05050505
4B1,4E3,0.05566779
4B2,4E3,0.06011099
4B3,4E3,0.06014165
4C1,4E3,0.05847363
4C2,4E3,0.05738545
4C3,4E3,0.0577393
4D1,4E3,0.03434343
4D2,4E3,0.03131313
4D3,4E3,0.03491323
4E1,4E4,0.01638794
4E2,4E4,0.01233812
4E3,4E4,0.01694469
4A1,4E4,0.04102811
4A10,4E4,0.04734428
4A11,4E4,0.04908289
4A12,4E4,0.05110331
4A13,4E4,0.04741264
4A14,4E4,0.05285608
4A2,4E4,0.04108198
4A3,4E4,0.04637551
4A4,4E4,0.0424559
4A5,4E4,0.04498818
4A6,4E4,0.05048371
4A7,4E4,0.05053758
4A8,4E4,0.04981023
4A9,4E4,0.04706247
4B1,4E4,0.05089677
4B2,4E4,0.05529466
4B3,4E4,0.05517949
4C1,4E4,0.05345449
4C2,4E4,0.05249477
4C3,4E4,0.05273427
4D1,4E4,0.03001011
4D2,4E4,0.02770675
4D3,4E4,0.02992922
4E1,4E5,0.01801347
4E2,4E5,0.01531987
4E3,4E5,0.01868687
4E4,4E5,0.01145587
4A1,4E5,0.04158249
4A10,4E5,0.0482388
4A11,4E5,0.05
4A12,4E5,0.0520202
4A13,4E5,0.04915825
4A14,4E5,0.05340726
4A2,4E5,0.04191919
4A3,4E5,0.04713805
4A4,4E5,0.04326599
4A5,4E5,0.0456229
4A6,4E5,0.0513468
4A7,4E5,0.0513468
4A8,4E5,0.0506734
4A9,4E5,0.0473064
4B1,4E5,0.05044893
4B2,4E5,0.05539631
4B3,4E5,0.05363404
4C1,4E5,0.05431163
4C2,4E5,0.05341092
4C3,4E5,0.05372294
4D1,4E5,0.03114478
4D2,4E5,0.02845118
4D3,4E5,0.03078218
4E1,4E6,0.02375608
4E2,4E6,0.02255892
4E3,4E6,0.02575758
4E4,4E6,0.0186149
4E5,4E6,0.01127946
4A1,4E6,0.04646465
4A10,4E6,0.05335405
4A11,4E6,0.05387205
4A12,4E6,0.05723906
4A13,4E6,0.05420875
4A14,4E6,0.05839921
4A2,4E6,0.04646465
4A3,4E6,0.05185185
4A4,4E6,0.04713805
4A5,4E6,0.05117845
4A6,4E6,0.05622896
4A7,4E6,0.05555556
4A8,4E6,0.05353535
4A9,4E6,0.05016835
4B1,4E6,0.05566779
4B2,4E6,0.06053187
4B3,4E6,0.05895739
4C1,4E6,0.05925926
4C2,4E6,0.05845411
4C3,4E6,0.05866763
4D1,4E6,0.03569024
4D2,4E6,0.03501684
4D3,4E6,0.03737374
4E1,4E7,0.0185684
4E2,4E7,0.01470258
4E3,4E7,0.01941639
4E4,4E7,0.01227076
4E5,4E7,0.01498316
4E6,4E7,0.02188552
4A1,4E7,0.04231201
4A10,4E7,0.04859708
4A11,4E7,0.05039282
4A12,4E7,0.05241302
4A13,4E7,0.05016835
4A14,4E7,0.05412336
4A2,4E7,0.04231201
4A3,4E7,0.04769921
4A4,4E7,0.04365881
4A5,4E7,0.04635241
4A6,4E7,0.05039282
4A7,4E7,0.05151515
4A8,4E7,0.05084175
4A9,4E7,0.04814815
4B1,4E7,0.05084175
4B2,4E7,0.05461051
4B3,4E7,0.05555556
4C1,4E7,0.05518144
4C2,4E7,0.05416972
4C3,4E7,0.05508738
4D1,4E7,0.032211
4D2,4E7,0.03097643
4D3,4E7,0.03317793
4E1,4E8,0.01908156
4E2,4E8,0.0136532
4E3,4E8,0.01969697
4E4,4E8,0.01108005
4E5,4E8,0.0140404
4E6,4E8,0.02118687
4E7,4E8,0.01487093
4A1,4E8,0.0443266
4A10,4E8,0.05047915
4A11,4E8,0.05227273
4A12,4E8,0.05430976
4A13,4E8,0.05035354
4A14,4E8,0.05541905
4A2,4E8,0.04345118
4A3,4E8,0.0497138
4A4,4E8,0.0456734
4A5,4E8,0.04856902
4A6,4E8,0.05375421
4A7,4E8,0.05375421
4A8,4E8,0.05161616
4A9,4E8,0.0489899
4B1,4E8,0.05416947
4B2,4E8,0.0589828
4B3,4E8,0.05885406
4C1,4E8,0.05653947
4C2,4E8,0.05581174
4C3,4E8,0.05607552
4D1,4E8,0.03152357
4D2,4E8,0.03143098
4D3,4E8,0.03109557
4A1,4A10,0.02512303
4A1,4A11,0.02828283
4A10,4A11,0.01315721
4A1,4A12,0.02760943
4A10,4A12,0.01383061
4A11,4A12,0.01683502
4A1,4A13,0.02760943
4A10,4A13,0.01269101
4A11,4A13,0.01414141
4A12,4A13,0.01750842
4A1,4A14,0.02974674
4A10,4A14,0.01491278
4A11,4A14,0.01930903
4A12,4A14,0.01796223
4A13,4A14,0.01857708
4A1,4A2,0.01212121
4A10,4A2,0.02320642
4A11,4A2,0.02626263
4A12,4A2,0.02558923
4A13,4A2,0.02558923
4A14,4A2,0.02921973
4A1,4A3,0.02323232
4A10,4A3,0.01665372
4A11,4A3,0.02053872
4A12,4A3,0.02255892
4A13,4A3,0.01986532
4A14,4A3,0.02201727
4A2,4A3,0.02087542
4A1,4A4,0.02154882
4A10,4A4,0.01455581
4A11,4A4,0.01750842
4A12,4A4,0.01952862
4A13,4A4,0.01683502
4A14,4A4,0.02048016
4A2,4A4,0.02087542
4A3,4A4,0.01515152
4A1,4A5,0.02558923
4A10,4A5,0.01704222
4A11,4A5,0.02020202
4A12,4A5,0.02087542
4A13,4A5,0.01952862
4A14,4A5,0.02317377
4A2,4A5,0.02356902
4A3,4A5,0.01784512
4A4,4A5,0.01481481
4A1,4A6,0.02828283
4A10,4A6,0.02061642
4A11,4A6,0.02356902
4A12,4A6,0.02424242
4A13,4A6,0.02289562
4A14,4A6,0.02582345
4A2,4A6,0.02626263
4A3,4A6,0.01919192
4A4,4A6,0.01818182
4A5,4A6,0.02087542
4A1,4A7,0.02962963
4A10,4A7,0.02180782
4A11,4A7,0.02491582
