Species1,Species2,Distance
5A1,5E1,0.03367003
5A2,5E1,0.05104377
5A3,5E1,0.05387205
5B1,5E1,0.04377104
5B2,5E1,0.04377104
5B3,5E1,0.04691358
5B4,5E1,0.03828764
5B5,5E1,0.04721287
5B6,5E1,0.04949495
5B7,5E1,0.04811754
5C1,5E1,0.04908634
5D1,5E1,0.0338945
5D2,5E1,0.04377104
5A1,5A2,0.03286195
5A1,5A3,0.03501684
5A2,5A3,0.02639731
5A1,5B1,0.03097643
5A2,5B1,0.02639731
5A3,5B1,0.02289562
5A1,5B2,0.03131313
5A2,5B2,0.02909091
5A3,5B2,0.02828283
5B1,5B2,0.01750842
5A1,5B3,0.03411897
5A2,5B3,0.0298092
5A3,5B3,0.03142536
5B1,5B3,0.01930415
5B2,5B3,0.01930415
5A1,5B4,0.02683983
5A2,5B4,0.02487734
5A3,5B4,0.02549303
5B1,5B4,0.01337181
5B2,5B4,0.01356421
5B3,5B4,0.01247395
5A1,5B5,0.03688739
5A2,5B5,0.0379798
5A3,5B5,0.03890759
5B1,5B5,0.02962963
5B2,5B5,0.02873176
5B3,5B5,0.0291807
5B4,5B5,0.02344076
5A1,5B6,0.04006734
5A2,5B6,0.0410101
5A3,5B6,0.04208754
5B1,5B6,0.03265993
5B2,5B6,0.03131313
5B3,5B6,0.03176207
5B4,5B6,0.02602213
5B5,5B6,0.01567527
5A1,5B7,0.03734313
5A2,5B7,0.03761249
5A3,5B7,0.03868993
5B1,5B7,0.03060912
5B2,5B7,0.02926232
5B3,5B7,0.02967044
5B4,5B7,0.02397131
5B5,5B7,0.01564466
5B6,5B7,0.02219161
5A1,5C1,0.02577206
5A2,5C1,0.02268801
5A3,5C1,0.02302109
5B1,5C1,0.0217805
5B2,5C1,0.02334505
5B3,5C1,0.02495563
5B4,5C1,0.01946289
5B5,5C1,0.03529817
5B6,5C1,0.03850517
5B7,5C1,0.0346426
5A1,5D1,0.0318743
5A2,5D1,0.04251403
5A3,5D1,0.04377104
5B1,5D1,0.0352413
5B2,5D1,0.0365881
5B3,5D1,0.03838384
5B4,5D1,0.03001443
5B5,5D1,0.04501808
5B6,5D1,0.04769921
5B7,5D1,0.04587287
5C1,5D1,0.03816953
5A1,5D2,0.04242424
5A2,5D2,0.05367003
5A3,5D2,0.05488215
5B1,5D2,0.04747475
5B2,5D2,0.0469697
5B3,5D2,0.04927048
5B4,5D2,0.04083694
5B5,5D2,0.05645342
5B6,5D2,0.05723906
5B7,5D2,0.05720845
5C1,5D2,0.04906615
5D1,5D2,0.01986532
5E1,5F1,0.02424242
5A1,5F1,0.04646465
5A2,5F1,0.05777778
5A3,5F1,0.05791246
5B1,5F1,0.05589226
5B2,5F1,0.05353535
5B3,5F1,0.05768799
5B4,5F1,0.04925445
5B5,5F1,0.05783764
5B6,5F1,0.06026936
5B7,5F1,0.05687175
5C1,5F1,0.05311827
5D1,5F1,0.04242424
5D2,5F1,0.04983165
5E1,5G1,0.02222222
5A1,5G1,0.04377104
5A2,5G1,0.06114478
5A3,5G1,0.06195286
5B1,5G1,0.05319865
5B2,5G1,0.05252525
5B3,5G1,0.05701459
5B4,5G1,0.04838865
5B5,5G1,0.05499439
5B6,5G1,0.05757576
5B7,5G1,0.05619835
5C1,5G1,0.05896648
5D1,5G1,0.04062851
5D2,5G1,0.05050505
5F1,5G1,0.03973064
5E1,5H1,0.03636364
5A1,5H1,0.04040404
5A2,5H1,0.05508418
5A3,5H1,0.05387205
5B1,5H1,0.04444444
5B2,5H1,0.04915825
5B3,5H1,0.05095398
5B4,5H1,0.04252044
5B5,5H1,0.05514403
5B6,5H1,0.05757576
5B7,5H1,0.05350474
5C1,5H1,0.05087606
5D1,5H1,0.0379349
5D2,5H1,0.04680135
5F1,5H1,0.04781145
5G1,5H1,0.04511785
5E1,5H2,0.02738496
5A1,5H2,0.03277217
5A2,5H2,0.04772166
5A3,5H2,0.04691358
5B1,5H2,0.03748597
5B2,5H2,0.03916947
5B3,5H2,0.04062851
5B4,5H2,0.03334937
5B5,5H2,0.04646465
5B6,5H2,0.04859708
5B7,5H2,0.04452607
5C1,5H2,0.04292584
5D1,5H2,0.0298541
5D2,5H2,0.03849607
5F1,5H2,0.03815937
5G1,5H2,0.03613917
5H1,5H2,0.01526375
5E1,5I1,0.02745978
5A1,5I1,0.0436214
5A2,5I1,0.06332959
5A3,5I1,0.06315002
5B1,5I1,0.05506921
5B2,5I1,0.0530116
5B3,5I1,0.05768799
5B4,5I1,0.04973545
5B5,5I1,0.0586108
5B6,5I1,0.06094276
5B7,5I1,0.05883073
5C1,5I1,0.05871557
5D1,5I1,0.04841003
5D2,5I1,0.05447063
5F1,5I1,0.0402544
5G1,5I1,0.03771044
5H1,5I1,0.05020576
5H2,5I1,0.04152637
5E1,5J1,0.06801347
5A1,5J1,0.07070707
5A2,5J1,0.08
5A3,5J1,0.08148148
5B1,5J1,0.06868687
5B2,5J1,0.07373737
5B3,5J1,0.07542088
5B4,5J1,0.06820587
5B5,5J1,0.0781893
5B6,5J1,0.08047138
5B7,5J1,0.07909397
5C1,5J1,0.0755743
5D1,5J1,0.06936027
5D2,5J1,0.07508418
5F1,5J1,0.07878788
5G1,5J1,0.07474747
5H1,5J1,0.07407407
5H2,5J1,0.0664422
5I1,5J1,0.07459783
5E1,5J2,0.06363636
5A1,5J2,0.06565657
5A2,5J2,0.076633
5A3,5J2,0.07710438
5B1,5J2,0.06430976
5B2,5J2,0.06936027
5B3,5J2,0.07104377
5B4,5J2,0.06402116
5B5,5J2,0.07351291
5B6,5J2,0.07609428
5B7,5J2,0.07337006
5C1,5J2,0.07114831
5D1,5J2,0.06363636
5D2,5J2,0.07070707
5F1,5J2,0.07441077
5G1,5J2,0.06969697
5H1,5J2,0.06767677
5H2,5J2,0.05869809
5I1,5J2,0.07216611
5J1,5J2,0.01750842
5E1,5K1,0.03232323
5A1,5K1,0.03299663
5A2,5K1,0.04727273
5A3,5K1,0.04983165
5B1,5K1,0.03838384
5B2,5K1,0.04107744
5B3,5K1,0.04152637
5B4,5K1,0.03405483
5B5,5K1,0.04803591
5B6,5K1,0.05016835
5B7,5K1,0.04946434
5C1,5K1,0.04332946
5D1,5K1,0.03164983
5D2,5K1,0.04175084
5F1,5K1,0.04579125
5G1,5K1,0.04242424
5H1,5K1,0.03636364
5H2,5K1,0.02738496
5I1,5K1,0.04616536
5J1,5K1,0.06531987
5J2,5K1,0.05757576
5E1,5K10,0.04175084
5A1,5K10,0.04579125
5A2,5K10,0.05925926
5A3,5K10,0.05858586
5B1,5K10,0.04983165
5B2,5K10,0.05252525
5B3,5K10,0.05387205
5B4,5K10,0.04704185
5B5,5K10,0.05708941
5B6,5K10,0.05824916
5B7,5K10,0.05754515
5C1,5K10,0.05361536
5D1,5K10,0.04534231
5D2,5K10,0.05252525
5F1,5K10,0.04983165
5G1,5K10,0.04983165
5H1,5K10,0.04713805
5H2,5K10,0.03815937
5I1,5K10,0.05289936
5J1,5K10,0.06195286
5J2,5K10,0.05723906
5K1,5K10,0.03030303
5E1,5K11,0.04646465
5A1,5K11,0.04175084
5A2,5K11,0.04767677
5A3,5K11,0.05454545
