"","Genotype","Clade","Count"
"1","I","1A1",1
"2","I","1A10",1
"3","I","1A11",3
"4","I","1A12",28
"5","I","1A13",3
"6","I","1A14",3
"7","I","1A15",3
"8","I","1A16",1
"9","I","1A17",1
"10","I","1A18",1
"11","I","1A19",1
"12","I","1A2",16
"13","I","1A20",1
"14","I","1A3",5
"15","I","1A4",8
"16","I","1A5",1
"17","I","1A6",1
"18","I","1A7",26
"19","I","1A8",4
"20","I","1A9",1
"21","I","1B1",10
"22","I","1B10",1
"23","I","1B11",1
"24","I","1B12",26
"25","I","1B13",2
"26","I","1B14",1
"27","I","1B15",1
"28","I","1B16",18
"29","I","1B2",2
"30","I","1B3",2
"31","I","1B4",11
"32","I","1B5",2
"33","I","1B6",6
"34","I","1B7",5
"35","I","1B8",27
"36","I","1B9",66
"37","I","1C1",178
"38","I","1D1",29
"39","I","1D2",61
"40","I","1D3",57
"41","I","1D4",180
"42","I","1E1",521
"43","I","1F1",140
"44","I","1G1",31
"45","I","1G10",88
"46","I","1G2",12
"47","I","1G3",4
"48","I","1G4",4
"49","I","1G5",18
"50","I","1G6",11
"51","I","1G7",4
"52","I","1G8",16
"53","I","1G9",47
"54","I","1H1",55
"55","I","1H2",27
"56","I","1H3",37
"57","I","1H4",103
"58","I","1H5",149
"59","I","1I1",86
"60","I","1J1",29
"61","I","1J2",22
"62","I","1J3",23
"63","I","1J4",37
"64","I","1J5",43
"65","I","1J6",161
"66","I","1J7",70
"67","I","1K1",107
"68","I","1L1",46
"69","I","1L2",65
"70","I","1L3",40
"71","I","1M1",39
"72","I","1M2",18
"73","I","1M3",7
"74","I","1M4",4
"75","I","1M5",1
"76","I","1M6",1
"77","I","1M7",14
"78","I","1M8",35
"79","I","1M9",42
"80","IV","4A1",1
"81","IV","4A10",13
"82","IV","4A11",1
"83","IV","4A12",1
"84","IV","4A13",2
"85","IV","4A14",46
"86","IV","4A2",2
"87","IV","4A3",2
"88","IV","4A4",1
"89","IV","4A5",1
"90","IV","4A6",1
"91","IV","4A7",1
"92","IV","4A8",1
"93","IV","4A9",2
"94","IV","4B1",3
"95","IV","4B2",4
"96","IV","4B3",29
"97","IV","4C1",18
"98","IV","4C2",23
"99","IV","4C3",35
"100","IV","4D1",2
"101","IV","4D2",2
"102","IV","4D3",26
"103","IV","4E1",9
"104","IV","4E2",1
"105","IV","4E3",1
"106","IV","4E4",25
"107","IV","4E5",4
"108","IV","4E6",4
"109","IV","4E7",6
"110","IV","4E8",40
"111","IV","4F1",1
"112","IV","4F2",2
"113","IV","4F3",15
"114","IV","4F4",12
"115","IV","4F5",6
"116","IV","4G1",1
"117","IV","4G2",3
"118","IV","4G3",2
"119","IV","4G4",5
"120","IV","4G5",10
"121","IV","4H1",196
"122","V","5A1",1
"123","V","5A2",5
"124","V","5A3",1
"125","V","5B1",1
"126","V","5B2",4
"127","V","5B3",3
"128","V","5B4",7
"129","V","5B5",9
"130","V","5B6",2
"131","V","5B7",11
"132","V","5C1",317
"133","V","5D1",3
"134","V","5D2",4
"135","V","5E1",1
"136","V","5F1",1
"137","V","5G1",1
"138","V","5H1",2
"139","V","5H2",3
"140","V","5I1",9
"141","V","5J1",1
"142","V","5J2",2
"143","V","5K1",1
"144","V","5K10",1
"145","V","5K11",1
"146","V","5K12",19
"147","V","5K13",3
"148","V","5K14",1
"149","V","5K15",1
"150","V","5K16",1
"151","V","5K17",1
"152","V","5K18",1
"153","V","5K19",1
"154","V","5K2",1
"155","V","5K20",3
"156","V","5K21",3
"157","V","5K22",5
"158","V","5K23",4
"159","V","5K3",1
"160","V","5K4",1
"161","V","5K5",2
"162","V","5K6",3
"163","V","5K7",2
"164","V","5K8",1
"165","V","5K9",1
"166","V","5L1",18
"167","V","5L2",34
"168","V","5L3",74
"169","V","5M1",1
"170","V","5M2",1
"171","V","5M3",1
"172","V","5M4",1
"173","V","5M5",1
"174","V","5M6",8
"175","V","5M7",34
"176","V","5N1",6
"177","V","5N10",10
"178","V","5N11",9
"179","V","5N12",15
"180","V","5N13",8
"181","V","5N14",1
"182","V","5N15",1
"183","V","5N16",1
"184","V","5N2",5
"185","V","5N3",5
"186","V","5N4",1
"187","V","5N5",1
"188","V","5N6",1
"189","V","5N7",40
"190","V","5N8",8
"191","V","5N9",8
"192","V","5O1",98
"193","V","5O2",44
"194","V","5O3",97
"195","V","5O4",86
"196","V","5P1",19
"197","V","5P10",1
"198","V","5P2",6
"199","V","5P3",11
"200","V","5P4",1
"201","V","5P5",1
"202","V","5P6",8
"203","V","5P7",32
"204","V","5P8",43
"205","V","5P9",84
"206","V","5Q1",63
"207","V","5Q2",46
"208","V","5R1",106
