Subgenotype,d,S.E.
1A,0.01693706,0.00145407
1B,0.01516459,0.00146597
1C,0.00697566,0.00097687
1D,0.00891202,0.0009962
1E,0.00683903,0.00081487
1F,0.00546763,0.00065798
1G,0.01098257,0.00096364
1H,0.01156295,0.00116967
1I,0.00513885,0.00075733
1J,0.00976257,0.00098322
1K,0.00389404,0.00069372
1L,0.00862145,0.00117581
1M,0.01254431,0.0013585
4A,0.01474832,0.00136824
4B,0.01038059,0.00135349
4C,0.00856589,0.00107631
4D,0.00922482,0.0012173
4E,0.01169263,0.00135441
4F,0.02002199,0.00205324
4G,0.01336219,0.00180851
4H,0.00661312,0.00105033
5A,0.01776495,0.00208157
5B,0.0190898,0.00199423
5C,0.00505924,0.00073657
5D,0.01385281,0.00206062
5E,n/c,n/c
5F,n/c,n/c
5G,n/c,n/c
5H,0.00969697,0.00188458
5I,0.0020202,0.00064098
5J,0.01346801,0.00232309
5K,0.01974005,0.00146787
5L,0.00862151,0.00111305
5M,0.00806461,0.001002
5N,0.0152993,0.00164909
5O,0.00867845,0.00098106
5P,0.01220758,0.00131267
5Q,0.00873465,0.00105417
5R,0.00509579,0.00092641
