Clade,d,S.E.
1A1,n/c,n/c
1A3,0.00646465,0.00136929
1A2,0.00746352,0.00112214
1A11,0.00493827,0.00148111
1A12,0.00735396,0.00091209
1A9,n/c,n/c
1A4,0.00738336,0.00120979
1A10,n/c,n/c
1B1,0.00752712,0.00119889
1B12,0.00708418,0.00081936
1A6,n/c,n/c
1B4,0.00759106,0.0012482
1B10,n/c,n/c
1B16,0.00695407,0.00126078
1A5,n/c,n/c
1B15,n/c,n/c
1B5,0.003367,0.0014981
1B2,0.00538721,0.00197598
1A8,0.00628507,0.00180471
1B14,n/c,n/c
1D4,0.00455249,0.00056934
1B11,n/c,n/c
1A7,0.00466615,0.00065652
1G7,0.00707071,0.00153546
1D1,0.0059445,0.00108052
1B3,0.0040404,0.00165029
1G9,0.007943,0.00095382
1B13,0.00606469,0.00204349
1I1,0.00513885,0.00078975
1B6,0.00781145,0.00144759
1.00E+01,0.00683903,0.00086527
1H1,0.0071317,0.0009134
1G10,0.00599006,0.00060799
1G1,0.00565367,0.00095266
1G8,0.0067789,0.0010277
1G6,0.00749311,0.00134041
1B8,0.00527209,0.00104778
1B7,0.00565657,0.00128029
1J6,0.005663,0.00079046
1D3,0.00761542,0.0011475
1C1,0.00697566,0.0009564
1F1,0.00546763,0.0006756
1A13,0.00314254,0.00121744
1A18,n/c,n/c
1J1,0.00712212,0.00103475
1A14,0.0013468,0.00080341
1M1,0.00618782,0.0008952
1H2,0.00298905,0.00063451
1J4,0.00739527,0.00093332
1H4,0.00704793,0.0010253
1H5,0.00763796,0.00090575
1K1,0.00389404,0.00065295
1D2,0.00735736,0.00121028
1B9,0.0026531,0.00062307
1M2,0.00378953,0.0006694
1H3,0.00245902,0.0005545
1J2,0.00406081,0.00096425
1J3,0.00608988,0.00098106
1G3,0.0043771,0.00123846
1M8,0.00422601,0.00078074
1L2,0.00512827,0.00082632
1L1,0.00798924,0.00121066
1J5,0.00568699,0.00105666
1M3,0.00487414,0.00112914
1G5,0.00734247,0.00109693
1M7,0.004884,0.00100979
1M4,0.00213327,0.00095009
1J7,0.00342417,0.00049756
1A19,n/c,n/c
1A15,0.008,0.00198007
1A16,n/c,n/c
1A17,n/c,n/c
1G4,0.0037037,0.00107761
1L3,0.00109384,0.00037074
1M6,n/c,n/c
1G2,0.00700949,0.00104331
1M9,0.00572664,0.00076116
1M5,n/c,n/c
1A20,n/c,n/c
