Clade,d,S.E.
4A1,n/c,n/c
4D1,0.00606061,0.00204541
4A2,0.00538721,0.0019487
4F1,n/c,n/c
4F2,0,0
4A3,0.0020202,0.00115099
4.00E+04,0.00653787,0.00086331
4A4,n/c,n/c
4F4,0.00377512,0.0006962
4H1,0.00661312,0.00106735
4.00E+01,0.00677142,0.00108929
4A9,0.00673401,0.0021115
4D3,0.00421652,0.00087345
4A5,n/c,n/c
4A10,0.00650954,0.00105943
4A8,n/c,n/c
4.00E+05,0.00460157,0.00127411
4A11,n/c,n/c
4A6,n/c,n/c
4A7,n/c,n/c
4.00E+02,n/c,n/c
4G5,0.00507295,0.00110687
4F3,0.00624696,0.00104769
4B1,0.008,0.00185336
4A13,0,0
4B3,0.00715696,0.00110338
4A14,0.00773532,0.00101931
4C3,0.00772091,0.00110362
4D2,0.00606061,0.00200352
4.00E+07,0.0027385,0.00093816
4.00E+08,0.00297505,0.00056424
4A12,n/c,n/c
4.00E+03,n/c,n/c
4F5,0.00457912,0.00110171
4C1,0.00762307,0.00107547
4.00E+06,0.00695847,0.00166975
4G1,n/c,n/c
4G2,0.00224467,0.00101113
4C2,0.00593551,0.00117276
4B2,0.00336791,0.00104981
4G4,0.00175084,0.0007231
4G3,0.0013468,0.00095154
