Clade,d,S.E.
5A1,n/c,n/c
5B4,0.00436107,0.00099001
5K1,n/c,n/c
5K2,n/c,n/c
5K3,n/c,n/c
5K4,n/c,n/c
5K5,0.003367,0.00150745
5K6,0.0013468,0.00075555
5E1,n/c,n/c
5H1,0.0026936,0.00127206
5D1,0.00763187,0.00189047
5H2,0.00089787,0.00061715
5K12,0.00749404,0.00093207
5J1,n/c,n/c
5K17,n/c,n/c
5K13,0.00314254,0.00122929
5B3,0.00628507,0.00169701
5J2,0.00538721,0.00185342
5K16,n/c,n/c
5K22,0.00673401,0.0014071
5F1,n/c,n/c
5L1,0.00484584,0.00079888
5K14,n/c,n/c
5N1,0.00552189,0.00121652
5M6,0.00685426,0.00132487
5M7,0.00444372,0.00081363
5K18,n/c,n/c
5K23,0.00751964,0.00165952
5K15,n/c,n/c
5M1,n/c,n/c
5N7,0.00737287,0.00083302
5K20,0.00089787,0.00061422
5B1,n/c,n/c
5B2,0.0026936,0.0009564
5M2,n/c,n/c
5K19,n/c,n/c
5P1,0.00589127,0.00089317
5N3,0.00673401,0.00139113
5K21,0.00673401,0.00177102
5N16,n/c,n/c
5M3,n/c,n/c
5M4,n/c,n/c
5D2,0.00493827,0.00145732
5N10,0.00764684,0.00140726
5Q1,0.00740189,0.00088635
5G1,n/c,n/c
5N2,0.00565657,0.001306
5N5,n/c,n/c
5N8,0.00759981,0.0013839
5P8,0.00621945,0.00121052
5N9,0.00396825,0.00099371
5M5,n/c,n/c
5K7,0.0020202,0.00117742
5B5,0.0070333,0.00133013
5O1,0.00557156,0.00066628
5P9,0.00763864,0.00094591
5N4,n/c,n/c
5N6,n/c,n/c
5C1,0.00505924,0.00072099
5K8,n/c,n/c
5O3,0.00611302,0.00088919
5A2,0.00417508,0.00125314
5K9,n/c,n/c
5O2,0.00646849,0.00110811
5L3,0.00623575,0.00081441
5O4,0.00533671,0.00093606
5K10,n/c,n/c
5N11,0.00310513,0.00089949
5P2,0.00758698,0.00141176
5P3,0.00700337,0.0011533
5N12,0.00663139,0.00140398
5R1,0.00509579,0.00090378
5B7,0.0005877,0.00030229
5Q2,0.00692269,0.00122093
5A3,n/c,n/c
5N13,0.0041366,0.00094777
5P7,0.00658874,0.00127169
5P6,0.003848,0.00098586
5P4,n/c,n/c
5I1,0.0020202,0.00065297
5L2,0.0023455,0.00053945
5P10,n/c,n/c
5P5,n/c,n/c
5N14,n/c,n/c
5N15,n/c,n/c
5K11,n/c,n/c
5B6,0.0020202,0.00117872
