state	default.meanRate
2.0E7	9.127007167872993E-4
2.002E7	9.521036418731358E-4
2.004E7	9.689400057495102E-4
2.006E7	9.968407105418102E-4
2.008E7	7.780430970952922E-4
2.01E7	8.694108334092171E-4
2.012E7	8.916324560913754E-4
2.014E7	0.0010474753396440806
2.016E7	0.0010099132570297515
2.018E7	0.0011247229545507606
2.02E7	9.614182123764381E-4
2.022E7	0.0010673763869445396
2.024E7	9.428848935612954E-4
2.026E7	8.622836925526693E-4
2.028E7	8.725309343138312E-4
2.03E7	9.112328494068253E-4
2.032E7	8.683334434467978E-4
2.034E7	9.327557335756754E-4
2.036E7	9.71094770989471E-4
2.038E7	9.101332452270391E-4
2.04E7	0.0010081516355960963
2.042E7	0.0010794053109960088
2.044E7	9.256255037637333E-4
2.046E7	9.144554924566317E-4
2.048E7	0.0011437134890737845
2.05E7	0.0010452896573768594
2.052E7	0.001057310233222802
2.054E7	0.0010538480623322219
2.056E7	9.879460992291357E-4
2.058E7	9.921833106956858E-4
2.06E7	0.0010704077378134464
2.062E7	0.0011516692689779841
2.064E7	0.0010177162629699385
2.066E7	9.102579412123797E-4
2.068E7	9.863333500163122E-4
2.07E7	9.587612243825067E-4
2.072E7	9.505853988489444E-4
2.074E7	9.043568320035772E-4
2.076E7	8.86541637537281E-4
2.078E7	9.675857322768899E-4
2.08E7	8.697195733716162E-4
2.082E7	8.21447951248489E-4
2.084E7	8.497407689783817E-4
2.086E7	8.767833625584142E-4
2.088E7	9.987624627923802E-4
2.09E7	9.705065334428704E-4
2.092E7	0.0011140929099754335
2.094E7	9.776346093883829E-4
2.096E7	0.0010827738209586747
2.098E7	9.499320521722212E-4
2.1E7	7.920610242737557E-4
2.102E7	9.016158051394989E-4
2.104E7	8.616913906563809E-4
2.106E7	0.0010085649209382686
2.108E7	9.104097898746149E-4
2.11E7	8.88262551099616E-4
2.112E7	0.0011117117130680291
2.114E7	8.892980470548921E-4
2.116E7	8.952405879506597E-4
2.118E7	9.720504278551944E-4
2.12E7	0.0010339757488593082
2.122E7	9.205291306956204E-4
2.124E7	9.213608317098177E-4
2.126E7	9.83751077879356E-4
2.128E7	9.658014490028552E-4
2.13E7	8.781143047811393E-4
2.132E7	9.267449385804279E-4
2.134E7	9.262571739943945E-4
2.136E7	9.350845983824019E-4
2.138E7	8.74575781653806E-4
2.14E7	9.466320157742339E-4
2.142E7	9.452219547593192E-4
2.144E7	0.0010663700762440819
2.146E7	9.987584746620052E-4
2.148E7	9.509176697098786E-4
2.15E7	9.346727661393087E-4
2.152E7	8.745307518856462E-4
2.154E7	8.502426363013813E-4
2.156E7	9.929693197086975E-4
2.158E7	9.924829331347648E-4
2.16E7	8.788611870904834E-4
2.162E7	9.348538069815826E-4
2.164E7	9.318740661868194E-4
2.166E7	8.772759917021662E-4
2.168E7	8.322839391434665E-4
2.17E7	8.224117854176265E-4
2.172E7	8.321320652699781E-4
2.174E7	0.0010270170078634142
2.176E7	9.80634740382962E-4
2.178E7	9.032668631519098E-4
2.18E7	9.663042731417723E-4
2.182E7	9.968618318311401E-4
2.184E7	0.0010024066673081477
2.186E7	0.0010542116479484518
2.188E7	8.924933090405589E-4
2.19E7	9.748863107053544E-4
2.192E7	9.388397577926684E-4
2.194E7	0.0010150207404238387
2.196E7	8.925360526412935E-4
2.198E7	0.0011028252154086236
2.2E7	0.001110949491111043
2.202E7	8.280771865638682E-4
2.204E7	0.0010434164269282273
2.206E7	9.152963120885268E-4
2.208E7	8.221713198400348E-4
2.21E7	7.450137704721229E-4
2.212E7	8.326300833466028E-4
2.214E7	9.434470526347414E-4
2.216E7	9.228417613996934E-4
2.218E7	9.615678104419672E-4
2.22E7	9.392563569519099E-4
2.222E7	9.20504130489196E-4
2.224E7	0.00105257709757461
2.226E7	9.672407239147486E-4
2.228E7	8.878660685622345E-4
2.23E7	9.402573582548662E-4
2.232E7	8.327297715550141E-4
2.234E7	9.95607213433502E-4
2.236E7	9.144917780690158E-4
2.238E7	9.150074396474129E-4
2.24E7	0.0010008430952418775
2.242E7	8.293638623287643E-4
2.244E7	8.548704567151419E-4
2.246E7	8.029330011591324E-4
2.248E7	9.303955085670604E-4
2.25E7	8.899480162320719E-4
2.252E7	8.620721943357309E-4
2.254E7	8.783444708246321E-4
2.256E7	9.093022206048779E-4
2.258E7	9.099739289761292E-4
2.26E7	0.0010198706003810127
2.262E7	8.023056873976838E-4
2.264E7	9.659301281769979E-4
2.266E7	9.95402731359886E-4
2.268E7	9.663655627946331E-4
2.27E7	9.014715582841915E-4
2.272E7	9.678241447075407E-4
2.274E7	9.294309075024251E-4
2.276E7	8.063038827575254E-4
2.278E7	8.087178332796217E-4
2.28E7	8.355377186590848E-4
2.282E7	9.1908755271369E-4
2.284E7	9.038102109159261E-4
2.286E7	7.880362926047387E-4
2.288E7	8.305967029621073E-4
2.29E7	8.759731608102747E-4
2.292E7	8.153849409986042E-4
2.294E7	8.400827075073176E-4
2.296E7	8.190740910337084E-4
2.298E7	8.673615784166109E-4
2.3E7	8.602007912999718E-4
2.302E7	9.69237049459315E-4
2.304E7	8.709074717459125E-4
2.306E7	9.04478600851451E-4
2.308E7	8.622649437498525E-4
2.31E7	8.684794613407495E-4
2.312E7	9.023256893931123E-4
2.314E7	9.097563780373234E-4
2.316E7	9.463405766374179E-4
2.318E7	0.001005680213765065
2.32E7	9.626998183115E-4
2.322E7	9.842949291366731E-4
2.324E7	0.001007455092598402
2.326E7	9.3801051828785E-4
2.328E7	9.034536581037529E-4
2.33E7	9.404687408354809E-4
2.332E7	9.693368315816423E-4
2.334E7	9.421507314397573E-4
2.336E7	9.087868275241122E-4
2.338E7	0.001014944325882058
2.34E7	0.001045914766550813
2.342E7	9.554324926924027E-4
2.344E7	9.517710393424488E-4
2.346E7	9.787769377187616E-4
2.348E7	9.400474939068864E-4
2.35E7	8.866120336060895E-4
2.352E7	0.0010122918095246917
2.354E7	9.762486857878459E-4
