state	default.meanRate
2.0E7	1.8816165902720008E-4
2.002E7	2.457759764945559E-4
2.004E7	2.0138628162774872E-4
2.006E7	1.8628253302321028E-4
2.008E7	3.0161965923582455E-4
2.01E7	2.8400283924669725E-4
2.012E7	3.328966567896068E-4
2.014E7	2.5813457937692353E-4
2.016E7	2.987136307438002E-4
2.018E7	4.4300707287072327E-4
2.02E7	3.703251917540568E-4
2.022E7	2.817881311240026E-4
2.024E7	2.3101556339884998E-4
2.026E7	2.769371851079814E-4
2.028E7	1.9003417396604104E-4
2.03E7	2.350857484384488E-4
2.032E7	2.030657415768069E-4
2.034E7	2.7858437081115453E-4
2.036E7	2.998552758360958E-4
2.038E7	1.079118784356231E-4
2.04E7	1.1592258741773135E-4
2.042E7	6.220452185234736E-5
2.044E7	8.493407291850176E-5
2.046E7	4.949982285845855E-5
2.048E7	2.1228103952226383E-4
2.05E7	1.8037874624546584E-4
2.052E7	9.943318048440243E-5
2.054E7	5.085602760046952E-5
2.056E7	1.9430489224033228E-5
2.058E7	6.567896105585756E-6
2.06E7	4.600398459128134E-6
2.062E7	1.8525771944683983E-5
2.064E7	4.6810715662657405E-5
2.066E7	8.173255631886448E-5
2.068E7	6.927838622883405E-5
2.07E7	4.282371418064264E-5
2.072E7	2.9667732100101604E-4
2.074E7	6.34175559963281E-5
2.076E7	4.870487388634885E-5
2.078E7	4.542053939498875E-5
2.08E7	1.273015509800668E-4
2.082E7	2.3464831827246733E-4
2.084E7	4.4077483132984785E-4
2.086E7	6.790336679594096E-4
2.088E7	6.104277593293585E-4
2.09E7	5.008459495149945E-4
2.092E7	5.075304321935754E-4
2.094E7	5.030887882037878E-4
2.096E7	6.471266257849824E-4
2.098E7	3.472413377605008E-4
2.1E7	6.86271861433951E-4
2.102E7	5.072561392464791E-4
2.104E7	1.817782682282796E-4
2.106E7	2.9330132954864953E-4
2.108E7	3.2117935205448777E-4
2.11E7	1.8199638480753926E-4
2.112E7	3.1368050529712434E-4
2.114E7	2.5611659101236386E-4
2.116E7	2.4819936438738805E-4
2.118E7	1.7933090329641093E-4
2.12E7	4.4757826791202125E-4
2.122E7	4.55428205308221E-4
2.124E7	4.012536928970806E-4
2.126E7	3.736762584135712E-4
2.128E7	4.013181491870303E-4
2.13E7	2.032316399119009E-4
2.132E7	2.1952406662264763E-4
2.134E7	3.527618352259229E-4
2.136E7	1.61724273749228E-4
2.138E7	3.475535429923599E-4
2.14E7	3.9310379565188786E-4
2.142E7	4.5670087846749714E-4
2.144E7	3.543203101817733E-4
2.146E7	1.8784268105597366E-4
2.148E7	2.879968193406871E-4
2.15E7	2.9955521199775335E-4
2.152E7	3.2364437769243976E-4
2.154E7	2.169821396084453E-4
2.156E7	1.613895537173766E-4
2.158E7	1.524231984481456E-4
2.16E7	1.708571103640923E-4
2.162E7	2.530623572984153E-4
2.164E7	8.888455732698625E-5
2.166E7	1.4242825775149324E-4
2.168E7	3.140652957692792E-4
2.17E7	3.104978343424446E-4
2.172E7	1.721572788366751E-4
2.174E7	1.449996290248784E-4
2.176E7	4.7719267299709125E-4
2.178E7	4.134693363077417E-4
2.18E7	3.8462213482686126E-4
2.182E7	3.9163120824998245E-4
2.184E7	6.646687424656499E-4
2.186E7	6.719755083463623E-4
2.188E7	8.431220244571577E-4
2.19E7	5.223974434524096E-4
2.192E7	7.653472452962736E-4
2.194E7	7.001119225499365E-4
2.196E7	5.487865885766667E-4
2.198E7	2.5779402270066E-4
2.2E7	2.4486365224453795E-4
2.202E7	3.83869159144378E-4
2.204E7	3.675588956527346E-4
2.206E7	1.5978904615576456E-4
2.208E7	2.2595970509437955E-4
2.21E7	1.613532862997154E-4
2.212E7	2.994048870088547E-4
2.214E7	4.978293413917912E-4
2.216E7	2.790683398897384E-4
2.218E7	1.978042219513574E-4
2.22E7	1.208789625994145E-4
2.222E7	3.8958380610579576E-4
2.224E7	1.7275382788990414E-4
2.226E7	2.2530026187701207E-4
2.228E7	4.1289163951968203E-4
2.23E7	2.458788028037802E-4
2.232E7	2.0989562689100225E-4
2.234E7	3.4808876961514557E-4
2.236E7	3.4830119274324066E-4
2.238E7	4.163220895342208E-4
2.24E7	4.4352981093984686E-4
2.242E7	1.8508334174196137E-4
2.244E7	2.7959412523928957E-4
2.246E7	1.6469794444038424E-4
2.248E7	1.6260908258355049E-4
2.25E7	5.14819151520286E-5
2.252E7	1.7191168355418254E-4
2.254E7	1.955998617445455E-4
2.256E7	1.8147949282028882E-4
2.258E7	1.478250407879644E-4
2.26E7	1.2756706278207932E-4
2.262E7	4.607259265867775E-5
2.264E7	3.489153830535321E-5
2.266E7	7.343133746412137E-5
2.268E7	2.1865559270633602E-4
2.27E7	1.300128242295904E-4
2.272E7	1.9262981738528745E-4
2.274E7	1.5777301532694934E-4
