state	default.meanRate
2.0E7	0.001188267148947337
2.002E7	0.0012504909236102468
2.004E7	0.0021493601667510838
2.006E7	8.780387469811521E-4
2.008E7	4.939161203281263E-4
2.01E7	9.097436798596075E-4
2.012E7	0.0014930897930918454
2.014E7	0.0017211374267535884
2.016E7	0.0012952901280852969
2.018E7	4.438223062157918E-4
2.02E7	6.963967181604818E-4
2.022E7	5.539480887129109E-4
2.024E7	2.6473399029919325E-4
2.026E7	4.3239188105512763E-4
2.028E7	6.474319696530405E-4
2.03E7	8.294689644087922E-4
2.032E7	5.512216608955086E-4
2.034E7	0.001059693071827624
2.036E7	5.640550065921973E-4
2.038E7	5.196541214283569E-4
2.04E7	8.977615841519886E-4
2.042E7	5.419938001471807E-4
2.044E7	0.001063110909267044
2.046E7	5.078893049837729E-4
2.048E7	4.665942224237445E-4
2.05E7	5.493764059074089E-4
2.052E7	4.4927460811917686E-4
2.054E7	3.685732401547688E-4
2.056E7	1.1280621432718132E-4
2.058E7	1.0791965771672446E-4
2.06E7	2.4436212871961985E-4
2.062E7	5.188149082064134E-4
2.064E7	4.801244531060036E-4
2.066E7	3.2720136484363225E-4
2.068E7	4.0103049601259837E-4
2.07E7	5.554820361004455E-4
2.072E7	6.433073107614688E-4
2.074E7	9.574944802760705E-4
2.076E7	6.547381509122276E-4
2.078E7	7.692445678136153E-4
2.08E7	9.417553484491161E-4
2.082E7	7.141664687757217E-4
2.084E7	3.7063273637328686E-4
2.086E7	1.337679363703684E-4
2.088E7	5.117919914151422E-4
2.09E7	3.067623137996834E-4
2.092E7	3.7223074412792023E-4
2.094E7	4.759437616313653E-4
2.096E7	3.334026291349734E-4
2.098E7	6.263634841300303E-4
2.1E7	0.0011129043900397326
2.102E7	8.882809523771014E-4
2.104E7	4.690006718144602E-4
2.106E7	1.3820762634189773E-4
2.108E7	1.3434248130934752E-4
2.11E7	3.5345012927787904E-4
2.112E7	3.315122722041374E-4
2.114E7	7.140058047287267E-4
2.116E7	3.42906324409891E-4
2.118E7	1.551438348446784E-4
2.12E7	1.0229632276189811E-4
2.122E7	1.878083689822847E-4
2.124E7	3.39317402755196E-5
2.126E7	3.0346752969423083E-5
2.128E7	1.748597709514087E-4
2.13E7	3.9038055814721735E-5
2.132E7	4.854720700050584E-5
2.134E7	4.4589955269420156E-5
2.136E7	3.922754748371255E-5
2.138E7	1.325433885516464E-5
2.14E7	1.2415359850550373E-5
2.142E7	1.5100501082736789E-5
2.144E7	5.203133125970179E-6
2.146E7	3.6683506662698027E-6
2.148E7	1.179638013470533E-6
2.15E7	4.6042174116656794E-6
2.152E7	7.270387958293221E-6
2.154E7	3.132455999442522E-5
2.156E7	1.3734254315403208E-5
2.158E7	3.243046271643956E-5
2.16E7	6.614708648908449E-6
2.162E7	7.578561764846855E-6
2.164E7	5.497591059757775E-6
2.166E7	3.413405156762448E-5
2.168E7	4.6502795807907226E-5
2.17E7	9.559282871285008E-5
2.172E7	4.1603430588279355E-5
2.174E7	8.38673920946744E-6
2.176E7	3.491228468583347E-5
2.178E7	3.6958748180837564E-5
2.18E7	4.296773045593884E-5
2.182E7	9.144514333198941E-6
2.184E7	3.271432505469625E-5
2.186E7	2.90893981910429E-5
2.188E7	5.709668480544478E-5
2.19E7	3.161737502949606E-5
2.192E7	3.3854894099352584E-5
2.194E7	1.5525141058311476E-5
2.196E7	1.0042167200292577E-5
2.198E7	3.4447200291047246E-6
2.2E7	7.641834256206194E-6
2.202E7	3.9132121779281104E-7
2.204E7	1.0467200156976747E-6
2.206E7	8.661926561089004E-7
2.208E7	1.1139105283709357E-6
2.21E7	6.062023730818514E-6
2.212E7	6.0382573211290175E-6
2.214E7	4.272480480715915E-6
2.216E7	8.56189343134373E-6
2.218E7	5.807216061312976E-6
2.22E7	1.0150470004456296E-5
2.222E7	2.284927853526279E-5
2.224E7	8.436976059280092E-6
2.226E7	3.822118441000252E-6
2.228E7	4.4325518336862184E-6
2.23E7	7.95362691164599E-6
2.232E7	2.0141822133653374E-5
2.234E7	2.8448348211708917E-5
2.236E7	1.4046312579495667E-5
2.238E7	2.2313527227140873E-5
2.24E7	1.2229820005388445E-5
2.242E7	3.6098840607238655E-5
2.244E7	3.891186590120275E-5
2.246E7	1.9807346965106665E-5
2.248E7	8.052889928498943E-6
2.25E7	4.7701553733922934E-5
2.252E7	5.352457166594225E-5
2.254E7	1.9453880656717494E-5
2.256E7	2.126082094762396E-5
2.258E7	2.7487078262468984E-5
2.26E7	4.2784964263472023E-5
2.262E7	6.964370688285178E-5
2.264E7	1.0853736169656785E-4
2.266E7	8.578304178675852E-5
2.268E7	1.6795890418654425E-4
2.27E7	2.2838808035474957E-4
2.272E7	1.6020692887876273E-4
2.274E7	2.2270469831900692E-4
2.276E7	1.1401133943459514E-4
2.278E7	1.5822779293854494E-4
2.28E7	8.116594481063565E-5
2.282E7	2.852988991867664E-4
2.284E7	3.133382869843407E-4
2.286E7	4.5147507290304375E-4
2.288E7	2.812935708481116E-4
2.29E7	4.034358106962217E-4
2.292E7	6.573095374679121E-4
2.294E7	4.4915655367822857E-4
2.296E7	3.0972953681785933E-4
2.298E7	3.985525998126684E-4
2.3E7	3.682172565380747E-4
2.302E7	1.446644447414739E-4
2.304E7	1.3994675536957164E-4
2.306E7	1.1319270173466272E-4
