state	meanRate
2.0E7	3.3652173575250146E-4
2.002E7	2.462323462064201E-4
2.004E7	1.105322334429345E-4
2.006E7	3.0981874390736466E-5
2.008E7	1.7055103484843994E-5
2.01E7	7.987203448940657E-5
2.012E7	4.221487046342064E-5
2.014E7	2.7173027328537757E-5
2.016E7	1.2730445393309704E-4
2.018E7	2.38540260610408E-4
2.02E7	3.442620284115596E-4
2.022E7	7.092760736872377E-4
2.024E7	1.7225369391315063E-4
2.026E7	3.1161254126909265E-4
2.028E7	9.441407896441143E-5
2.03E7	8.506594146047708E-5
2.032E7	1.4662080425686873E-4
2.034E7	5.7785554449286555E-5
2.036E7	2.597170988059339E-4
2.038E7	2.4317400344434783E-4
2.04E7	6.125817884478151E-4
2.042E7	5.442230591883757E-4
2.044E7	3.394414085366585E-4
2.046E7	5.6515320443060904E-5
2.048E7	1.8973424621389515E-5
2.05E7	9.280300523450595E-6
2.052E7	2.0459648733182735E-5
2.054E7	9.247132685892062E-6
2.056E7	1.2861988893013383E-4
2.058E7	6.311248996290329E-4
2.06E7	5.812180809700516E-4
2.062E7	2.5121546331060716E-4
2.064E7	2.571057386584684E-4
2.066E7	2.2084823683267958E-4
2.068E7	3.757876597864021E-4
2.07E7	4.7911241257548416E-4
2.072E7	1.5708373657365233E-4
2.074E7	4.096800971467547E-4
2.076E7	2.689016821436376E-4
2.078E7	4.5936660637908817E-4
2.08E7	4.092373818412108E-5
2.082E7	1.9263816774120276E-4
2.084E7	2.430172119270371E-4
2.086E7	1.635154758794178E-4
2.088E7	1.9577164356382467E-4
2.09E7	2.5995526695982054E-4
2.092E7	2.68338537677204E-4
2.094E7	7.889126160692102E-5
2.096E7	2.649388962476596E-4
2.098E7	1.7816764403514427E-4
2.1E7	3.777600575757172E-5
2.102E7	1.4946711170072072E-5
2.104E7	1.0448227649161383E-5
2.106E7	9.625538587764646E-6
2.108E7	6.474615690885962E-6
2.11E7	6.268754800002475E-6
2.112E7	3.317925398062295E-5
2.114E7	2.935150891253552E-5
2.116E7	5.954706023963465E-5
2.118E7	2.0167526446841563E-4
2.12E7	1.3042544077999905E-4
2.122E7	3.53288385802237E-4
