state	default.meanRate
4.0E7	5.095034859653291E-6
4.004E7	4.060198818434125E-6
4.008E7	2.2358100353898953E-5
4.012E7	6.030172513629345E-5
4.016E7	4.5190132592093114E-5
4.02E7	2.341923099133389E-5
4.024E7	1.2014211567930114E-4
4.028E7	1.608644404489355E-4
4.032E7	4.444446409144162E-5
4.036E7	1.136539568685632E-4
4.04E7	3.900304913353943E-5
4.044E7	3.087580882576747E-5
4.048E7	8.308203256459193E-5
4.052E7	1.0085642700767162E-4
4.056E7	1.7398335828744252E-4
4.06E7	9.622100504787614E-5
4.064E7	4.195331324225004E-5
4.068E7	2.4436136662950492E-5
4.072E7	3.4778570265019076E-5
4.076E7	3.9111695408392334E-5
4.08E7	1.8572269361595218E-5
4.084E7	2.303393080965414E-5
4.088E7	1.0683244476698385E-4
4.092E7	2.581471866466611E-4
4.096E7	1.0159929567440881E-4
4.1E7	1.5838556711152444E-5
4.104E7	1.1565783118096332E-4
4.108E7	8.700499053863345E-6
4.112E7	6.619275636965043E-5
4.116E7	9.755834270809239E-5
4.12E7	1.3395234325260292E-5
4.124E7	2.462371034875932E-5
4.128E7	4.5954108952383405E-5
4.132E7	2.791612227196836E-5
4.136E7	9.287681914720735E-6
4.14E7	4.2557776774796164E-5
4.144E7	1.7381797246831816E-4
4.148E7	2.008917648726545E-4
4.152E7	9.737529002036559E-5
4.156E7	9.917324620475997E-5
4.16E7	1.0626826992707359E-4
4.164E7	2.833357456757015E-5
4.168E7	5.790926342079743E-5
4.172E7	1.6718659718035635E-4
4.176E7	1.5380327140673776E-4
4.18E7	1.3240762725794206E-4
4.184E7	1.0405440413450241E-4
4.188E7	1.2254752046529237E-4
4.192E7	4.491991968875576E-5
4.196E7	1.5141866352439207E-4
4.2E7	3.83074939634587E-5
4.204E7	1.6722991746706895E-4
4.208E7	6.92146613707653E-5
4.212E7	7.879924721132871E-5
4.216E7	3.148326320682485E-5
4.22E7	1.5105759249210753E-4
4.224E7	2.6244766769782292E-5
4.228E7	4.7259798289833044E-5
4.232E7	1.253198006636849E-4
4.236E7	4.050425923945925E-5
4.24E7	7.478674313260478E-5
4.244E7	2.1109337300396673E-5
4.248E7	5.6984109232759314E-5
4.252E7	6.96591057689689E-5
4.256E7	1.6407140359162866E-4
4.26E7	1.9621097294844405E-4
4.264E7	1.9903191990222605E-4
4.268E7	4.435039751891679E-5
4.272E7	6.866799292601479E-5
4.276E7	1.659583542892199E-4
4.28E7	1.56306668892628E-4
4.284E7	2.527097339301461E-5
4.288E7	6.403707320890673E-5
4.292E7	1.6117325038253548E-4
4.296E7	8.98176852012331E-5
4.3E7	2.104783647639211E-4
4.304E7	1.25552355347774E-4
4.308E7	1.24872563990919E-4
4.312E7	8.779268246607987E-5
4.316E7	7.94449629847879E-5
4.32E7	5.090001122539503E-5
4.324E7	1.587242815637095E-4
4.328E7	6.940597190924132E-5
4.332E7	1.2181093547531579E-5
4.336E7	6.776209538550043E-5
4.34E7	8.695544159539153E-5
4.344E7	5.559374324458578E-5
4.348E7	6.267694544352866E-5
4.352E7	6.371482631951976E-5
4.356E7	3.334040683280794E-5
4.36E7	1.1390570534380772E-4
4.364E7	1.0932905502454392E-4
4.368E7	9.480316951985144E-5
4.372E7	2.758735745414125E-5
4.376E7	2.4425802677023797E-5
4.38E7	1.4311524316723011E-4
4.384E7	7.297109571787621E-5
4.388E7	5.747561746712192E-5
4.392E7	1.2009599977896257E-4
4.396E7	2.427350952269889E-4
4.4E7	1.1962625496765437E-4
4.404E7	2.0090196084524664E-5
4.408E7	6.774797387660315E-5
4.412E7	4.2881148602503454E-6
4.416E7	1.0455644698411378E-5
4.42E7	4.2434720974547615E-5
4.424E7	1.42838460141752E-4
4.428E7	7.90012487937905E-6
4.432E7	2.8740096376511287E-5
4.436E7	3.69968690352903E-5
4.44E7	1.1561849006282258E-5
4.444E7	4.720322145374597E-6
4.448E7	2.5426365681525245E-6
4.452E7	3.92107520352379E-5
4.456E7	5.1630074694441894E-5
4.46E7	4.762596139159276E-5
4.464E7	4.425706979796562E-5
4.468E7	8.627642732104353E-5
4.472E7	1.0903535583472833E-4
4.476E7	3.352241512833994E-5
4.48E7	3.5140204852744494E-5
4.484E7	5.331261750287236E-5
4.488E7	1.2596833201723885E-4
4.492E7	1.1016271222949434E-4
4.496E7	4.595203298152629E-5
4.5E7	1.5206171638510043E-4
4.504E7	1.6424366886416485E-4
4.508E7	6.403936966698939E-5
4.512E7	6.525213170038263E-5
4.516E7	9.133278127693034E-5
4.52E7	8.094083678234443E-5
4.524E7	9.421584756057292E-6
4.528E7	4.942196842113555E-5
4.532E7	1.2383161095402434E-5
4.536E7	3.9673305919832534E-6
4.54E7	1.4146252275012759E-5
4.544E7	2.7857101838340198E-5
4.548E7	6.928485664761116E-5
4.552E7	3.877223682004269E-5
4.556E7	7.890531023355033E-5
4.56E7	9.731032714187585E-5
4.564E7	1.0555765688796434E-4
4.568E7	1.1311758877847919E-4
4.572E7	2.9748525104344298E-5
4.576E7	8.462538591005077E-6
4.58E7	1.795824171048768E-5
4.584E7	5.1368335954110936E-6
4.588E7	5.791822420552121E-6
4.592E7	2.8116607248525094E-6
4.596E7	1.6824979436195898E-5
4.6E7	2.0963135507259756E-5
4.604E7	8.100076258709718E-5
4.608E7	2.648457240610598E-5
4.612E7	1.9360120366795315E-5
4.616E7	1.846933506280319E-5
4.62E7	1.82471181922637E-5
4.624E7	1.1957335738933937E-5
4.628E7	1.3739631266213595E-4
4.632E7	1.0481471930391166E-4
4.636E7	4.4957900169997024E-5
4.64E7	8.860975139666721E-5
4.644E7	1.0838255199212861E-4
4.648E7	3.823729019108298E-5
4.652E7	7.962820329497306E-5
4.656E7	7.365814364096158E-5
4.66E7	1.4814625584548152E-5
4.664E7	1.12450914143666E-5
4.668E7	2.671929633311287E-5
4.672E7	1.5389559946089324E-5
4.676E7	3.43923639060962E-5
4.68E7	1.1281242908862569E-4
4.684E7	1.6737333756821734E-4
4.688E7	8.04640266149736E-5
4.692E7	3.897984438509178E-5
4.696E7	1.8925689534472935E-4
4.7E7	7.33284184992862E-5
4.704E7	3.7345470315030264E-5
4.708E7	4.024811144356123E-5
4.712E7	4.203085343018341E-5
4.716E7	2.4081461201606134E-4
4.72E7	2.065174825247429E-4
4.724E7	1.6708998705550332E-4
4.728E7	2.09582661938947E-4
4.732E7	3.1203640715469835E-5
4.736E7	1.9749672689129875E-4
4.74E7	1.0497903350873063E-4
4.744E7	1.0834370070970046E-4
4.748E7	1.3571128944942125E-4
4.752E7	6.468334124457324E-5
4.756E7	2.0580424448253217E-4
4.76E7	2.1559424708145154E-4
4.764E7	8.662371676139137E-5
4.768E7	1.7037855799344683E-4
4.772E7	6.803990597103668E-5
4.776E7	2.286859893522448E-4
4.78E7	1.367808848778912E-4
4.784E7	1.4564760843588584E-4
4.788E7	7.539864589977942E-5
4.792E7	1.1264625940353113E-4
4.796E7	2.5923443084943014E-4
4.8E7	8.083054375674153E-5
4.804E7	4.809060052779728E-5
4.808E7	7.845350786872147E-5
4.812E7	1.7693466733726304E-4
4.816E7	5.4996850962397796E-5
4.82E7	2.8203034172774133E-4
4.824E7	2.7178144595872586E-4
4.828E7	1.9105841645013864E-4
4.832E7	3.327777861176905E-5
