state	default.meanRate
2.0E7	7.537767639590605E-4
2.002E7	8.326890021001883E-4
2.004E7	9.872684531054728E-4
2.006E7	9.572171442384083E-4
2.008E7	9.117908334206009E-4
2.01E7	8.428078380514054E-4
2.012E7	7.657163416303832E-4
2.014E7	7.192745739868742E-4
2.016E7	9.762416157685243E-4
2.018E7	6.808902360388477E-4
2.02E7	7.289231709949725E-4
2.022E7	8.427958349925443E-4
2.024E7	6.58620873019574E-4
2.026E7	6.338865246106446E-4
2.028E7	8.540137761453013E-4
2.03E7	7.878801872551901E-4
2.032E7	9.781458550485813E-4
2.034E7	8.980527855835495E-4
2.036E7	8.007423010242527E-4
2.038E7	8.011951822034116E-4
2.04E7	6.954856874628651E-4
2.042E7	8.498209879466621E-4
2.044E7	8.87420862771665E-4
2.046E7	7.8621285910833E-4
2.048E7	7.867885149133194E-4
2.05E7	7.456367692422628E-4
2.052E7	7.265384892162585E-4
2.054E7	7.35664265405573E-4
2.056E7	6.73724664054749E-4
2.058E7	7.799425411465062E-4
2.06E7	7.752277158558377E-4
2.062E7	6.756289445797357E-4
2.064E7	7.400235148286099E-4
2.066E7	6.859106739644756E-4
2.068E7	6.339929781138013E-4
2.07E7	7.29131712332895E-4
2.072E7	8.196122927427703E-4
2.074E7	7.239908617972401E-4
2.076E7	8.4541914852471E-4
2.078E7	7.108172162900287E-4
2.08E7	7.071618420379702E-4
2.082E7	6.928402100890277E-4
2.084E7	7.871909372347597E-4
2.086E7	7.542082198930192E-4
2.088E7	7.196378911165461E-4
2.09E7	7.497815334482376E-4
2.092E7	8.026439825371074E-4
2.094E7	6.995713857645113E-4
2.096E7	8.93234447478619E-4
2.098E7	8.946877422252755E-4
2.1E7	8.102009148417472E-4
2.102E7	7.015789850075347E-4
2.104E7	7.492721241962164E-4
2.106E7	7.353139652461642E-4
2.108E7	7.086273230943444E-4
2.11E7	6.666402148440844E-4
2.112E7	5.212196797266821E-4
2.114E7	5.130205299005372E-4
2.116E7	6.097276850985725E-4
2.118E7	6.61940757444218E-4
