state	default.meanRate
2.0E7	8.046455107206354E-4
2.002E7	8.640727172725305E-4
2.004E7	8.184251057239612E-4
2.006E7	6.009363072065827E-4
2.008E7	7.065022492976102E-4
2.01E7	6.848249705843917E-4
2.012E7	8.346419829344486E-4
2.014E7	7.774855617524358E-4
2.016E7	8.339607648288096E-4
2.018E7	6.969281655884761E-4
2.02E7	7.465896934505914E-4
2.022E7	6.670414837022835E-4
2.024E7	5.887184688005778E-4
2.026E7	7.324041252129935E-4
2.028E7	6.965951960014784E-4
2.03E7	8.700265259708788E-4
2.032E7	8.686464043239285E-4
2.034E7	7.31702334629638E-4
2.036E7	7.232844543651492E-4
2.038E7	8.122056448566739E-4
2.04E7	7.689986973129034E-4
2.042E7	6.870884681721015E-4
2.044E7	7.056497076377218E-4
2.046E7	7.415674848340867E-4
2.048E7	7.703192912242594E-4
2.05E7	8.14577697554406E-4
2.052E7	6.898416793371519E-4
2.054E7	7.714598555299731E-4
2.056E7	8.110839654740464E-4
2.058E7	8.07293024774308E-4
2.06E7	7.204832119383222E-4
2.062E7	7.036696474102494E-4
2.064E7	7.264236466536904E-4
2.066E7	8.170638267347415E-4
2.068E7	6.423871453771731E-4
2.07E7	7.505268545459208E-4
2.072E7	6.386413188587537E-4
2.074E7	5.829669581580147E-4
2.076E7	7.473779376860097E-4
2.078E7	6.628455489615388E-4
2.08E7	7.659335027119456E-4
2.082E7	7.705669852067467E-4
2.084E7	8.210344522447522E-4
2.086E7	7.028289950055059E-4
2.088E7	7.529002683826847E-4
2.09E7	6.595476687560359E-4
2.092E7	6.82715285154672E-4
2.094E7	7.10753365782897E-4
2.096E7	6.198715892600024E-4
2.098E7	6.915095961119072E-4
2.1E7	7.520370624803595E-4
2.102E7	8.458552928934384E-4
2.104E7	7.280803462157219E-4
2.106E7	7.656439363149649E-4
2.108E7	6.952763600918512E-4
2.11E7	7.347139817579026E-4
2.112E7	8.24130626007811E-4
2.114E7	6.993148933168606E-4
2.116E7	7.604803164677357E-4
2.118E7	6.68904888990125E-4
2.12E7	7.055614385975329E-4
2.122E7	6.747204161459707E-4
2.124E7	6.546504738750426E-4
2.126E7	6.783413944972301E-4
2.128E7	6.744325825953974E-4
2.13E7	6.641055965859976E-4
2.132E7	7.771512000144741E-4
2.134E7	7.909237009940806E-4
2.136E7	8.033095887559192E-4
2.138E7	8.225485806774581E-4
2.14E7	7.316312254581809E-4
2.142E7	7.486123227005302E-4
2.144E7	7.668719703352546E-4
2.146E7	7.861572751231836E-4
2.148E7	7.702629721579306E-4
2.15E7	7.612197506775908E-4
2.152E7	7.259524719773317E-4
2.154E7	7.607390682316514E-4
2.156E7	7.216318719444025E-4
2.158E7	7.035538316915446E-4
2.16E7	7.23096763273295E-4
2.162E7	7.431577988553127E-4
2.164E7	6.540536498007081E-4
2.166E7	7.527851596685983E-4
2.168E7	8.273203095659018E-4
2.17E7	7.274496218403528E-4
2.172E7	7.791225789908967E-4
2.174E7	7.229738253041705E-4
2.176E7	8.233359124321487E-4
2.178E7	6.565888219118815E-4
2.18E7	7.023897137085874E-4
2.182E7	6.975211345618448E-4
2.184E7	8.706022492920921E-4
2.186E7	8.608658962721973E-4
2.188E7	6.782460504596369E-4
2.19E7	7.014126441610424E-4
2.192E7	6.432734450340144E-4
2.194E7	6.475219158181671E-4
2.196E7	6.677491660939793E-4
2.198E7	7.257411097149283E-4
2.2E7	7.288225827804783E-4
2.202E7	6.923292882432512E-4
2.204E7	7.509220525499098E-4
2.206E7	8.011762732974462E-4
2.208E7	9.052339934810685E-4
2.21E7	6.915253253802267E-4
2.212E7	8.114790165980702E-4
2.214E7	7.922586353659105E-4
2.216E7	8.653749241110859E-4
2.218E7	7.83968354261605E-4
2.22E7	7.18775978029267E-4
2.222E7	7.815279937680899E-4
2.224E7	7.9021468062424E-4
2.226E7	7.604160457018889E-4
2.228E7	7.372543545289731E-4
2.23E7	6.264462453783267E-4
2.232E7	6.523658417464104E-4
2.234E7	5.615339271253158E-4
2.236E7	7.778146368647909E-4
2.238E7	6.805670607972971E-4
2.24E7	6.915663201963873E-4
2.242E7	7.283539644408186E-4
2.244E7	7.155279050569251E-4
2.246E7	6.741514558429502E-4
2.248E7	8.252445044612313E-4
2.25E7	8.021985288335188E-4
2.252E7	8.471574156048201E-4
2.254E7	8.512370260502815E-4
2.256E7	8.184379594185318E-4
2.258E7	8.283864504850356E-4
2.26E7	8.010797160526641E-4
2.262E7	8.190665007617623E-4
2.264E7	7.600016460482136E-4
2.266E7	7.126002514225415E-4
2.268E7	8.226186813836982E-4
2.27E7	6.998831200871808E-4
2.272E7	7.295183975991775E-4
2.274E7	7.81115444827856E-4
2.276E7	7.272085427333732E-4
2.278E7	7.375298514673546E-4
2.28E7	7.285647025812511E-4
2.282E7	7.174331055038313E-4
2.284E7	7.474528514276145E-4
2.286E7	7.732995972935881E-4
2.288E7	7.382510953074786E-4
2.29E7	6.989096510995977E-4
2.292E7	7.340610372291758E-4
2.294E7	7.422373069813683E-4
2.296E7	6.877994077399041E-4
2.298E7	7.469109466888211E-4
2.3E7	6.743140042070919E-4
2.302E7	6.500575736230191E-4
2.304E7	6.409645794495949E-4
2.306E7	7.307534929536856E-4
2.308E7	6.637787977893882E-4
2.31E7	6.57626831025342E-4
2.312E7	6.259965787270794E-4
2.314E7	7.247868153134594E-4
2.316E7	7.758247764722736E-4
2.318E7	7.426482978659983E-4
2.32E7	7.066928162001305E-4
2.322E7	6.683561897528143E-4
2.324E7	7.284427189226373E-4
2.326E7	7.651689099388008E-4
2.328E7	8.068968822277099E-4
2.33E7	7.238122528966356E-4
2.332E7	7.016418966885601E-4
2.334E7	6.794284757744053E-4
2.336E7	7.727000008516657E-4
2.338E7	8.832510436588411E-4
