state	default.meanRate
2.0E7	9.201548367662921E-4
2.002E7	9.137576843121387E-4
2.004E7	8.461778287176544E-4
2.006E7	7.838181614699233E-4
2.008E7	8.344234049167367E-4
2.01E7	7.708793464028073E-4
2.012E7	8.369638215140985E-4
2.014E7	8.103716409945567E-4
2.016E7	8.324442392702287E-4
2.018E7	8.123824841349639E-4
2.02E7	8.525191205135209E-4
2.022E7	7.584707732520765E-4
2.024E7	7.274957617888852E-4
2.026E7	8.490196979447797E-4
2.028E7	8.633286690051186E-4
2.03E7	8.996336440956236E-4
2.032E7	9.179443742596332E-4
2.034E7	7.995624502447002E-4
2.036E7	9.117091571579707E-4
2.038E7	7.641309300398314E-4
2.04E7	8.977867167874427E-4
2.042E7	9.297947371090898E-4
2.044E7	8.116770550778603E-4
2.046E7	9.030873361639873E-4
2.048E7	8.733582963471392E-4
2.05E7	8.571439024435691E-4
2.052E7	8.045984801968805E-4
2.054E7	8.523637733566185E-4
2.056E7	7.473098828689933E-4
2.058E7	8.515058815546931E-4
2.06E7	8.089232978973799E-4
2.062E7	8.151850009609124E-4
2.064E7	9.149595323314941E-4
2.066E7	8.148806195274071E-4
2.068E7	7.056909067695641E-4
2.07E7	7.008092667173663E-4
2.072E7	6.936940878459098E-4
2.074E7	6.919945331801332E-4
2.076E7	7.084732822732363E-4
2.078E7	7.461647169100318E-4
2.08E7	8.244134688551874E-4
2.082E7	8.40118763509219E-4
2.084E7	7.837340209939925E-4
2.086E7	8.908008801008443E-4
2.088E7	7.736195565333677E-4
2.09E7	7.047838287104024E-4
2.092E7	7.566434306637443E-4
2.094E7	7.114629500622677E-4
2.096E7	7.277272911658526E-4
2.098E7	7.268315235968238E-4
2.1E7	6.759700978363956E-4
2.102E7	7.374204369151023E-4
2.104E7	8.787252728865607E-4
2.106E7	8.255677267536095E-4
2.108E7	8.373060769541343E-4
2.11E7	9.184380080915679E-4
2.112E7	9.158413277967282E-4
2.114E7	9.252093868211625E-4
2.116E7	8.673477751067936E-4
2.118E7	9.243866383072873E-4
2.12E7	8.778992618067113E-4
2.122E7	8.05028722280877E-4
2.124E7	8.43891402811335E-4
2.126E7	8.134757851044623E-4
2.128E7	7.481967728691205E-4
2.13E7	7.310548149991393E-4
2.132E7	7.178847754451181E-4
2.134E7	7.541437181434718E-4
2.136E7	7.34467379993769E-4
2.138E7	7.237960637855211E-4
2.14E7	6.61579473692745E-4
2.142E7	7.440999238733403E-4
2.144E7	7.988443328278617E-4
2.146E7	7.028511082579978E-4
2.148E7	6.863735840789641E-4
2.15E7	7.329897695582092E-4
2.152E7	7.436060526527155E-4
2.154E7	7.285370561042079E-4
2.156E7	7.540479972391722E-4
2.158E7	7.249836294564472E-4
2.16E7	8.022640591676918E-4
2.162E7	8.237781470758727E-4
2.164E7	7.823855892133256E-4
2.166E7	8.638294133967964E-4
2.168E7	7.862050522705117E-4
2.17E7	8.983513840739089E-4
2.172E7	9.011803150715984E-4
2.174E7	8.210040326593122E-4
2.176E7	8.840324119904125E-4
2.178E7	8.621552693041883E-4
2.18E7	7.726431255182839E-4
2.182E7	8.304093883582345E-4
2.184E7	7.909057856144269E-4
2.186E7	7.83593650751838E-4
2.188E7	8.143491165611197E-4
2.19E7	9.361989765456943E-4
2.192E7	8.354792020063763E-4
2.194E7	7.939583525641406E-4
2.196E7	7.182507693031406E-4
2.198E7	7.356071888107669E-4
2.2E7	8.140009648449274E-4
2.202E7	8.030748570362131E-4
2.204E7	9.735607352263445E-4
2.206E7	8.946274273591857E-4
2.208E7	8.956067110519406E-4
2.21E7	9.703373072767093E-4
2.212E7	8.510676849111872E-4
2.214E7	9.178675628656958E-4
2.216E7	8.332836699283231E-4
2.218E7	8.747085976320582E-4
2.22E7	9.019092952135238E-4
2.222E7	8.749327232521281E-4
2.224E7	9.250412635539379E-4
2.226E7	8.352529725389735E-4
2.228E7	8.451619370823259E-4
2.23E7	8.555234417928194E-4
2.232E7	9.294844129255664E-4
2.234E7	9.401894600133243E-4
2.236E7	8.593645401797446E-4
2.238E7	8.428268632021704E-4
2.24E7	9.237609732624343E-4
2.242E7	9.993149686702673E-4
2.244E7	9.355364035571516E-4
2.246E7	8.913299288374852E-4
2.248E7	7.861214712297792E-4
2.25E7	8.442066019725595E-4
2.252E7	9.050483587408424E-4
2.254E7	9.304886809244572E-4
2.256E7	7.310862769096525E-4
2.258E7	8.900035553806717E-4
2.26E7	8.685624367857991E-4
2.262E7	7.688558328322513E-4
2.264E7	8.306999610081748E-4
2.266E7	8.347815896883802E-4
2.268E7	7.211358027443853E-4
2.27E7	7.277695376116509E-4
2.272E7	7.725232740910716E-4
2.274E7	7.333632311082092E-4
2.276E7	7.946420285312013E-4
