state	default.meanRate
2.0E7	4.6874389522512063E-4
2.002E7	4.2571456251724334E-4
2.004E7	5.282582092752671E-4
2.006E7	6.031635632199505E-4
2.008E7	5.737152542064452E-4
2.01E7	6.00601113255214E-4
2.012E7	5.578681645950767E-4
2.014E7	7.165352765663994E-4
2.016E7	5.861437706660373E-4
2.018E7	5.891841991424435E-4
2.02E7	5.775208878149301E-4
2.022E7	4.9935218193387E-4
2.024E7	4.6721190983862576E-4
2.026E7	5.417645300580091E-4
2.028E7	4.912082763341486E-4
2.03E7	4.8813702476170314E-4
2.032E7	3.9367473053174984E-4
2.034E7	5.259509245090073E-4
2.036E7	4.3455007436387993E-4
2.038E7	4.962915258845842E-4
2.04E7	4.324587579817084E-4
2.042E7	4.95198504567565E-4
2.044E7	4.7595777120490354E-4
2.046E7	4.47876043839788E-4
2.048E7	5.700657610867754E-4
2.05E7	5.29692357962121E-4
2.052E7	5.551767560475055E-4
2.054E7	5.681483531730316E-4
2.056E7	4.6194492617592506E-4
2.058E7	5.001199537725507E-4
2.06E7	5.398296834646251E-4
2.062E7	5.111287678791929E-4
2.064E7	5.034855597572072E-4
2.066E7	5.142186042426582E-4
2.068E7	4.839366792624962E-4
2.07E7	4.53502772796176E-4
2.072E7	5.097120657930965E-4
2.074E7	5.472048008387854E-4
2.076E7	5.371808660867348E-4
2.078E7	4.957810713354487E-4
2.08E7	4.109752682715808E-4
2.082E7	4.401956578785177E-4
2.084E7	4.302016303533616E-4
2.086E7	3.707986205918373E-4
2.088E7	4.0011620550678255E-4
2.09E7	4.5093948377053066E-4
2.092E7	4.6707114764387304E-4
2.094E7	5.002956412633268E-4
2.096E7	5.230947152823866E-4
2.098E7	4.8516171816552955E-4
2.1E7	4.95206063086402E-4
2.102E7	4.847204125306685E-4
2.104E7	4.240404885549053E-4
2.106E7	5.053707591068492E-4
2.108E7	5.116810180567492E-4
2.11E7	3.7697248208546703E-4
2.112E7	5.323510809924976E-4
2.114E7	3.8940747626395816E-4
2.116E7	4.8098590174908574E-4
2.118E7	4.6682817036369095E-4
2.12E7	4.626333752685258E-4
2.122E7	4.3943122912039605E-4
2.124E7	4.6232222954083977E-4
2.126E7	3.939529251995926E-4
2.128E7	3.724357610009878E-4
2.13E7	3.3070613716092845E-4
2.132E7	3.62303952901399E-4
2.134E7	3.9372235367241215E-4
2.136E7	4.792258860821465E-4
2.138E7	4.5749724134273856E-4
2.14E7	5.368285529957241E-4
2.142E7	4.461074219444385E-4
2.144E7	4.2811297510564973E-4
2.146E7	4.930622422631474E-4
2.148E7	5.983910580364928E-4
2.15E7	5.740592660377213E-4
2.152E7	5.376371564540786E-4
2.154E7	5.680857368794759E-4
2.156E7	4.323814856664605E-4
2.158E7	4.906092618189622E-4
2.16E7	4.696434616009794E-4
2.162E7	5.660915606747472E-4
2.164E7	5.518734777508178E-4
2.166E7	6.099394708051985E-4
2.168E7	4.662078744986302E-4
2.17E7	5.036168548485363E-4
2.172E7	4.807676544575869E-4
2.174E7	6.085886625808239E-4
2.176E7	5.090589576590859E-4
2.178E7	4.7319455138469487E-4
2.18E7	5.328278945284171E-4
2.182E7	5.700119921789152E-4
2.184E7	5.178954862098744E-4
2.186E7	4.1576710415131793E-4
2.188E7	5.171229647349164E-4
2.19E7	4.1402539786084154E-4
2.192E7	4.391203287592052E-4
2.194E7	4.814657684650518E-4
2.196E7	4.950183259869733E-4
2.198E7	5.783317895487071E-4
2.2E7	6.431238591806051E-4
2.202E7	5.770591575467273E-4
2.204E7	5.237860090234534E-4
2.206E7	4.817794016950696E-4
2.208E7	5.384228374245851E-4
2.21E7	5.265373008907545E-4
2.212E7	5.448282760007797E-4
2.214E7	5.762228953831338E-4
2.216E7	4.796705201154978E-4
2.218E7	5.238962708342838E-4
2.22E7	5.258568353808123E-4
2.222E7	5.537745327290173E-4
2.224E7	6.071236793383067E-4
2.226E7	5.348555377028301E-4
2.228E7	5.583382382141716E-4
2.23E7	4.894880797918705E-4
2.232E7	4.910885744950304E-4
2.234E7	4.740928601413276E-4
2.236E7	4.477898546454487E-4
2.238E7	4.451340562237386E-4
2.24E7	4.498846246294865E-4
2.242E7	4.3751699810403236E-4
2.244E7	3.9420999375915365E-4
2.246E7	5.185191779379675E-4
2.248E7	5.8992224626765E-4
2.25E7	4.514199401049473E-4
2.252E7	4.911867704103743E-4
2.254E7	5.537021307618922E-4
2.256E7	4.6228248432657397E-4
2.258E7	4.348397026967292E-4
2.26E7	3.8546758035638476E-4
2.262E7	3.740695938131469E-4
2.264E7	4.417354817844944E-4
2.266E7	4.6391883263753586E-4
2.268E7	4.268416671312136E-4
2.27E7	4.246878599709036E-4
2.272E7	4.092516908035159E-4
2.274E7	3.3594506578167355E-4
2.276E7	3.6682582801479387E-4
2.278E7	4.454010122850358E-4
2.28E7	3.9156619988912883E-4
2.282E7	3.7016952134185543E-4
2.284E7	4.573901913339378E-4
2.286E7	4.1424998440504944E-4
2.288E7	4.814865446614924E-4
2.29E7	4.107213423576743E-4
2.292E7	4.2043925484109716E-4
2.294E7	5.463132643013344E-4
2.296E7	4.648376205797259E-4
2.298E7	5.515190597468719E-4
2.3E7	5.210791233642389E-4
2.302E7	3.966932298797381E-4
2.304E7	4.281211528952242E-4
2.306E7	4.733423990072311E-4
2.308E7	4.312822599247215E-4
2.31E7	4.565965036085086E-4
2.312E7	4.039988158876989E-4
2.314E7	4.3941300226834446E-4
2.316E7	3.337433847803965E-4
2.318E7	4.1580820647232935E-4
2.32E7	4.2576179305442587E-4
2.322E7	4.7369794501180874E-4
2.324E7	4.298583986626519E-4
2.326E7	4.5309373538140004E-4
2.328E7	4.7798894991362345E-4
2.33E7	4.6819442120607106E-4
2.332E7	4.6509727548554484E-4
2.334E7	3.9766899855243497E-4
2.336E7	4.477523768180091E-4
2.338E7	4.3333417806211286E-4
2.34E7	4.739140998350958E-4
2.342E7	4.3171890067472105E-4
2.344E7	4.26371310893392E-4
2.346E7	4.4006627081931253E-4
2.348E7	4.8580319443075663E-4
2.35E7	5.72337901870417E-4
2.352E7	5.411202672079419E-4
2.354E7	4.489785418622121E-4
2.356E7	5.295756293742544E-4
2.358E7	4.888717528005981E-4
2.36E7	5.964721302593794E-4
2.362E7	6.132198569040409E-4
2.364E7	5.677277532138456E-4
2.366E7	4.664733766162057E-4
2.368E7	5.83914793604439E-4
2.37E7	5.235025943629375E-4
2.372E7	5.143215919431292E-4
2.374E7	5.435392220950684E-4
2.376E7	4.270705135438063E-4
2.378E7	3.819047693617758E-4
2.38E7	4.766818362231716E-4
2.382E7	4.3343785252902617E-4
2.384E7	4.295949283316714E-4
2.386E7	3.8608160953141013E-4
2.388E7	3.621900469988928E-4
2.39E7	3.427840312061049E-4
2.392E7	3.743937449079575E-4
2.394E7	3.8534050796253127E-4
2.396E7	4.7953584643076793E-4
2.398E7	5.333699247180766E-4
2.4E7	4.403144195812863E-4
2.402E7	4.022782757293626E-4
2.404E7	4.2504830152746356E-4
2.406E7	5.970917449599403E-4
2.408E7	4.974926364965331E-4
2.41E7	5.16801893216613E-4
2.412E7	5.578845451162908E-4
2.414E7	4.952382630927302E-4
2.416E7	5.35433728935151E-4
2.418E7	5.584704652521615E-4
2.42E7	4.591976521041276E-4
2.422E7	6.383531906202453E-4
2.424E7	4.6271058098434117E-4
2.426E7	5.503131710551378E-4
2.428E7	5.276958120847434E-4
2.43E7	4.5555538536122585E-4
2.432E7	4.0055114491652563E-4
2.434E7	3.773440133603779E-4
2.436E7	5.256216521293912E-4
2.438E7	4.997880102610127E-4
2.44E7	3.19179338919234E-4
2.442E7	4.093980288046556E-4
2.444E7	4.698033759496584E-4
2.446E7	4.977785302461489E-4
2.448E7	5.29567426615407E-4
2.45E7	6.102589814637151E-4
2.452E7	4.111765324685991E-4
2.454E7	4.2826879343620133E-4
2.456E7	4.677400571676782E-4
2.458E7	4.6302377488808053E-4
2.46E7	4.5318699979230733E-4
2.462E7	5.196223101723233E-4
2.464E7	5.272568848962854E-4
2.466E7	4.39835017135775E-4
