state	default.meanRate
2.0E7	6.547219573832646E-4
2.002E7	7.387454711867286E-4
2.004E7	5.834289426448864E-4
2.006E7	4.3588604207003655E-4
2.008E7	3.6548975581589607E-4
2.01E7	4.4422915916508105E-4
2.012E7	2.939110999078274E-4
2.014E7	4.1652597284138156E-4
2.016E7	6.941130316972965E-4
2.018E7	5.338277405614775E-4
2.02E7	3.5668964852051576E-4
2.022E7	3.246487966404439E-4
2.024E7	6.178343595566431E-4
2.026E7	4.667107449264347E-4
2.028E7	4.475733741060023E-4
2.03E7	6.359451367549595E-4
2.032E7	4.8673511639981223E-4
2.034E7	5.54605161714294E-4
2.036E7	2.544579733825899E-4
2.038E7	3.08646104100192E-4
2.04E7	3.340168389242634E-4
2.042E7	3.677918712135711E-4
2.044E7	2.371590221680854E-4
2.046E7	1.708286702141881E-4
2.048E7	2.5115765267939714E-4
2.05E7	1.0686131387564704E-4
2.052E7	1.5520212001493086E-4
2.054E7	2.884528334440789E-4
2.056E7	2.2392721557531965E-4
2.058E7	5.09857660849365E-4
2.06E7	1.8959980058748862E-4
2.062E7	1.5281052770421425E-4
2.064E7	7.421199005089328E-5
2.066E7	2.096889069587648E-4
2.068E7	3.972491072053339E-4
2.07E7	3.4175474646800405E-4
2.072E7	3.269050899013309E-4
2.074E7	2.4002794529861607E-4
2.076E7	1.267159770885347E-4
2.078E7	1.1467592653279483E-4
2.08E7	3.728403462131289E-4
2.082E7	3.1105405345022505E-4
2.084E7	5.129669410308084E-4
2.086E7	1.8493527305892115E-4
2.088E7	2.7404164098034285E-4
2.09E7	3.203661419358346E-4
2.092E7	4.0806889346337396E-4
2.094E7	3.7139365059771646E-4
2.096E7	2.508673116957925E-4
2.098E7	2.6846358249888635E-4
2.1E7	2.1888576169020756E-4
2.102E7	1.863453027644017E-4
2.104E7	1.7941032986261852E-4
2.106E7	1.0516639672867044E-4
2.108E7	9.802021975291319E-5
2.11E7	7.477358939677077E-5
2.112E7	2.926648990985107E-4
2.114E7	1.5146903788109878E-4
2.116E7	2.6540151998997655E-4
2.118E7	2.249482831271799E-4
2.12E7	1.794396015649729E-4
2.122E7	2.5627066893409893E-4
2.124E7	2.5306018199614607E-4
2.126E7	2.807614622943112E-4
2.128E7	4.532991211641835E-4
2.13E7	3.849013972676378E-4
2.132E7	5.845071561490094E-4
2.134E7	5.014148306437572E-4
2.136E7	2.8077962507640377E-4
2.138E7	2.992172248664242E-4
2.14E7	3.191534680892594E-4
2.142E7	3.230495649417986E-4
2.144E7	3.168490515216699E-4
2.146E7	4.0325301182116277E-4
2.148E7	3.1204625220250195E-4
2.15E7	5.101885245102412E-4
2.152E7	5.029620819903053E-4
2.154E7	2.6388746939795283E-4
2.156E7	2.0093422865191172E-4
2.158E7	3.608912166580752E-4
2.16E7	5.554198657031512E-4
2.162E7	4.2390760008217E-4
2.164E7	3.2650572157258797E-4
2.166E7	7.652483675706193E-4
2.168E7	2.4864748055385946E-4
2.17E7	3.5210951798436197E-4
2.172E7	4.4985019103357927E-4
2.174E7	4.355759003109794E-4
2.176E7	3.1980549271245823E-4
2.178E7	5.113543635290981E-4
2.18E7	2.755584829690108E-4
2.182E7	3.502850121873324E-4
2.184E7	2.856716314109955E-4
2.186E7	6.763945023519186E-4
2.188E7	5.775203370861925E-4
2.19E7	4.8461533171406294E-4
2.192E7	3.3317824824761116E-4
2.194E7	4.649884698576937E-4
2.196E7	5.915292903767776E-4
2.198E7	4.491343463919868E-4
2.2E7	2.2456875613594514E-4
2.202E7	1.707791171487042E-4
2.204E7	1.5312431101080213E-4
2.206E7	2.3465990770507375E-4
2.208E7	3.773821571568777E-4
2.21E7	2.9092712430443617E-4
2.212E7	4.3524869924529606E-4
2.214E7	3.0613501141397835E-4
2.216E7	4.099485322934802E-4
2.218E7	3.9922292444410657E-4
2.22E7	3.944601027311873E-4
2.222E7	6.612265404614921E-4
2.224E7	3.7541365408381007E-4
2.226E7	6.300736413570464E-4
2.228E7	5.278525841400772E-4
2.23E7	5.240358460700376E-4
2.232E7	5.99381538761847E-4
2.234E7	3.7493457215454087E-4
2.236E7	3.5029816711378486E-4
2.238E7	4.618655755165598E-4
2.24E7	4.40859526892969E-4
2.242E7	5.002667367899881E-4
2.244E7	3.786428351849859E-4
2.246E7	3.983254778295771E-4
2.248E7	4.2587130914847166E-4
2.25E7	4.656148091718154E-4
2.252E7	3.3919722508447467E-4
2.254E7	4.7509234026850135E-4
2.256E7	4.109089182069347E-4
2.258E7	5.372199325855149E-4
2.26E7	5.576866014553623E-4
2.262E7	4.69322302563925E-4
2.264E7	3.377281747354965E-4
2.266E7	6.225597235527245E-4
2.268E7	4.4362215474354704E-4
2.27E7	1.889400655695613E-4
2.272E7	2.54542099673945E-4
2.274E7	3.384473509430231E-4
2.276E7	2.5282560906378273E-4
2.278E7	4.529024592028157E-4
2.28E7	2.5892439402967423E-4
2.282E7	2.7969926813778233E-4
2.284E7	3.872493864228123E-4
2.286E7	7.330778039376563E-4
2.288E7	5.55238734183923E-4
2.29E7	5.10344480459833E-4
2.292E7	5.941403301888323E-4
2.294E7	4.4372208648355883E-4
2.296E7	6.241355950891618E-4
2.298E7	3.305820296991758E-4
2.3E7	4.120199328602007E-4
2.302E7	7.098243157434898E-4
2.304E7	5.422972744460706E-4
2.306E7	3.808306282239475E-4
2.308E7	3.399487131991667E-4
2.31E7	4.032411092954632E-4
2.312E7	4.3477234451499606E-4
2.314E7	3.459208483145376E-4
2.316E7	3.727905048160294E-4
2.318E7	1.9482254391859553E-4
2.32E7	3.2800721097125794E-4
2.322E7	8.4917714183843E-5
2.324E7	2.1794719881385426E-4
2.326E7	3.1217131167679497E-4
2.328E7	2.65018912321196E-4
2.33E7	3.849890701513757E-4
2.332E7	3.328946429922725E-4
2.334E7	3.578293429236291E-4
2.336E7	4.7142921443277957E-4
2.338E7	1.7781709134620334E-4
2.34E7	1.526846916326263E-4
2.342E7	2.1331257127827884E-4
2.344E7	2.4082458233919954E-4
2.346E7	2.6688991213351203E-4
2.348E7	2.8097145667563213E-4
2.35E7	2.61111249771587E-4
2.352E7	4.218169838619295E-4
2.354E7	3.978498521060192E-4
2.356E7	1.6168020827213395E-4
2.358E7	1.8342002945717967E-4
2.36E7	3.246496769248162E-4
2.362E7	3.748332413258947E-4
2.364E7	4.652991268113707E-4
2.366E7	4.352326870490335E-4
2.368E7	6.586465290075364E-4
2.37E7	4.075418287357236E-4
2.372E7	5.331505376892507E-4
2.374E7	4.466770443920117E-4
2.376E7	3.643434850085619E-4
2.378E7	3.438900710338107E-4
2.38E7	3.110926907456592E-4
2.382E7	4.391469090140812E-4
2.384E7	4.954878680311453E-4
2.386E7	4.725233436135237E-4
2.388E7	4.852466427314212E-4
2.39E7	3.7343144832349267E-4
2.392E7	2.780899229740592E-4
2.394E7	3.334732038507671E-4
2.396E7	3.636879794770586E-4
2.398E7	5.878113934011779E-4
2.4E7	4.3702843869565164E-4
2.402E7	3.790311909884975E-4
2.404E7	3.8447307195666765E-4
2.406E7	3.2075858864053983E-4
2.408E7	3.886182945791178E-4
2.41E7	3.4812599225211643E-4
2.412E7	5.299862790088797E-4
2.414E7	4.3296683455926573E-4
2.416E7	3.797976255085457E-4
2.418E7	4.490464966475295E-4
2.42E7	5.585444171369334E-4
2.422E7	4.963028651109709E-4
2.424E7	4.818740153012297E-4
2.426E7	7.813575503644994E-4
2.428E7	7.511876540796543E-4
2.43E7	5.198626925802818E-4
2.432E7	3.4440827299031177E-4
2.434E7	4.198825029987043E-4
2.436E7	2.6538943419228606E-4
2.438E7	5.477430428170433E-4
2.44E7	3.803204847179212E-4
2.442E7	1.9969910220424345E-4
2.444E7	2.7808709189476935E-4
2.446E7	5.354276899853274E-4
2.448E7	5.996139907749416E-4
2.45E7	4.567313335615241E-4
2.452E7	5.316060302551245E-4
2.454E7	3.332541730885158E-4
2.456E7	4.255103350990699E-4
2.458E7	5.733046947702216E-4
2.46E7	5.301970368493567E-4
2.462E7	4.725054156412828E-4
2.464E7	6.031024008043547E-4
2.466E7	6.503385351049238E-4
2.468E7	3.95888688178812E-4
2.47E7	6.223437541871312E-4
2.472E7	3.909149264944613E-4
2.474E7	5.656959292740771E-4
2.476E7	6.53906521391588E-4
2.478E7	5.36797655732951E-4
2.48E7	5.672926607555116E-4
2.482E7	5.313495382305147E-4
2.484E7	4.039317758172252E-4
