"","Genotype","Subgenotype","Count","MPDs","Span","Shannon.Wiener","Simpson","Length","r","tMRCA.Median","Rate.Median"
"1","I","1A",109,0.0169,52.903047706422,1.42945794257374,0.679909098560727,67,0.904789403280702,1940.7942,0.0010664
"2","I","1B",181,0.0152,22.3039287292817,1.0881952426349,0.512255425658557,21,0.719084165221917,1980.5469,0.00092953
"3","I","1D",327,0.0089,13.2187082568807,0.425014810758241,0.176790206585678,14,0.619959725368623,1993.6712,0.00095008
"4","I","1G",235,0.011,10.0555276595746,0.509612750914091,0.257383431416931,16,0.658472911467016,1993.0466,0.00074913
"5","I","1H",371,0.0116,11.423249865229,1.9187345478494,0.814699108550505,14,0.655180412110156,1999.2533,0.0012941
"6","I","1J",385,0.0098,8.83502987012986,1.95671259289892,0.82596053297352,13,0.762070749441581,1999.8351,0.0011898
"7","I","1M",161,0.0086,7.60018571428571,0.746428943767664,0.409706415647544,10,0.701254312023456,2003.1141,0.0011665
"8","IV","4A",75,0.0148,39.4528333333334,0.700890827746039,0.288711111111111,43,0.910634508856419,1967.4805,0.00094016
"9","IV","4B",36,0.0104,10.2399222222223,0.378387007111836,0.157407407407408,10,0.834389319746448,1999.9823,0.00097701
"10","IV","4D",30,0.0092,25.2072333333334,0.76475441956742,0.426666666666667,27,0.955317228301916,1980.6261,0.001184
"11","IV","4E",90,0.0117,22.247888888889,0.936835372692021,0.477530864197531,20,0.670722960855808,1984.841,0.00044388
"12","IV","4F",36,0.02,22.8679777777779,1.64974827995282,0.776234567901235,23,0.936783976671486,1978.4098,0.0009982
"13","IV","4G",21,0.0134,9.43869047619057,1.39239795355669,0.666666666666667,14,0.956424253480517,1999.0375,0.0011409
"14","V","5B",37,0.0191,39.0426810810812,1.88145180936874,0.815193571950329,53,0.958912848122892,1961.0384,0.00051999
"15","V","5K",58,0.0197,36.3478379310346,2.59348980696102,0.900118906064209,52,0.701318053240416,1950.3763,0.00053696
"16","V","5L",126,0.0086,26.9414396825397,0.741513710758728,0.483371126228269,31,0.855997633501763,1984.7411,0.00074879
"17","V","5M",47,0.0081,16.3119170212766,1.22276198842149,0.620190131281123,16,0.705031795019951,1980.5817,0.00056535
"18","V","5N",120,0.0152,19.1702666666666,1.71655431980742,0.730972222222222,28,0.870030097369743,1983.6964,0.00077504
"19","V","5O",325,0.0087,5.98246153846153,1.02604352332712,0.488710059171598,12,0.737438455099567,2002.596,0.001128
"20","V","5P",206,0.0122,17.0395300970873,1.05680924916201,0.517767932887171,22,0.716887792697983,1991.3828,0.00080999
"21","V","5Q",109,0.0087,20.7026220183487,1.32233288813925,0.623011531015908,17,0.736780034314292,1989.0038,0.00047387
