"","Genotype","Clade","Count","MPDs","Span","Shannon.Wiener","Simpson","Length","r","tMRCA.Median","Rate.Median"
"1","I","1A12",28,0.00735396,4.47797142857153,0.257318640543832,0.13265306122449,9,0.724308802833029,1985.2006,0.0011331
"2","I","1B8",27,0.00527209,10.9951444444445,0.158410570131791,0.0713305898491086,6,0.78291403676675,1995.4493,0.00041563
"3","I","1C1",178,0.00697566,4.42535842696619,0.0693948810408789,0.0222825400833229,9,0.825325831895984,2001.9679,0.0010528
"4","I","1D1",29,0.0059445,5.86500689655177,1.08891357745187,0.558858501783591,9,0.959546396815248,1998.7212,0.0012676
"5","I","1D2",61,0.00735736,6.85835573770481,0,0,6,0.558974707883506,2000.5023,0.00083126
"6","I","1D3",57,0.00761542,6.21723508771931,0.239692796332959,0.100954139735303,9,0.749543707130469,2001.3968,0.0013444
"7","I","1E1",521,0.00683903,9.11375355086365,0.41321953151646,0.153278244627746,15,0.770445112017402,1999.4064,0.0011962
"8","I","1F1",140,0.00546763,5.79854285714297,1.07429805121084,0.578877551020408,10,0.626564804936152,2002.5086,0.0012173
"9","I","1G1",31,0.00565367,5.07946451612907,0.53415936668715,0.349635796045786,7,0.620596610651844,1996.1786,0.00075375
"10","I","1H1",55,0.0071317,5.12040000000002,1.01877429384419,0.517685950413223,10,0.815537488040351,1998.8796,0.00094751
"11","I","1H4",103,0.00704793,6.73925922330093,1.05206831110746,0.615138090300688,9,0.81433343682383,2004.8821,0.0012195
"12","I","1I1",86,0.00513885,8.17931162790707,0.335184055802814,0.187398593834505,9,0.858893611054328,1998.3672,0.0012708
"13","I","1J1",29,0.00712212,5.98122068965523,1.49836276933204,0.725326991676575,6,0.834946043683455,2001.7774,0.0012064
"14","I","1J2",22,0.00406081,1.8121000000001,1.04586099077722,0.537190082644628,6,0.779735354610703,2006.6879,0.00090109
"15","I","1J3",23,0.00608988,4.56276956521732,1.10552992876492,0.540642722117202,7,0.845765755948583,2006.6981,0.0012274
"16","I","1J4",37,0.00739527,3.78843243243243,1.33704399537821,0.711468224981738,9,0.724602240918272,2004.644,0.0018808
"17","I","1J5",43,0.00568699,5.35385348837208,0.717810612667984,0.424012979989183,5,0.918323717739251,2004.4601,0.00099627
"18","I","1J6",161,0.005663,6.32855590062102,1.3516435961092,0.622661162763782,13,0.817707189603469,1999.7025,0.0010835
"19","I","1J7",70,0.00342417,5.63385714285722,1.66664833462077,0.771428571428571,5,0.504133381361343,2008.109,0.00083653
"20","I","1K1",107,0.00389404,9.0130327102803,0.580545617248445,0.267796314088567,9,0.635745640436115,2004.1365,0.001458
"21","I","1L1",151,0.0039,9.58997152317888,1.35459643973157,0.672251217051884,9,0.501220112222507,2004.0193,0.0010365
"22","I","1M1",39,0.00618782,3.64588205128195,0.320152001372214,0.144641683103221,10,0.90648637243988,2004.4054,0.0011453
"23","I","1M8",35,0.00422601,2.50582857142858,0.623663306475011,0.364081632653061,7,0.928222079937996,2006.4656,0.001387
"24","IV","4A14",46,0.00773532,7.70093478260873,0.208981746654236,0.0841209829867674,9,0.721139331093154,2004.4295,0.0010876
"25","IV","4B3",29,0.00715696,7.74217586206886,0.44624376141549,0.192627824019025,7,0.778628160227644,2002.7061,0.00093115
"26","IV","4C3",35,0.00772091,5.38528571428563,0.560819199429287,0.257959183673469,8,0.621375671754777,2006.929,0.0013307
"27","IV","4D3",26,0.00421652,7.83739999999989,0.535961049709069,0.272189349112426,10,0.935347021899846,1999.6626,0.0013455
"28","IV","4H1",196,0.00661312,11.8380163265306,1.53477824736823,0.69283631820075,16,0.944994231448065,1994.9528,0.00098117
"29","V","5C1",317,0.00505924,13.099210725552,1.49565379677002,0.711003194379484,12,0.609340748303195,2000.0806,0.0013166
"30","V","5L3",74,0.00623575,6.94313783783778,0.554789602348774,0.368151935719503,10,0.553741816857447,2005.3947,0.00074709
"31","V","5M7",34,0.00444372,11.0239823529411,1.05339549836058,0.602076124567474,13,0.770409491580612,1986.6819,0.00069781
"32","V","5N7",40,0.00737287,8.29300000000007,0,0,11,0.660457904585946,1990.032,0.00084817
"33","V","5O1",98,0.00557156,4.09154285714291,1.18474625532818,0.608288213244481,10,0.72541174904785,2002.7656,0.0010021
"34","V","5O2",44,0.00646849,7.7204090909091,1.3265241704294,0.696280991735537,10,0.682219961533666,2003.3705,0.00063311
"35","V","5O3",97,0.00611302,5.16552680412367,0.259912992367261,0.117121904559464,7,0.76878694448741,2002.3087,0.0012763
"36","V","5O4",86,0.00533671,6.24389999999994,0.151328606566043,0.0673336938885882,6,0.708297007852301,2004.2561,0.0011937
"37","V","5P8",43,0.00621945,19.9273627906977,0,0,12,0.510183723760058,1986.7238,0.00025486
"38","V","5P9",84,0.00763864,5.93879047619054,1.34742923290441,0.696428571428571,12,0.896267963844252,2002.2874,0.00091858
"39","V","5Q1",63,0.00740189,20.2554920634921,1.57004868595911,0.713025951121189,16,0.635414275866935,1987.808,0.00036434
"40","V","5R1",106,0.00509579,4.42882264150933,0.986035215109854,0.567995728017088,7,0.738518133147102,2008.4108,0.0016587
