"","cluster","Country"
"Argentina",1,"Argentina"
"Australia",2,"Australia"
"Bhutan",1,"Bhutan"
"Brazil",1,"Brazil"
"Cambodia",2,"Cambodia"
"China",2,"China"
"Colombia",1,"Colombia"
"Costa_Rica",1,"Costa_Rica"
"East_Timor",3,"East_Timor"
"Fiji",3,"Fiji"
"French_Polynesia",3,"French_Polynesia"
"India",1,"India"
"Indonesia",2,"Indonesia"
"Japan",2,"Japan"
"Laos",2,"Laos"
"Malaysia",2,"Malaysia"
"Mexico",1,"Mexico"
"Myanmar",2,"Myanmar"
"Nepal",1,"Nepal"
"New_Caledonia",3,"New_Caledonia"
"Nicaragua",1,"Nicaragua"
"Papua_New_Guinea",3,"Papua_New_Guinea"
"Paraguay",1,"Paraguay"
"Philippines",3,"Philippines"
"Puerto_Rico",1,"Puerto_Rico"
"Singapore",2,"Singapore"
"Sri_Lanka",2,"Sri_Lanka"
"Thailand",2,"Thailand"
"USA",1,"USA"
"USA.Hawaii",3,"USA.Hawaii"
"Venezuela",1,"Venezuela"
"Vietnam",2,"Vietnam"
