"","Country","kmeans","Pam","Clara"
"1","Angola",5,1,1
"2","Argentina",5,1,1
"3","Aruba",5,1,1
"4","Australia",5,1,1
"5","Bahamas",3,2,2
"6","Bangladesh",4,3,3
"7","Barbados",5,1,1
"8","Belize",5,1,1
"9","Bhutan",4,3,3
"10","Brazil",5,1,1
"11","Cambodia",5,1,1
"12","China",5,1,1
"13","Colombia",5,1,1
"14","Comoros",5,1,1
"15","Cook_Islands",6,4,4
"16","Costa_Rica",5,5,5
"17","Cote_dIvoire",5,1,1
"18","Djibouti",5,1,1
"19","Dominica",1,6,6
"20","East_Timor",5,1,1
"21","Easter_Island",9,7,7
"22","Ecuador",5,1,1
"23","El_Salvador",5,1,1
"24","Eritrea",5,1,1
"25","Fiji",10,8,8
"26","French_Guiana",2,1,1
"27","French_Polynesia",6,4,4
"28","Grenada",3,2,2
"29","Guyana",7,1,1
"30","Haiti",1,6,6
"31","Honduras",5,5,5
"32","India",5,1,1
"33","Indonesia",5,1,1
"34","Jamaica",5,1,1
"35","Japan",5,1,1
"36","Kiribati",10,8,8
"37","Laos",5,1,1
"38","Madagascar",10,9,9
"39","Malaysia",5,1,1
"40","Maldives",5,1,1
"41","Marshall_Islands",8,10,10
"42","Martinique",1,6,6
"43","Mexico",5,1,1
"44","Micronesia",8,10,10
"45","Myanmar",5,1,1
"46","NA",5,1,1
"47","Nauru_Island",5,1,1
"48","Nepal",5,1,1
"49","New_Caledonia",5,1,1
"50","Nicaragua",5,1,1
"51","Nigeria",5,1,1
"52","Niue",10,8,8
"53","Pakistan",5,1,1
"54","Palau",5,1,1
"55","Papua_New_Guinea",5,1,1
"56","Paraguay",5,1,1
"57","Peru",5,1,1
"58","Philippines",5,1,1
"59","Puerto_Rico",5,1,1
"60","Reunion",10,9,9
"61","Saint_Barthelemy",5,5,5
"62","Samoa",5,1,1
"63","Saudi_Arabia",5,1,1
"64","Seychelles",10,9,9
"65","Singapore",5,1,1
"66","Solomon_Islands",8,10,10
"67","Somalia",5,1,1
"68","Sri_Lanka",5,1,1
"69","Suriname",3,2,2
"70","Thailand",5,1,1
"71","Tonga",6,4,4
"72","Trinidad_and_Tobago",3,2,2
"73","USA",5,1,1
"74","USA.Hawaii",9,7,7
"75","Vanuatu",10,8,8
"76","Venezuela",7,1,1
"77","Vietnam",5,1,1
"78","Virgin_Islands",5,1,1
"79","Wallis_and_Futuna",9,7,7
