"","data.1A","data.1B","data.1C","data.1D","data.1E","data.1F","data.1G","data.1H","data.1I","data.2A","data.3A","data.4A","data.4B","data.4C","data.5A","data.5B","data.5C","data.5D","data.5E","data.5F","data.5G","data.5H","data.5I","data.5J"
"America",6,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,3,0,0,126,89,446,417
"GMS-EastAsia",0,94,206,1151,235,322,86,328,20,4,0,20,22,14,0,139,7,0,4,0,0,1,1,2
"Oceania",0,0,0,24,0,1,0,0,2,0,0,0,0,191,0,0,0,0,0,0,0,1,0,0
"Others",1,0,1,3,0,3,0,4,1,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0
"Philippines",0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0
"RedSeaRegion",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"SEA",0,0,0,7,0,12,0,275,175,1,3,38,98,18,0,117,0,0,0,1,0,0,0,0
"SouthAsia",0,0,0,0,0,33,0,0,0,0,0,0,0,0,1,101,0,0,5,12,0,0,0,0
"SWIR",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0
"WestAfrica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0
