"","data.1A1","data.1B1","data.1B2","data.1B3","data.1B4","data.1B5","data.1C1","data.1C2","data.1D1","data.1D2","data.1D3","data.1D4","data.1D5","data.1D6","data.1D7","data.1D8","data.1E1","data.1E2","data.1E3","data.1E4","data.1E5","data.1F1","data.1F2","data.1F3","data.1F4","data.1F5","data.1F6","data.1G1","data.1H1","data.1H2","data.1H3","data.1H4","data.1H5","data.1H6","data.1H7","data.1H8","data.1I1","data.1I2","data.1I3","data.2A1","data.3A1","data.4A1","data.4A2","data.4A3","data.4A4","data.4B1","data.4B2","data.4B3","data.4B4","data.4B5","data.4B6","data.4C1","data.4C10","data.4C2","data.4C3","data.4C4","data.4C5","data.4C6","data.4C7","data.4C8","data.4C9","data.5A1","data.5B1","data.5B2","data.5B3","data.5B4","data.5B5","data.5B6","data.5B7","data.5B8","data.5B9","data.5C1","data.5D1","data.5E1","data.5E2","data.5E3","data.5E4","data.5E5","data.5F1","data.5G1","data.5H1","data.5H2","data.5I1","data.5I2","data.5I3","data.5I4","data.5I5","data.5I6","data.5I7","data.5J1","data.5J2","data.5J3","data.5J4","data.5J5"
"America",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,126,43,46,67,53,1,1,98,43,183,61,59,84,108,105
"GMS-EastAsia",0,21,34,39,0,0,29,177,66,39,36,329,141,528,2,10,78,5,13,129,10,53,36,102,0,27,104,86,45,61,100,27,14,26,26,29,4,13,3,4,0,7,2,2,9,0,0,0,1,21,0,0,0,1,0,11,0,1,0,1,0,0,6,0,0,3,0,0,0,0,130,7,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
"Oceania",0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,8,10,0,0,0,0,29,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Others",1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Philippines",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,44,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RedSeaRegion",0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEA",0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,2,0,1,0,0,9,0,0,10,7,106,81,21,39,11,33,23,119,1,3,0,0,34,4,2,2,26,10,18,40,3,0,1,1,1,6,3,2,1,0,0,0,0,0,4,0,0,1,1,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SouthAsia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,11,1,0,5,76,0,0,2,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SWIR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WestAfrica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
