"","Region","1A","1B","1C","1D","1E","1F","1G","1H","1I","1J","1K","1L","1M","4A","4B","4C","4D","4E","4F","4G","4H","5A","5B","5C","5D","5E","5F","5G","5H","5I","5J","5K","5L","5M","5N","5O","5P","5Q","5R"
"1","CAR",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,1,25,16,0,183,102,0
"2","CNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,3,39,324,2,5,0
"3","EAS",94,179,177,325,493,136,235,320,86,149,100,78,2,5,2,6,0,20,11,0,0,0,6,129,7,0,0,0,0,4,0,0,0,0,0,0,0,1,1
"4","OCE",1,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,193,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5","PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","RSR",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","SAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,124,19,65,0,21,1,105
"8","SAS",0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,77,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0
"9","SEA",0,0,0,2,4,1,0,12,0,231,7,73,156,0,34,4,30,70,13,2,3,1,5,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10","WAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,5,0,1,0,0,0,1,0,0,0
"11","WEO",0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","WSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
