FROM	TO	BAYES_FACTOR	POSTERIOR_PROBABILITY
Cambodia	China	0.23308534395409136	0.0983224086212643
Cambodia	Laos	0.15157315000322216	0.06621486501499833
Cambodia	Myanmar	0.2516311326798621	0.10532163092989667
Cambodia	NA	3.4538530293600154	0.6177091434285079
Cambodia	Thailand	4807.856130460268	0.9995556049327853
Cambodia	Vietnam	2135.637426060417	0.9990001110987669
China	Laos	0.15484603542110953	0.06754805021664259
China	Myanmar	0.3093625370404246	0.1264303966225975
China	NA	0.22551519007468807	0.0954338406843684
China	Thailand	19237.83713421434	1.0
China	Vietnam	10.654998891491573	0.8329074547272525
Laos	Myanmar	0.25222464121098553	0.10554382846350406
Laos	NA	0.19401545771434597	0.08321297633596267
Laos	Thailand	914.0517326205169	0.9976669258971226
Laos	Vietnam	0.14532617040957038	0.0636595933785135
Myanmar	NA	0.23045942331042318	0.09732251972003111
Myanmar	Thailand	11.556394691302293	0.8439062326408177
Myanmar	Vietnam	0.1716289678720813	0.07432507499166759
NA	Thailand	2.5505655308171975	0.5440506610376625
NA	Vietnam	0.1732930320761862	0.07499166759248972
Thailand	Vietnam	0.31685400277757864	0.12909676702588602
