FROM	TO	BAYES_FACTOR	POSTERIOR_PROBABILITY
Cambodia	China	0.26926447605366816	0.1118764581713143
Cambodia	Indonesia	0.29451596899250376	0.12109765581602044
Cambodia	Laos	425.41745524457843	0.995000555493834
Cambodia	Singapore	2.9096752037266986	0.5764915009443395
Cambodia	Thailand	0.6897916621233087	0.2439728919008999
Cambodia	Vietnam	19237.83713421434	0.9998889012331963
China	Indonesia	0.33356126549182985	0.1349850016664815
China	Laos	0.2756037261030391	0.11420953227419176
China	Singapore	0.2985190956788231	0.1225419397844684
China	Thailand	0.2982106950515239	0.1224308410176647
China	Vietnam	19237.83713421434	1.0
Indonesia	Laos	0.2902195970055132	0.1195422730807688
Indonesia	Singapore	0.31685400277757864	0.12909676702588602
Indonesia	Thailand	0.29205903914949327	0.12020886568159093
Indonesia	Vietnam	84.1403758665486	0.9752249750027775
Laos	Singapore	0.30501359709506837	0.12487501388734586
Laos	Thailand	0.2765120603008286	0.11454282857460282
Laos	Vietnam	0.1553924264340469	0.06777024775024998
Singapore	Thailand	0.42301280304293754	0.16520386623708477
Singapore	Vietnam	1.7730264983004151	0.4533940673258527
Thailand	Vietnam	12.040778437235732	0.8492389734473947
