FROM	TO	BAYES_FACTOR	POSTERIOR_PROBABILITY
Australia	Cambodia	0.07977606525587247	0.016887012554160648
Australia	China	0.18957551465472172	0.03921786468170203
Australia	Indonesia	41798.984296327864	1.0
Australia	Japan	0.08298138538732394	0.01755360515498278
Australia	Laos	0.06646722016420707	0.014109543384068437
Australia	Malaysia	0.05376108716718511	0.011443172980779914
Australia	Micronesia	0.07817503464570384	0.016553716253749583
Australia	Singapore	0.07284609465120216	0.015442728585712698
Australia	Thailand	0.03797448543449403	0.00811020997666926
Australia	Vietnam	0.05006803284606865	0.010665481613154094
Australia	NA	0.07444351343993665	0.015776024886123764
Cambodia	China	0.07924226778087387	0.01677591378735696
Cambodia	Indonesia	0.044802301358320196	0.00955449394511721
Cambodia	Japan	0.08672642735394719	0.0183312965226086
Cambodia	Laos	78.29937600660492	0.944006221530941
Cambodia	Malaysia	0.05745995666775221	0.012220864348405733
Cambodia	Micronesia	0.0835160283384514	0.017664703921786467
Cambodia	Singapore	0.09584628065581878	0.020219975558271302
Cambodia	Thailand	0.04532834285370274	0.009665592711920898
Cambodia	Vietnam	0.25816971654043824	0.052660815464948336
Cambodia	NA	0.11148509273829746	0.02344183979557827
China	Indonesia	2.134268805214381	0.3148539051216532
China	Japan	0.37471375044539434	0.07465837129207865
China	Laos	0.056402542624088774	0.011998666814798355
China	Malaysia	15.47291029213603	0.7691367625819353
China	Micronesia	0.21034598995562134	0.043328519053438506
China	Singapore	0.2570201090120006	0.05243861793134096
China	Thailand	15.463233889115047	0.7690256638151316
China	Vietnam	41798.984296327864	1.0
China	NA	0.10554099735215726	0.022219753360737695
Indonesia	Japan	0.05217763833818314	0.011109876680368847
Indonesia	Laos	0.037450092325084665	0.00799911120986557
Indonesia	Malaysia	0.1447196920686238	0.030218864570603268
Indonesia	Micronesia	0.0648751962342828	0.013776247083657371
Indonesia	Singapore	0.0405982140425385	0.008665703810687701
Indonesia	Thailand	41798.984296327864	1.0
Indonesia	Vietnam	0.44436331449136957	0.08732363070769915
Indonesia	NA	0.04901394064413136	0.010443284079546717
Japan	Laos	0.19573193217637277	0.040439951116542604
Japan	Malaysia	100.92038716890121	0.9560048883457394
Japan	Micronesia	0.15682020064472427	0.03266303744028441
Japan	Singapore	0.2725854460894329	0.05543828463504055
Japan	Thailand	0.17842206033276417	0.036995889345628266
Japan	Vietnam	8.618240945758043	0.6498166870347739
Japan	NA	0.08619105810919947	0.018220197755804912
Laos	Malaysia	0.05217763833818314	0.011109876680368847
Laos	Micronesia	0.12233074081405568	0.02566381513165204
Laos	Singapore	0.0643447606874574	0.013665148316853682
Laos	Thailand	0.04901394064413136	0.010443284079546717
Laos	Vietnam	41798.984296327864	1.0
Laos	NA	3.461859729711767	0.4270636595933785
Malaysia	Micronesia	0.22504856619783103	0.04621708699033441
Malaysia	Singapore	0.07231386203435314	0.01533162981890901
Malaysia	Thailand	41798.984296327864	1.0
Malaysia	Vietnam	0.2047147666886717	0.04221753138540162
Malaysia	NA	0.3898240748039176	0.07743584046217088
Micronesia	Singapore	0.16953628668225387	0.03521830907676925
Micronesia	Thailand	2.3708771089379543	0.33796244861682034
Micronesia	Vietnam	6.008988653089065	0.5640484390623264
Micronesia	NA	0.10986250089891843	0.023108543495167205
Singapore	Thailand	0.04848707203960444	0.010332185312743028
Singapore	Vietnam	13929.898544388276	0.999666703699589
Singapore	NA	0.09961174196811594	0.02099766692589712
Thailand	Vietnam	5220.809246901714	0.9991112098655704
Thailand	NA	65.02838279139097	0.9333407399177869
Vietnam	NA	0.8045251148451713	0.147650261082102
