FROM	TO	BAYES_FACTOR	POSTERIOR_PROBABILITY
Australia	Cambodia	0.35377680579923987	0.23830685479391178
Australia	China	12.367944209453189	0.9162315298300189
Australia	Singapore	0.8926984297109766	0.44117320297744694
Australia	Thailand	0.32095635418824575	0.22108654593934007
Cambodia	China	0.2844210641344757	0.20097766914787246
Cambodia	Singapore	0.3838211311921705	0.25341628707921343
Cambodia	Thailand	183.9242836269231	0.9938895678257972
China	Singapore	6.889744108216828	0.8590156649261194
China	Thailand	25.443718649677198	0.9574491723141874
Singapore	Thailand	0.324901252790016	0.22319742250861016
