FROM	TO	BAYES_FACTOR	POSTERIOR_PROBABILITY
China	Indonesia	414.18609510357425	0.9936673702921898
China	Japan	0.11539079947358358	0.041884235084990555
China	Malaysia	1128.744434362588	0.9976669258971226
China	Myanmar	0.1214738765616293	0.043995111654260635
China	Singapore	0.32435238966373686	0.10943228530163315
China	Thailand	2.380271443008746	0.47416953671814244
China	Vietnam	0.10679239153016906	0.038884568381290965
Indonesia	Japan	111.58667018500047	0.9768914565048328
Indonesia	Malaysia	2.0530823260088975	0.43750694367292525
Indonesia	Myanmar	0.09006916714839329	0.03299633374069548
Indonesia	Singapore	13.51203879349329	0.8365737140317743
Indonesia	Thailand	0.15558129430012563	0.055660482168647926
Indonesia	Vietnam	0.09258036490796598	0.03388512387512499
Japan	Malaysia	0.10997072180332874	0.039995556049327856
Japan	Myanmar	0.14086119083244558	0.05066103766248194
Japan	Singapore	0.12565148326122122	0.04543939562270859
Japan	Thailand	0.13598888244166363	0.04899455616042662
Japan	Vietnam	0.14086119083244558	0.05066103766248194
Malaysia	Myanmar	28.017254983604634	0.9138984557271415
Malaysia	Singapore	23756.425177559962	1.0
Malaysia	Thailand	2.259173445866405	0.4611709810021109
Malaysia	Vietnam	0.24693161876813066	0.08554605043884013
Myanmar	Singapore	0.3225047676794638	0.10887679146761471
Myanmar	Thailand	0.19594616780635274	0.06910343295189424
Myanmar	Vietnam	0.14151212469369795	0.050883235196089324
Singapore	Thailand	0.32176636369960926	0.10865459393400734
Singapore	Vietnam	35.435821529995415	0.9306743695144983
Thailand	Vietnam	0.14934717084146407	0.053549605599377846
