FROM	TO	BAYES_FACTOR	POSTERIOR_PROBABILITY
Angola	Australia	0.6825291876571816	0.3764026219308966
Angola	China	0.3343305087684808	0.22819686701477612
Angola	Philippines	22.21333400749865	0.9515609376735918
Angola	Singapore	0.3009438597200726	0.2101988667925786
Australia	China	0.3739686994434956	0.24852794133985112
Australia	Philippines	4.206427034075105	0.7881346517053661
Australia	Singapore	0.3251094730137398	0.22330852127541384
China	Philippines	10176.896981367134	1.0
China	Singapore	15.776256505448037	0.9331185423841796
Philippines	Singapore	0.3193017336605906	0.22019775580491058
