FROM	TO	BAYES_FACTOR	POSTERIOR_PROBABILITY
China	Indonesia	1.6958904489264088	0.4423952894122875
China	Madagascar	0.2022381300474463	0.08643484057326964
China	Malaysia	7.312351868578158	0.7738029107876903
China	Reunion	0.3313416208012171	0.1342073102988557
China	Seychelles	0.212813709916489	0.0905454949450061
China	NA	0.28746565025642484	0.11854238417953561
Indonesia	Madagascar	0.1685843998870009	0.07310298855682702
Indonesia	Malaysia	130.5519430349667	0.9838906788134651
Indonesia	Reunion	6.728810315608857	0.758915676035996
Indonesia	Seychelles	0.2551966124839224	0.10665481613154094
Indonesia	NA	6.807127659971648	0.7610265526052661
Madagascar	Malaysia	0.20880091523724073	0.08899011220975447
Madagascar	Reunion	0.25400693737051455	0.10621042106432618
Madagascar	Seychelles	18.50621218836463	0.8964559493389623
Madagascar	NA	0.5387700481785821	0.20131096544828353
Malaysia	Reunion	0.6208818484097974	0.22508610154427286
Malaysia	Seychelles	0.23308534395409136	0.0983224086212643
Malaysia	NA	0.6496528451009819	0.23308521275413843
Reunion	Seychelles	0.2489639883821275	0.10432174202866348
Reunion	NA	0.5439921116079208	0.20286634818353516
Seychelles	NA	204.74391062319094	0.989667814687257
