FROM	TO	BAYES_FACTOR	POSTERIOR_PROBABILITY
Argentina	Barbados	0.29272970390787906	0.15187201422064214
Argentina	Paraguay	14712.719119744876	0.9998889012331963
Argentina	Peru	0.314432642467336	0.16131540939895567
Argentina	Puerto_Rico	8.096968951189632	0.832018664592823
Argentina	USA	0.5123939340307972	0.23864015109432285
Barbados	Paraguay	0.2687920943107516	0.14120653260748806
Barbados	Peru	0.806659415263331	0.33040773247416955
Barbados	Puerto_Rico	2.046602909827264	0.5559382290856572
Barbados	USA	1.1378846477052744	0.4103988445728252
Paraguay	Peru	0.2899563567528162	0.15064992778580158
Paraguay	Puerto_Rico	0.2538882490465408	0.13442950783246305
Paraguay	USA	0.29500475786917985	0.15287190312187535
Peru	Puerto_Rico	2.7484389736820085	0.6270414398400178
Peru	USA	1.1321496075807485	0.40917675813798465
Puerto_Rico	USA	3676.953720010492	0.9995556049327853
