FROM	TO	BAYES_FACTOR	POSTERIOR_PROBABILITY
Argentina	Barbados	0.20381734555510259	0.04688367959115654
Argentina	Brazil	251.30496431807094	0.9837795800466614
Argentina	Colombia	0.2328945585500897	0.05321630929896678
Argentina	Costa_Rica	0.21703256343848668	0.04977224752805244
Argentina	El_Salvador	0.2093986110156823	0.04810576602599711
Argentina	Mexico	0.1932018494473733	0.04455060548827908
Argentina	Nicaragua	0.17812647432600112	0.041217642484168426
Argentina	Paraguay	843.4809058774186	0.9951116542606377
Argentina	USA	0.21244898219401662	0.048772358626819244
Argentina	Venezuela	0.2932870843419079	0.06610376624819464
Barbados	Brazil	0.20685989663828638	0.04755027219197867
Barbados	Colombia	0.208890631126374	0.04799466725919342
Barbados	Costa_Rica	0.19269764262143274	0.04443950672147539
Barbados	El_Salvador	0.1942106149532851	0.04477280302188646
Barbados	Mexico	0.22418178357371116	0.05132763026330408
Barbados	Nicaragua	0.2670526463995636	0.06054882790801022
Barbados	Paraguay	0.18665629298285558	0.04310632151983113
Barbados	USA	0.4958363950951112	0.10687701366514832
Barbados	Venezuela	264.1692745169905	0.9845572714142873
Brazil	Colombia	0.11253548926066773	0.02644150649927786
Brazil	Costa_Rica	0.1028440021839786	0.024219531163204088
Brazil	El_Salvador	0.1198331856765251	0.028107988001333184
Brazil	Mexico	0.1404005183595073	0.0327741362070881
Brazil	Nicaragua	0.15125328145648922	0.03521830907676925
Brazil	Paraguay	0.16415038158238668	0.03810687701366515
Brazil	USA	0.20787502695146004	0.04777246972558605
Brazil	Venezuela	38.675661333639034	0.9032329741139873
Colombia	Costa_Rica	0.2104149266055686	0.04832796355960449
Colombia	El_Salvador	0.2165228003307118	0.04966114876124875
Colombia	Mexico	72.59617537012261	0.9460059993334075
Colombia	Nicaragua	0.32197308527817464	0.07210309965559382
Colombia	Paraguay	0.2129577930855785	0.04888345739362293
Colombia	USA	0.3214384924198309	0.07199200088879014
Colombia	Venezuela	0.21703256343848668	0.04977224752805244
Costa_Rica	El_Salvador	0.24061121945114317	0.05488279080102211
Costa_Rica	Mexico	0.23032837136877302	0.052660815464948336
Costa_Rica	Nicaragua	325.90495279145125	0.9874458393511832
Costa_Rica	Paraguay	0.20838276978546455	0.047883568492389735
Costa_Rica	USA	0.22213675824582113	0.050883235196089324
Costa_Rica	Venezuela	0.18414402949164518	0.04255082768581269
El_Salvador	Mexico	0.3920258135769919	0.08643484057326964
El_Salvador	Nicaragua	824.6448083899068	0.995000555493834
El_Salvador	Paraguay	0.20990670949490295	0.0482168647928008
El_Salvador	USA	0.24525429199989188	0.05588267970225531
El_Salvador	Venezuela	0.34832587982731733	0.07754693922897456
Mexico	Nicaragua	10.656309822574977	0.720031107654705
Mexico	Paraguay	0.18464624895200946	0.04266192645261638
Mexico	USA	6.669935299424406	0.6168203532940785
Mexico	Venezuela	3.061981270534707	0.42495278302410844
Nicaragua	Paraguay	0.18565103764833432	0.04288412398622375
Nicaragua	USA	0.5507257394403436	0.11732029774469503
Nicaragua	Venezuela	6.864627860803801	0.6235973780691034
Paraguay	USA	0.20736740258288572	0.04766137095878236
Paraguay	Venezuela	0.1571961795311071	0.03655149427841351
USA	Venezuela	7.3532738795038775	0.6395956004888346
