FROM	TO	BAYES_FACTOR	POSTERIOR_PROBABILITY
Argentina	China	0.26858487897235045	0.07876902566381513
Argentina	Dominica	0.23882830000666552	0.07065881568714587
Argentina	Haiti	0.26735168625988315	0.07843572936340407
Argentina	Jamaica	0.2424688207628954	0.07165870458837907
Argentina	Martinique	0.24287380721313628	0.07176980335518275
Argentina	Puerto_Rico	0.24855381379447888	0.0733251860904344
Argentina	USA	0.25058701124217203	0.07388067992445284
Argentina	Venezuela	221.25466363191777	0.9860015553827353
China	Dominica	0.5108191617784189	0.13987334740584378
China	Haiti	0.3846678510439737	0.10909898900122209
China	Jamaica	13.249460902604769	0.8083546272636374
China	Martinique	0.6012131086784179	0.16064881679813353
China	Puerto_Rico	1.529087493481314	0.32740806577046994
China	USA	1.1453258179584722	0.2671925341628708
China	Venezuela	0.23882830000666552	0.07065881568714587
Dominica	Haiti	0.40723548431759615	0.1147650261082102
Dominica	Jamaica	0.4314476572500108	0.12076435951560938
Dominica	Martinique	0.8511648279226586	0.21319853349627818
Dominica	Puerto_Rico	3.072846134927319	0.4945006110432174
Dominica	USA	1.7018830707899613	0.35140539940006665
Dominica	Venezuela	0.2587442502567026	0.0761026552605266
Haiti	Jamaica	0.34854757849033047	0.09987779135651595
Haiti	Martinique	0.41885209724107225	0.1176535940451061
Haiti	Puerto_Rico	4709.171795690228	0.9993334073991779
Haiti	USA	0.23479245371292667	0.06954782801910898
Haiti	Venezuela	0.3837886936266832	0.10887679146761471
Jamaica	Martinique	0.5014091846261952	0.13765137206977002
Jamaica	Puerto_Rico	0.9434470076145922	0.23097433618486835
Jamaica	USA	0.8444114738788093	0.21186534829463394
Jamaica	Venezuela	0.18945586066106784	0.056882568603488504
Martinique	Puerto_Rico	5.967659455536325	0.655149427841351
Martinique	USA	1.1098787373100443	0.26108210198866794
Martinique	Venezuela	0.3408117004249587	0.09787801355404956
Puerto_Rico	USA	28270.736738991654	0.9998889012331963
Puerto_Rico	Venezuela	6.860178777131819	0.6859237862459727
USA	Venezuela	0.5629702586568163	0.15198311298744585
