"","Subgenotype","LINE","BF","RATE"
"1","1A","China%%%Thailand",28270.7367389917,1.8204
"2","1A","Djibouti%%%Saudi_Arabia",29.1718103798204,0.9715
"3","1A","Laos%%%Thailand",16.9112027254313,0.6357
"4","1A","Myanmar%%%Thailand",30.2794665230519,0.5392
"5","1A","Saudi_Arabia%%%Somalia",8.48457920497389,0.8119
"6","1B","Cambodia%%%Thailand",4807.85613046027,1.1049
"7","1B","Cambodia%%%Vietnam",2135.63742606042,1.0577
"8","1B","China%%%Thailand",19237.8371342143,1.6583
"9","1B","China%%%Vietnam",10.6549988914916,0.8549
"10","1B","Laos%%%Thailand",914.051732620517,0.6163
"11","1B","Myanmar%%%Thailand",11.5563946913023,0.3925
"12","1D","Cambodia%%%Laos",425.417455244578,1.0307
"13","1D","Cambodia%%%Vietnam",19237.8371342143,1.3507
"14","1D","China%%%Vietnam",19237.8371342143,0.8963
"15","1D","Indonesia%%%Vietnam",84.1403758665486,0.5534
"16","1D","Thailand%%%Vietnam",12.0407784372357,0.5722
"17","1E","Cambodia%%%China",23756.42517756,1.4306
"18","1E","China%%%Vietnam",23756.42517756,1.2261
"19","1E","French_Polynesia%%%New_Caledonia",429.343393209071,0.9111
"20","1E","New_Caledonia%%%Vietnam",39.11622282703,0.3674
"21","1E","Singapore%%%Vietnam",23756.42517756,1.0332
"22","1E","Thailand%%%Vietnam",1394.95244310612,0.5828
"23","1F","Cambodia%%%China",28270.7367389917,1.428
"24","1F","Cambodia%%%Laos",23.6079819882885,0.6209
"25","1F","Cambodia%%%Papua_New_Guinea",20.4203719723067,0.6515
"26","1F","Cambodia%%%Singapore",6.94221570659224,0.6581
"27","1G","China%%%Myanmar",341.739172822579,0.6641
"28","1G","China%%%Thailand",13.7449715362574,0.7158
"29","1G","Myanmar%%%Thailand",1025.44539522189,1.0059
"30","1H","Australia%%%Papua_New_Guinea",27.5677945043045,0.6893
"31","1H","China%%%Myanmar",50810.939676644,3.0279
"32","1H","China%%%Vietnam",16933.2161189109,0.6201
"33","1H","India%%%Thailand",1233.78325068512,0.6759
"34","1H","Laos%%%Papua_New_Guinea",9.63292853160302,0.6609
"35","1H","Laos%%%Vietnam",50810.939676644,0.6519
"36","1H","Malaysia%%%Vietnam",21.1846385241096,0.67
"37","1H","Maldives%%%Thailand",6.48240336208902,0.6913
"38","1H","Myanmar%%%Sri_Lanka",7.49203014363608,0.6862
"39","1H","Papua_New_Guinea%%%Vietnam",10.1949214999602,0.669
"40","1H","Singapore%%%Thailand",228.532152647066,0.6703
"41","1H","Sri_Lanka%%%Thailand",50810.939676644,0.511
"42","1J","Australia%%%Indonesia",41798.9842963279,1.085
"43","1J","Cambodia%%%Laos",78.2993760066049,0.4867
"44","1J","China%%%Malaysia",15.472910292136,1.1504
"45","1J","China%%%Thailand",15.463233889115,1.1519
"46","1J","China%%%Vietnam",41798.9842963279,0.6592
"47","1J","Indonesia%%%Thailand",41798.9842963279,0.6358
"48","1J","Japan%%%Malaysia",100.920387168901,0.5538
"49","1J","Japan%%%Vietnam",8.61824094575804,0.6739
"50","1J","Laos%%%Vietnam",41798.9842963279,0.5724
"51","1J","Malaysia%%%Thailand",41798.9842963279,0.6586
"52","1J","Micronesia%%%Vietnam",6.00898865308907,0.6796
"53","1J","Singapore%%%Vietnam",13929.8985443883,0.5902
"54","1J","Thailand%%%Vietnam",5220.80924690171,0.6095
"55","1K","Australia%%%China",12.3679442094532,0.7954
"56","1K","Cambodia%%%Thailand",183.924283626923,0.9592
"57","1K","China%%%Singapore",6.88974410821683,0.7628
"58","1K","China%%%Thailand",25.4437186496772,0.8347
"59","1L","China%%%Indonesia",414.186095103574,1.0852
"60","1L","China%%%Malaysia",1128.74443436259,1.3901
"61","1L","Indonesia%%%Japan",111.586670185,0.3702
"62","1L","Indonesia%%%Singapore",13.5120387934933,0.737
"63","1L","Malaysia%%%Myanmar",28.0172549836046,0.4794
"64","1L","Malaysia%%%Singapore",23756.42517756,2.3752
"65","1L","Singapore%%%Vietnam",35.4358215299954,0.5004
"66","1M","Australia%%%Thailand",1477.86051420808,0.659
"67","1M","China%%%Indonesia",39.4174834297938,0.5615
"68","1M","Indonesia%%%Papua_New_Guinea",14.4916541324117,0.6021
"69","1M","Indonesia%%%Singapore",16.2739215566014,1.9377
"70","1M","Indonesia%%%Thailand",19237.8371342143,0.5748
"71","4A","China%%%Philippines",19237.8371342143,1.4004
"72","4A","Nauru_Island%%%Philippines",24.6590846460423,0.7046
"73","4A","Palau%%%Philippines",6.60393217793328,0.6277
"74","4A","Philippines%%%Samoa",11.4885069256829,0.6191
"75","4A","Philippines%%%Thailand",73.3133436060426,0.6163
"76","4A","Samoa%%%USA.Hawaii",64.4367693630543,1.1365
"77","4B","Australia%%%Indonesia",8.60738945376962,0.8025
"78","4B","China%%%Indonesia",65.5200779190467,0.8167
"79","4B","Indonesia%%%Vietnam",27.7708250649814,0.8222
"80","4C","Angola%%%Philippines",22.2133340074986,0.5463
"81","4C","China%%%Philippines",10176.8969813671,1.4144
"82","4C","China%%%Singapore",15.776256505448,1.0513
"83","4D","Australia%%%East_Timor",19.9950681639162,0.7185
"84","4D","East_Timor%%%Indonesia",46.5023949681769,0.9935
"85","4E","Australia%%%Indonesia",14712.7191197449,1.3137
"86","4E","China%%%Indonesia",97.7865633386819,0.7229
"87","4E","Indonesia%%%Myanmar",9.58046217070952,0.5895
"88","4E","Indonesia%%%Singapore",7355.54218658801,1.2961
"89","4F","China%%%Malaysia",7.31235186857816,0.9062
"90","4F","Indonesia%%%Malaysia",130.551943034967,1.3338
"91","4F","Indonesia%%%Reunion",6.72881031560886,0.6251
"92","4F","Madagascar%%%Seychelles",18.5062121883646,0.6884
"93","4G","Australia%%%Papua_New_Guinea",11.9896551592098,0.739
"94","4G","Marshall_Islands%%%Micronesia",7.60213595864469,0.8668
"95","4H","Cook_Islands%%%French_Polynesia",24.1654442851957,0.9979
"96","4H","Fiji%%%Kiribati",29.4408951182788,0.8332
"97","4H","Fiji%%%New_Caledonia",384.019472678547,1.4334
"98","4H","Fiji%%%Niue",132.27506457669,0.8785
"99","4H","French_Polynesia%%%New_Caledonia",51.3312664984264,0.8907
"100","4H","French_Polynesia%%%USA.Hawaii",17.9294800352412,0.5938
"101","4H","Indonesia%%%Malaysia",13.5060102834529,0.8702
"102","4H","New_Caledonia%%%Vanuatu",252.135940635991,0.7423
"103","4H","New_Caledonia%%%Wallis_and_Futuna",107.807581099616,0.7466
"104","5B","Comoros%%%Singapore",14.1728780222445,0.72
"105","5B","India%%%Malaysia",7.69171045121018,0.7074
"106","5B","India%%%Thailand",128.365216014896,0.7117
"107","5C","Australia%%%India",6.70211945235934,0.6836
"108","5C","Australia%%%Thailand",34.9854354093471,0.8839
"109","5C","Bhutan%%%China",17.6343803148339,0.7139
"110","5C","China%%%India",2567.66483928477,1.6255
"111","5C","China%%%Myanmar",53.0340699537386,0.5264
"112","5C","China%%%Singapore",46305.432924865,2.8196
"113","5C","India%%%Malaysia",25.0247095343541,0.6442
"114","5C","Indonesia%%%Singapore",161.439764749667,0.8061
"115","5C","Malaysia%%%Singapore",34.5724287179703,0.6737
"116","5K","Angola%%%Grenada",9.07530800671973,0.6976
"117","5K","Aruba%%%Puerto_Rico",19.9384166348991,0.9989
"118","5K","Bahamas%%%Grenada",11.1386753345395,0.7101
"119","5K","Bahamas%%%Jamaica",17.499398670304,0.905
"120","5K","Brazil%%%Grenada",22.5882835270935,0.9313
"121","5K","Colombia%%%Grenada",19.6989817531616,0.912
"122","5K","Costa_Rica%%%Puerto_Rico",17.2213270199493,0.7982
"123","5K","French_Guiana%%%Puerto_Rico",13.5415073911562,0.7473
"124","5K","French_Polynesia%%%Puerto_Rico",15.9152063145126,0.7865
"125","5K","Grenada%%%Jamaica",10.9493765786501,0.7454
"126","5K","Grenada%%%Mexico",76.6103350740906,0.8782
"127","5K","Grenada%%%Puerto_Rico",22.5132563620114,1.0223
"128","5K","Grenada%%%Suriname",17.411861258612,0.7206
"129","5K","Grenada%%%Trinidad_and_Tobago",1015.57412965537,1.2878
"130","5K","India%%%Pakistan",189.420380528602,1.062
"131","5K","India%%%Singapore",10.3886291769997,0.6489
"132","5K","Puerto_Rico%%%USA",18.3988410130312,0.7296
"133","5L","Argentina%%%Brazil",5621.67559534117,1.6077
"134","5L","Argentina%%%Virgin_Islands",13.71797199555,0.5418
"135","5M","Argentina%%%Paraguay",14712.7191197449,1.423
"136","5M","Argentina%%%Puerto_Rico",8.09696895118963,0.5226
"137","5M","Puerto_Rico%%%USA",3676.95372001049,1.2028
"138","5N","Argentina%%%Brazil",251.304964318071,0.5431
"139","5N","Argentina%%%Paraguay",843.480905877419,1.0197
"140","5N","Barbados%%%Venezuela",264.169274516991,0.8174
"141","5N","Brazil%%%Venezuela",38.675661333639,0.4532
"142","5N","Colombia%%%Mexico",72.5961753701226,0.91
"143","5N","Costa_Rica%%%Nicaragua",325.904952791451,0.9398
"144","5N","El_Salvador%%%Nicaragua",824.644808389907,1.4453
"145","5N","Mexico%%%Nicaragua",10.656309822575,0.8099
"146","5N","Mexico%%%USA",6.66993529942441,0.9757
"147","5N","Nicaragua%%%Venezuela",6.8646278608038,0.7163
"148","5N","USA%%%Venezuela",7.35327387950388,0.7611
"149","5O","Angola%%%USA",71.0684603937446,0.6407
"150","5O","Belize%%%Nicaragua",654.390851958471,0.7568
"151","5O","Costa_Rica%%%Honduras",178.101614285203,1.0957
"152","5O","Costa_Rica%%%Nicaragua",28270.7367389917,1.9258
"153","5O","Costa_Rica%%%Saint_Barthelemy",14.6747351524834,0.6145
"154","5O","Costa_Rica%%%USA",212.689936280662,1.2179
"155","5O","El_Salvador%%%Nicaragua",50.7138126137005,0.4968
"156","5O","Mexico%%%Nicaragua",28270.7367389917,0.9276
"157","5O","Mexico%%%USA",5651.63439342266,0.6863
"158","5P","Argentina%%%Brazil",18.006060530846,0.8256
"159","5P","Barbados%%%Brazil",17.5874565392405,0.831
"160","5P","Brazil%%%Guyana",28.1006610974728,0.8647
"161","5P","Brazil%%%Venezuela",291.37836882033,0.8602
"162","5P","Colombia%%%Ecuador",132.140519622146,0.7263
"163","5P","Colombia%%%Venezuela",28270.7367389917,1.4939
"164","5P","Mexico%%%USA",25.8576561899928,0.9074
"165","5Q","Argentina%%%Venezuela",221.254663631918,0.6133
"166","5Q","China%%%Jamaica",13.2494609026048,0.9324
"167","5Q","Haiti%%%Puerto_Rico",4709.17179569023,1.2528
"168","5Q","Puerto_Rico%%%USA",28270.7367389917,1.8615
"169","5Q","Puerto_Rico%%%Venezuela",6.86017877713182,0.4582
"170","5R","Argentina%%%Brazil",5621.67559534117,1.4287
"171","5R","Argentina%%%Paraguay",53.4359484741015,0.6555
"172","5R","Brazil%%%China",11.4403913224237,0.6768
"173","1A","Thailand%%%China",28270.7367389917,1.8204
"174","1A","Saudi_Arabia%%%Djibouti",29.1718103798204,0.9715
"175","1A","Thailand%%%Laos",16.9112027254313,0.6357
"176","1A","Thailand%%%Myanmar",30.2794665230519,0.5392
"177","1A","Somalia%%%Saudi_Arabia",8.48457920497389,0.8119
"178","1B","Thailand%%%Cambodia",4807.85613046027,1.1049
"179","1B","Vietnam%%%Cambodia",2135.63742606042,1.0577
"180","1B","Thailand%%%China",19237.8371342143,1.6583
"181","1B","Vietnam%%%China",10.6549988914916,0.8549
"182","1B","Thailand%%%Laos",914.051732620517,0.6163
"183","1B","Thailand%%%Myanmar",11.5563946913023,0.3925
"184","1D","Laos%%%Cambodia",425.417455244578,1.0307
"185","1D","Vietnam%%%Cambodia",19237.8371342143,1.3507
"186","1D","Vietnam%%%China",19237.8371342143,0.8963
"187","1D","Vietnam%%%Indonesia",84.1403758665486,0.5534
"188","1D","Vietnam%%%Thailand",12.0407784372357,0.5722
"189","1E","China%%%Cambodia",23756.42517756,1.4306
"190","1E","Vietnam%%%China",23756.42517756,1.2261
"191","1E","New_Caledonia%%%French_Polynesia",429.343393209071,0.9111
"192","1E","Vietnam%%%New_Caledonia",39.11622282703,0.3674
"193","1E","Vietnam%%%Singapore",23756.42517756,1.0332
"194","1E","Vietnam%%%Thailand",1394.95244310612,0.5828
"195","1F","China%%%Cambodia",28270.7367389917,1.428
"196","1F","Laos%%%Cambodia",23.6079819882885,0.6209
"197","1F","Papua_New_Guinea%%%Cambodia",20.4203719723067,0.6515
"198","1F","Singapore%%%Cambodia",6.94221570659224,0.6581
"199","1G","Myanmar%%%China",341.739172822579,0.6641
"200","1G","Thailand%%%China",13.7449715362574,0.7158
"201","1G","Thailand%%%Myanmar",1025.44539522189,1.0059
"202","1H","Papua_New_Guinea%%%Australia",27.5677945043045,0.6893
"203","1H","Myanmar%%%China",50810.939676644,3.0279
"204","1H","Vietnam%%%China",16933.2161189109,0.6201
"205","1H","Thailand%%%India",1233.78325068512,0.6759
"206","1H","Papua_New_Guinea%%%Laos",9.63292853160302,0.6609
"207","1H","Vietnam%%%Laos",50810.939676644,0.6519
"208","1H","Vietnam%%%Malaysia",21.1846385241096,0.67
"209","1H","Thailand%%%Maldives",6.48240336208902,0.6913
"210","1H","Sri_Lanka%%%Myanmar",7.49203014363608,0.6862
"211","1H","Vietnam%%%Papua_New_Guinea",10.1949214999602,0.669
"212","1H","Thailand%%%Singapore",228.532152647066,0.6703
"213","1H","Thailand%%%Sri_Lanka",50810.939676644,0.511
"214","1J","Indonesia%%%Australia",41798.9842963279,1.085
"215","1J","Laos%%%Cambodia",78.2993760066049,0.4867
"216","1J","Malaysia%%%China",15.472910292136,1.1504
