"","Label","Route","FROM","TO","BF","POSTERIOR","Subgenotype","BFlevel","FROM_lat","FROM_long","TO_lat","TO_long","Rate.mean","Rate.median"
"1","China.Thailand%%%1A","China.Thailand","China","Thailand",28270.7367389917,1,"1A","L5",23.13,113.939,13.75,100.483333333333,"2.0239",36
"2","Djibouti.Saudi_Arabia%%%1A","Djibouti.Saudi_Arabia","Djibouti","Saudi_Arabia",29.1718103798204,0.902788579046773,"1A","L2",11.6,43.1666666666666,24.65,46.7666666666666,"1.1879",35
"3","Laos.Thailand%%%1A","Laos.Thailand","Laos","Thailand",16.9112027254313,0.843350738806799,"1A","L2",17.9666666666666,102.6,13.75,100.483333333333,"0.8182",3
"4","Myanmar.Thailand%%%1A","Myanmar.Thailand","Myanmar","Thailand",30.2794665230519,0.90601044328408,"1A","L3",19.75,96.1,13.75,100.483333333333,"0.6953",1
"5","Saudi_Arabia.Somalia%%%1A","Saudi_Arabia.Somalia","Saudi_Arabia","Somalia",8.48457920497389,0.72980779913343,"1A","L1",24.65,46.7666666666666,2.03333333333333,45.35,"1.0343",33
"6","Cambodia.Thailand%%%1B","Cambodia.Thailand","Cambodia","Thailand",4807.85613046027,0.999555604932785,"1B","L4",11.55,104.916666666666,13.75,100.483333333333,"1.2604",57
"7","Cambodia.Vietnam%%%1B","Cambodia.Vietnam","Cambodia","Vietnam",2135.63742606042,0.999000111098767,"1B","L4",11.55,104.916666666666,21.0333333333333,105.85,"1.2239",56
"8","China.Thailand%%%1B","China.Thailand","China","Thailand",19237.8371342143,1,"1B","L5",23.13,113.939,13.75,100.483333333333,"1.8297",58
"9","China.Vietnam%%%1B","China.Vietnam","China","Vietnam",10.6549988914916,0.832907454727252,"1B","L2",23.13,113.939,21.0333333333333,105.85,"1.0353",55
"10","Laos.Thailand%%%1B","Laos.Thailand","Laos","Thailand",914.051732620517,0.997666925897123,"1B","L4",17.9666666666666,102.6,13.75,100.483333333333,"0.7448",39
"11","Myanmar.Thailand%%%1B","Myanmar.Thailand","Myanmar","Thailand",11.5563946913023,0.843906232640818,"1B","L2",19.75,96.1,13.75,100.483333333333,"0.56",38
"12","Cambodia.Laos%%%1D","Cambodia.Laos","Cambodia","Laos",425.417455244578,0.995000555493834,"1D","L4",11.55,104.916666666666,17.9666666666666,102.6,"1.2819",81
"13","Cambodia.Vietnam%%%1D","Cambodia.Vietnam","Cambodia","Vietnam",19237.8371342143,0.999888901233196,"1D","L5",11.55,104.916666666666,21.0333333333333,105.85,"1.5594",82
"14","China.Vietnam%%%1D","China.Vietnam","China","Vietnam",19237.8371342143,1,"1D","L5",23.13,113.939,21.0333333333333,105.85,"1.0632",80
"15","Indonesia.Vietnam%%%1D","Indonesia.Vietnam","Indonesia","Vietnam",84.1403758665486,0.975224975002777,"1D","L3",-6.175,106.828333333333,21.0333333333333,105.85,"0.7046",62
"16","Thailand.Vietnam%%%1D","Thailand.Vietnam","Thailand","Vietnam",12.0407784372357,0.849238973447395,"1D","L2",13.75,100.483333333333,21.0333333333333,105.85,"0.7542",63
"17","Cambodia.China%%%1E","Cambodia.China","Cambodia","China",23756.42517756,1,"1E","L5",11.55,104.916666666666,23.13,113.939,"1.6462",107
"18","China.Vietnam%%%1E","China.Vietnam","China","Vietnam",23756.42517756,1,"1E","L5",23.13,113.939,21.0333333333333,105.85,"1.3875",106
"19","French_Polynesia.New_Caledonia%%%1E","French_Polynesia.New_Caledonia","French_Polynesia","New_Caledonia",429.343393209071,0.993889567825797,"1E","L4",-17.5666666666666,210.4,-22.2666666666666,166.466666666666,"1.1247",104
"20","New_Caledonia.Vietnam%%%1E","New_Caledonia.Vietnam","New_Caledonia","Vietnam",39.11622282703,0.936784801688701,"1E","L3",-22.2666666666666,166.466666666666,21.0333333333333,105.85,"0.488",83
"21","Singapore.Vietnam%%%1E","Singapore.Vietnam","Singapore","Vietnam",23756.42517756,1,"1E","L5",1.28333333333333,103.833333333333,21.0333333333333,105.85,"1.1769",105
"22","Thailand.Vietnam%%%1E","Thailand.Vietnam","Thailand","Vietnam",1394.95244310612,0.998111320964337,"1E","L4",13.75,100.483333333333,21.0333333333333,105.85,"0.7016",84
"23","Cambodia.China%%%1F","Cambodia.China","Cambodia","China",28270.7367389917,1,"1F","L5",11.55,104.916666666666,23.13,113.939,"1.6298",136
"24","Cambodia.Laos%%%1F","Cambodia.Laos","Cambodia","Laos",23.6079819882885,0.882568603488501,"1F","L2",11.55,104.916666666666,17.9666666666666,102.6,"0.8001",108
"25","Cambodia.Papua_New_Guinea%%%1F","Cambodia.Papua_New_Guinea","Cambodia","Papua_New_Guinea",20.4203719723067,0.866681479835574,"1F","L2",11.55,104.916666666666,-9.5,147.116666666666,"0.848",89
"26","Cambodia.Singapore%%%1F","Cambodia.Singapore","Cambodia","Singapore",6.94221570659224,0.688479057882458,"1F","L1",11.55,104.916666666666,1.28333333333333,103.833333333333,"0.894",111
"27","China.Myanmar%%%1G","China.Myanmar","China","Myanmar",341.739172822579,0.999666703699589,"1G","L4",23.13,113.939,19.75,96.1,"0.8303",138
"28","China.Thailand%%%1G","China.Thailand","China","Thailand",13.7449715362574,0.991778691256527,"1G","L2",23.13,113.939,13.75,100.483333333333,"0.9196",139
"29","Myanmar.Thailand%%%1G","Myanmar.Thailand","Myanmar","Thailand",1025.44539522189,1,"1G","L4",19.75,96.1,13.75,100.483333333333,"1.2044",140
"30","Australia.Papua_New_Guinea%%%1H","Australia.Papua_New_Guinea","Australia","Papua_New_Guinea",27.5677945043045,0.830018886790357,"1H","L2",-18.188,143.262,-9.5,147.116666666666,"1.0079",189
"31","China.Myanmar%%%1H","China.Myanmar","China","Myanmar",50810.939676644,1,"1H","L5",23.13,113.939,19.75,96.1,"3.1808",221
"32","China.Vietnam%%%1H","China.Vietnam","China","Vietnam",16933.2161189109,0.999666703699589,"1H","L5",23.13,113.939,21.0333333333333,105.85,"0.9355",148
"33","India.Thailand%%%1H","India.Thailand","India","Thailand",1233.78325068512,0.995444950561049,"1H","L4",28.6138888888888,77.2083333333333,13.75,100.483333333333,"0.9855",174
