"","country","NUM","Center","region","Percent"
"1","Grenada",1,"Angola","America",100
"2","Brazil",1,"Argentina","America",14.2857142857143
"3","China",2,"Argentina","GMS-EastAsia",28.5714285714286
"4","Japan",1,"Argentina","GMS-EastAsia",14.2857142857143
"5","Puerto_Rico",1,"Argentina","America",14.2857142857143
"6","USA",2,"Argentina","America",28.5714285714286
"7","Grenada",1,"Aruba","America",100
"8","China",1,"Australia","GMS-EastAsia",10
"9","Comoros",1,"Australia","SouthAsia",10
"10","East_Timor",1,"Australia","SEA",10
"11","Fiji",1,"Australia","Oceania",10
"12","Indonesia",2,"Australia","SEA",20
"13","Papua_New_Guinea",1,"Australia","Oceania",10
"14","Reunion",1,"Australia","SWIR",10
"15","South_Korea",1,"Australia","GMS-EastAsia",10
"16","Tonga",1,"Australia","Oceania",10
"17","Grenada",1,"Bahamas","America",50
"18","Jamaica",1,"Bahamas","America",50
"19","Indonesia",1,"Bangladesh","SEA",100
"20","Brazil",1,"Barbados","America",33.3333333333333
"21","China",1,"Barbados","GMS-EastAsia",33.3333333333333
"22","USA",1,"Barbados","America",33.3333333333333
"23","Saint_Barthelemy",1,"Belize","America",100
"24","Argentina",1,"Brazil","America",14.2857142857143
"25","Barbados",1,"Brazil","America",14.2857142857143
"26","China",1,"Brazil","GMS-EastAsia",14.2857142857143
"27","French_Guiana",1,"Brazil","America",14.2857142857143
"28","Grenada",1,"Brazil","America",14.2857142857143
"29","Saint_Barthelemy",1,"Brazil","America",14.2857142857143
"30","Venezuela",1,"Brazil","America",14.2857142857143
"31","China",2,"Cambodia","GMS-EastAsia",22.2222222222222
"32","Laos",1,"Cambodia","GMS-EastAsia",11.1111111111111
"33","New_Caledonia",1,"Cambodia","Oceania",11.1111111111111
"34","Singapore",1,"Cambodia","SEA",11.1111111111111
"35","Thailand",1,"Cambodia","GMS-EastAsia",11.1111111111111
"36","Viet_Nam",3,"Cambodia","GMS-EastAsia",33.3333333333333
"37","Argentina",2,"China","America",6.89655172413793
"38","Australia",1,"China","SEA",3.44827586206897
"39","Barbados",1,"China","America",3.44827586206897
"40","Brazil",1,"China","America",3.44827586206897
"41","Cambodia",2,"China","GMS-EastAsia",6.89655172413793
"42","Colombia",1,"China","America",3.44827586206897
"43","Comoros",1,"China","SouthAsia",3.44827586206897
"44","Haiti",1,"China","America",3.44827586206897
"45","Indonesia",5,"China","SEA",17.2413793103448
"46","Malaysia",2,"China","SEA",6.89655172413793
"47","Myanmar",2,"China","GMS-EastAsia",6.89655172413793
"48","Peru",1,"China","America",3.44827586206897
"49","Philippines",1,"China","Philippines",3.44827586206897
"50","Puerto_Rico",1,"China","America",3.44827586206897
"51","Singapore",1,"China","SEA",3.44827586206897
"52","Thailand",3,"China","GMS-EastAsia",10.3448275862069
"53","Viet_Nam",3,"China","GMS-EastAsia",10.3448275862069
"54","China",1,"Colombia","GMS-EastAsia",33.3333333333333
"55","Grenada",1,"Colombia","America",33.3333333333333
"56","Martinique",1,"Colombia","America",33.3333333333333
"57","Australia",1,"Comoros","SEA",20
"58","China",1,"Comoros","GMS-EastAsia",20
"59","Indonesia",1,"Comoros","SEA",20
"60","Nepal",1,"Comoros","SouthAsia",20
"61","South_Korea",1,"Comoros","GMS-EastAsia",20
"62","French_Polynesia",1,"Cook_Islands","Oceania",100
"63","Nicaragua",1,"Costa_Rica","America",100
"64","Saudi_Arabia",1,"Djibouti","RedSeaRegion",100
"65","Guyana",1,"Dominica","America",50
"66","Puerto_Rico",1,"Dominica","America",50
"67","Australia",1,"East_Timor","SEA",50
"68","Indonesia",1,"East_Timor","SEA",50
"69","Venezuela",1,"Ecuador","America",100
"70","Mexico",1,"El_Salvador","America",33.3333333333333
"71","Saint_Barthelemy",1,"El_Salvador","America",33.3333333333333
"72","Venezuela",1,"El_Salvador","America",33.3333333333333
"73","Australia",1,"Fiji","SEA",20
"74","Kiribati",1,"Fiji","Oceania",20
"75","Niue",1,"Fiji","Oceania",20
"76","Papua_New_Guinea",1,"Fiji","Oceania",20
"77","Tonga",1,"Fiji","Oceania",20
"78","Brazil",1,"French_Guiana","America",100
"79","Cook_Islands",1,"French_Polynesia","Oceania",16.6666666666667
"80","Grenada",1,"French_Polynesia","America",16.6666666666667
"81","Niue",1,"French_Polynesia","Oceania",16.6666666666667
"82","Papua_New_Guinea",1,"French_Polynesia","Oceania",16.6666666666667
"83","USA",1,"French_Polynesia","America",16.6666666666667
"84","Vanuatu",1,"French_Polynesia","Oceania",16.6666666666667
"85","Angola",1,"Grenada","WestAfrica",9.09090909090909
"86","Aruba",1,"Grenada","America",9.09090909090909
"87","Bahamas",1,"Grenada","America",9.09090909090909
"88","Brazil",1,"Grenada","America",9.09090909090909
"89","Colombia",1,"Grenada","America",9.09090909090909
"90","French_Polynesia",1,"Grenada","Oceania",9.09090909090909
"91","Jamaica",1,"Grenada","America",9.09090909090909
"92","Mexico",1,"Grenada","America",9.09090909090909
"93","Suriname",1,"Grenada","America",9.09090909090909
"94","Trinidad_and_Tobago",1,"Grenada","America",9.09090909090909
"95","USA",1,"Grenada","America",9.09090909090909
"96","Dominica",1,"Guyana","America",100
"97","China",1,"Haiti","GMS-EastAsia",100
"98","Saint_Barthelemy",1,"Honduras","America",100
"99","Singapore",1,"India","SEA",50
"100","Thailand",1,"India","GMS-EastAsia",50
"101","Australia",2,"Indonesia","SEA",8
"102","Bangladesh",1,"Indonesia","SouthAsia",4
"103","China",5,"Indonesia","GMS-EastAsia",20
"104","Comoros",1,"Indonesia","SouthAsia",4
"105","East_Timor",1,"Indonesia","SEA",4
"106","Japan",2,"Indonesia","GMS-EastAsia",8
"107","Malaysia",1,"Indonesia","SEA",4
"108","Maldives",1,"Indonesia","SouthAsia",4
"109","New_Caledonia",1,"Indonesia","Oceania",4
"110","Papua_New_Guinea",1,"Indonesia","Oceania",4
"111","Saudi_Arabia",1,"Indonesia","RedSeaRegion",4
"112","Singapore",2,"Indonesia","SEA",8
"113","South_Korea",3,"Indonesia","GMS-EastAsia",12
"114","Thailand",1,"Indonesia","GMS-EastAsia",4
"115","Viet_Nam",2,"Indonesia","GMS-EastAsia",8
"116","Bahamas",1,"Jamaica","America",33.3333333333333
"117","Grenada",1,"Jamaica","America",33.3333333333333
"118","Venezuela",1,"Jamaica","America",33.3333333333333
"119","Argentina",1,"Japan","America",7.69230769230769
"120","Indonesia",2,"Japan","SEA",15.3846153846154
"121","Micronesia",1,"Japan","Oceania",7.69230769230769
"122","Philippines",1,"Japan","Philippines",7.69230769230769
"123","Samoa",1,"Japan","Philippines",7.69230769230769
