"","Subgenotype","NUM","Center","Percent"
"1","5H",1,"Angola",100
"2","5G",1,"Argentina",14.2857142857143
"3","5H",2,"Argentina",28.5714285714286
"4","5I",1,"Argentina",14.2857142857143
"5","5J",3,"Argentina",42.8571428571429
"6","5H",1,"Aruba",100
"7","1F",1,"Australia",10
"8","1H",1,"Australia",10
"9","1I",1,"Australia",10
"10","4A",1,"Australia",10
"11","4B",2,"Australia",20
"12","4C",3,"Australia",30
"13","5B",1,"Australia",10
"14","5H",2,"Bahamas",100
"15","5B",1,"Bangladesh",100
"16","5H",1,"Barbados",33.3333333333333
"17","5I",1,"Barbados",33.3333333333333
"18","5J",1,"Barbados",33.3333333333333
"19","5I",1,"Belize",100
"20","5G",1,"Brazil",14.2857142857143
"21","5H",2,"Brazil",28.5714285714286
"22","5I",3,"Brazil",42.8571428571429
"23","5J",1,"Brazil",14.2857142857143
"24","1C",2,"Cambodia",22.2222222222222
"25","1D",5,"Cambodia",55.5555555555556
"26","1G",1,"Cambodia",11.1111111111111
"27","1H",1,"Cambodia",11.1111111111111
"28","1B",1,"China",3.44827586206897
"29","1C",1,"China",3.44827586206897
"30","1D",2,"China",6.89655172413793
"31","1E",2,"China",6.89655172413793
"32","1F",3,"China",10.3448275862069
"33","1H",3,"China",10.3448275862069
"34","1I",1,"China",3.44827586206897
"35","4A",4,"China",13.7931034482759
"36","4B",1,"China",3.44827586206897
"37","4C",2,"China",6.89655172413793
"38","5B",1,"China",3.44827586206897
"39","5I",3,"China",10.3448275862069
"40","5J",5,"China",17.2413793103448
"41","5H",1,"Colombia",33.3333333333333
"42","5J",2,"Colombia",66.6666666666667
"43","5B",5,"Comoros",100
"44","4C",1,"Cook_Islands",100
"45","5I",1,"Costa_Rica",100
"46","1B",1,"Djibouti",100
"47","5J",2,"Dominica",100
"48","4B",2,"East_Timor",100
"49","5J",1,"Ecuador",100
"50","5I",3,"El_Salvador",100
"51","4C",5,"Fiji",100
"52","5H",1,"French_Guiana",100
"53","1D",1,"French_Polynesia",16.6666666666667
"54","4C",4,"French_Polynesia",66.6666666666667
"55","5H",1,"French_Polynesia",16.6666666666667
"56","5H",11,"Grenada",100
"57","5J",1,"Guyana",100
"58","5J",1,"Haiti",100
"59","5I",1,"Honduras",100
"60","1F",1,"India",50
"61","5B",1,"India",50
"62","1H",3,"Indonesia",12
"63","1I",6,"Indonesia",24
"64","4A",2,"Indonesia",8
"65","4B",5,"Indonesia",20
"66","4C",4,"Indonesia",16
"67","5B",5,"Indonesia",20
"68","5H",2,"Jamaica",66.6666666666667
"69","5J",1,"Jamaica",33.3333333333333
"70","1D",1,"Japan",7.69230769230769
"71","1F",1,"Japan",7.69230769230769
"72","1H",1,"Japan",7.69230769230769
"73","4A",3,"Japan",23.0769230769231
"74","4B",1,"Japan",7.69230769230769
"75","4C",5,"Japan",38.4615384615385
"76","5H",1,"Japan",7.69230769230769
"77","4C",1,"Kiribati",100
"78","1B",1,"Laos",20
"79","1D",2,"Laos",40
"80","1F",1,"Laos",20
"81","1H",1,"Laos",20
"82","4C",1,"Madagascar",100
"83","1F",1,"Malaysia",12.5
"84","1H",4,"Malaysia",50
"85","4C",2,"Malaysia",25
"86","5B",1,"Malaysia",12.5
"87","1F",1,"Maldives",33.3333333333333
"88","5B",2,"Maldives",66.6666666666667
"89","4C",1,"Marshall_Islands",100
"90","5J",1,"Martinique",100
"91","5H",1,"Mexico",50
"92","5I",1,"Mexico",50
"93","4C",3,"Micronesia",100
"94","1B",1,"Myanmar",14.2857142857143
"95","1D",1,"Myanmar",14.2857142857143
"96","1E",2,"Myanmar",28.5714285714286
"97","1F",2,"Myanmar",28.5714285714286
"98","1H",1,"Myanmar",14.2857142857143
"99","4A",1,"Nauru_Island",100
"100","5B",1,"Nepal",100
"101","1D",1,"New_Caledonia",50
"102","4C",1,"New_Caledonia",50
"103","5I",2,"Nicaragua",100
"104","4C",3,"Niue",100
"105","1D",1,"Papua_New_Guinea",20
"106","1F",2,"Papua_New_Guinea",40
"107","1I",1,"Papua_New_Guinea",20
"108","4C",1,"Papua_New_Guinea",20
"109","5J",1,"Paraguay",100
"110","5H",1,"Peru",50
"111","5I",1,"Peru",50
"112","4A",5,"Philippines",100
"113","5H",1,"Puerto_Rico",25
"114","5J",3,"Puerto_Rico",75
"115","4C",1,"Reunion",100
"116","5I",5,"Saint_Barthelemy",100
"117","4A",1,"Samoa",100
"118","1B",2,"Saudi_Arabia",66.6666666666667
"119","5B",1,"Saudi_Arabia",33.3333333333333
"120","4C",2,"Seychelles",100
"121","1D",1,"Singapore",14.2857142857143
"122","1F",1,"Singapore",14.2857142857143
"123","1H",1,"Singapore",14.2857142857143
"124","1I",1,"Singapore",14.2857142857143
"125","4A",1,"Singapore",14.2857142857143
"126","4B",1,"Singapore",14.2857142857143
"127","5B",1,"Singapore",14.2857142857143
"128","4C",1,"Solomon_Islands",100
"129","1B",1,"Somalia",100
"130","1F",2,"South_Korea",14.2857142857143
"131","1H",4,"South_Korea",28.5714285714286
"132","1I",2,"South_Korea",14.2857142857143
"133","4A",1,"South_Korea",7.14285714285714
"134","5B",5,"South_Korea",35.7142857142857
"135","1F",1,"Sri_Lanka",50
"136","5B",1,"Sri_Lanka",50
"137","5H",1,"Suriname",100
"138","1B",3,"Thailand",20
"139","1C",2,"Thailand",13.3333333333333
"140","1E",2,"Thailand",13.3333333333333
"141","1F",5,"Thailand",33.3333333333333
"142","1H",1,"Thailand",6.66666666666667
"143","1I",1,"Thailand",6.66666666666667
"144","4A",1,"Thailand",6.66666666666667
"145","4C",3,"Tonga",100
"146","5H",1,"Trinidad_and_Tobago",100
"147","4A",1,"USA",12.5
"148","4C",1,"USA",12.5
"149","5H",5,"USA",62.5
"150","5J",1,"USA",12.5
"151","4C",2,"Vanuatu",100
"152","5I",1,"Venezuela",20
"153","5J",4,"Venezuela",80
"154","1C",1,"Viet_Nam",5
"155","1D",5,"Viet_Nam",25
"156","1F",6,"Viet_Nam",30
"157","1G",1,"Viet_Nam",5
"158","1H",5,"Viet_Nam",25
"159","1I",1,"Viet_Nam",5
"160","4A",1,"Viet_Nam",5
"161","4C",1,"Wallis_and_Futuna",100
