"","Isolate","level 1","level 2","level 3","level 4","level 5","level 6","level 7","level 8","level 9","level 10","level 11","level 12"
"1","1956|KF289073|India",1,1,1,1,1,1,1,1,1,1,1,1
"2","1962|JF297571|India",1,2,4,2,2,2,2,2,2,2,2,2
"3","1962|JF297572|India",2,5,8,4,3,3,3,3,3,3,3,3
"4","1962|JF297573|India",2,5,8,5,4,4,4,4,4,4,4,4
"5","1963|JF297574|India",2,5,8,4,3,3,3,3,3,3,3,3
"6","1963|JF297575|India",2,5,8,4,3,3,3,3,3,3,3,3
"7","1963|JF297576|India",2,5,8,6,5,5,5,5,5,5,5,5
"8","1963|JF297577|India",2,5,8,7,6,6,6,6,6,6,6,6
"9","1963|JQ922544|India",2,5,8,7,6,6,6,6,6,6,6,6
"10","1968|AF425625|Nigeria",3,7,11,8,7,7,7,7,7,7,7,7
"11","1970|JF297578|India",3,7,12,9,8,8,8,8,8,8,8,8
"12","1971|AY713473|Myanmar",3,8,14,11,9,9,9,9,9,9,9,9
"13","1971|JF297579|India",3,7,12,10,10,10,10,10,10,10,10,10
"14","1971|JQ922546|India",3,7,12,10,10,10,10,10,10,10,10,10
"15","1976|AF425615|Myanmar",3,8,14,11,9,9,9,9,9,9,9,9
"16","1976|AY722801|Myanmar",3,8,14,11,9,9,9,9,9,9,9,9
"17","1977|AF425618|Grenada",2,6,16,12,11,11,11,11,11,11,11,11
"18","1977|AF425621|Jamaica",2,6,16,12,11,11,11,11,11,11,11,11
"19","1977|D00501|Jamaica",3,9,18,13,12,12,12,12,12,12,12,12
"20","1977|JN379475|Bahamas",2,6,16,12,11,11,11,11,11,11,11,11
"21","1977|JN379476|Grenada",2,6,16,12,11,11,11,11,11,11,11,11
"22","1977|JN379477|Grenada",2,6,16,12,11,11,11,11,11,11,11,11
"23","1977|JN379478|Grenada",2,6,16,12,11,11,11,11,11,11,11,11
"24","1977|JN379479|Grenada",2,6,16,12,11,11,11,11,11,11,11,11
"25","1977|JN379480|Grenada",2,6,16,12,11,11,11,11,11,11,11,11
"26","1978|AF425631|Trinidad_and_Tobago",2,6,16,12,11,11,11,11,11,11,11,11
"27","1978|JN379481|Grenada",2,6,16,12,11,11,11,11,11,11,11,11
"28","1978|JN379482|Grenada",2,6,16,12,11,11,11,11,11,11,11,11
"29","1980|AY732411|Thailand",1,2,4,3,13,13,13,13,13,13,13,13
"30","1980|AY732429|Thailand",1,2,4,3,13,13,13,13,13,13,13,13
"31","1980|AY732447|Thailand",1,2,4,3,14,14,14,14,14,14,14,14
"32","1980|AY732474|Thailand",1,2,4,3,14,14,14,14,14,14,14,14
"33","1980|AY732476|Thailand",1,2,4,3,13,13,13,13,13,13,13,13
"34","1981|JN379483|Trinidad_and_Tobago",2,6,16,12,11,11,11,11,11,11,11,11
"35","1981|JN379484|Grenada",2,6,16,12,11,11,11,11,11,11,11,11
"36","1981|JN379485|Suriname",2,6,16,12,11,11,11,11,11,11,11,11
"37","1982|AF425613|Brazil",2,6,16,12,11,11,11,11,11,11,11,11
"38","1982|DQ341188|Mexico",2,6,16,12,11,11,11,11,11,11,11,11
"39","1982|JF297580|India",1,2,5,14,16,15,15,15,15,15,15,15
"40","1982|JQ922545|India",1,2,5,14,16,15,15,15,15,15,15,15
"41","1983|AF425624|Mexico",2,6,16,12,11,11,11,11,11,11,11,11
"42","1983|AY732379|Thailand",1,2,4,3,15,16,16,16,16,16,16,16
"43","1983|D00504|Mexico",3,9,18,13,12,12,12,12,12,12,12,12
"44","1984|DQ341189|Mexico",2,6,16,12,11,11,11,11,11,11,11,11
"45","1984|DQ341190|Mexico",2,6,16,12,11,11,11,11,11,11,11,11
"46","1985|AF425609|Aruba",2,6,17,15,17,17,17,17,17,17,17,17
