"","Isolate","level 1","level 2","level 3","level 4","level 5","level 6","level 7","level 8","level 9","level 10","level 11","level 12"
"1","1944|KM204119|USA.Hawaii",1,1,1,1,1,1,1,1,1,1,1,1
"2","1979|JN029818|China",1,1,1,2,2,2,2,2,2,2,2,2
"3","1980|AF350498|China",1,1,1,2,2,2,3,4,3,3,3,3
"4","1980|AF425630|Thailand",1,1,1,2,2,2,2,2,2,2,2,2
"5","1980|AY732421|Thailand",1,1,1,2,2,3,4,5,4,4,4,4
"6","1981|AY732383|Thailand",1,1,1,2,2,3,4,5,4,4,4,4
"7","1981|AY732385|Thailand",1,1,1,2,3,4,5,6,5,5,5,5
"8","1981|AY732394|Thailand",1,1,1,2,3,4,6,7,6,6,6,6
"9","1981|AY732406|Thailand",1,1,1,2,3,4,6,7,6,6,6,6
"10","1981|AY732483|Thailand",1,1,1,2,3,4,5,6,5,5,5,5
"11","1982|AY732378|Thailand",1,1,1,2,2,2,2,2,2,2,2,2
"12","1982|AY732397|Thailand",1,1,1,2,3,4,7,8,7,7,7,7
"13","1982|AY732481|Thailand",1,1,1,2,3,4,7,8,7,7,7,7
"14","1983|AY732390|Thailand",1,1,1,2,2,2,2,3,8,8,8,8
"15","1985|AY732426|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"16","1985|JN029817|China",1,1,1,2,3,5,9,10,10,10,10,10
"17","1985|JN638328|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"18","1985|JQ317728|China",1,1,1,2,4,8,11,11,11,11,11,11
"19","1985|JQ317729|China",1,1,1,2,3,5,9,10,10,10,10,10
"20","1985|JQ317730|China",1,1,1,2,4,8,11,11,11,11,11,11
"21","1986|AY732420|Thailand",1,1,1,2,3,5,10,12,12,12,12,12
"22","1986|AY732432|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"23","1986|JN638329|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"24","1986|JN638336|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"25","1987|AF425628|China",1,1,2,3,5,7,8,9,9,9,9,9
"26","1987|AY732425|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"27","1987|AY732435|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"28","1987|AY732440|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"29","1987|AY732445|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"30","1987|JN638341|Thailand",1,1,2,4,6,9,12,13,13,13,13,13
"31","1988|AY732380|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"32","1988|AY732381|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
"33","1988|AY732384|Thailand",1,1,2,3,5,7,8,9,9,9,9,9
